代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12802288.070000000298023
真實報酬,2802288.070000000298023

夏普值報酬,0.271528807000000
夏普值風險,0.074939201494486
夏普值,3.623321326955686

預期報酬,23469.525329903233796
風險,144267.887457269884180
趨勢值,0.162680176049951
找到最佳解世代,3043
找到最佳解實驗#,2
找到最佳解次數,11

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](15),UNH[23](8),VZ[26](16),
Stock#,BA[2](1),CSCO[4](15),UNH[23](8),VZ[26](16),
張數,33843,121536,45281,57326,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.589999999850988,4.479999999981374,35.989999999757856,13.140000000130385,
20130201,2533843.000000000000000,2531599.359999999869615,2525357.359999999869615,2554459.700000000186265,10145259.419999998062849
20130204,2545349.619999999646097,2530384.000000000000000,2524451.739999999757856,2552166.660000000149012,10152352.019999999552965
20130205,2568362.859999999869615,2561983.359999999869615,2615919.359999999869615,2554459.700000000186265,10300725.280000001192093
20130206,2581900.060000000055879,2575352.320000000298023,2598259.770000000018626,2565351.640000000130385,10320863.790000000968575
20130207,2620481.080000000074506,2564414.080000000074506,2583317.039999999571592,2548727.100000000093132,10316939.299999998882413
20130208,2591037.669999999925494,2571706.240000000223517,2614560.929999999701977,2542421.240000000223517,10319726.080000000074506
20130211,2567686.000000000000000,2585075.199999999720603,2586486.709999999497086,2540701.459999999962747,10279949.369999997317791
20130212,2571747.159999999683350,2548614.399999999906868,2581505.799999999813735,2547580.580000000074506,10249447.939999999478459
20130213,2530797.129999999888241,2569275.520000000018626,2591467.619999999646097,2552166.660000000149012,10243706.929999999701977
20130214,2535873.580000000074506,2551045.119999999646097,2583317.039999999571592,2541274.720000000204891,10211510.459999999031425
20130215,2539257.879999999888241,2551045.119999999646097,2595542.909999999683350,2545287.540000000037253,10231133.449999999254942
20130219,2526397.540000000037253,2608167.040000000037253,2565657.449999999720603,2551020.140000000130385,10251242.169999999925494
20130220,2530797.129999999888241,2565629.439999999944121,2500000.000000000000000,2575097.060000000055879,10171523.630000000819564
20130221,2572424.020000000018626,2523091.840000000316650,2501358.429999999701977,2586562.259999999776483,10183436.550000000745058
20130222,2594421.969999999739230,2540106.879999999888241,2466492.059999999590218,2602613.540000000037253,10203634.449999999254942
20130225,2539257.879999999888241,2510938.240000000223517,2413513.289999999571592,2620957.859999999869615,10084667.269999999552965
20130226,2560240.540000000037253,2504861.439999999944121,2402193.039999999571592,2643888.259999999776483,10111183.279999999329448
20130227,2618112.069999999832362,2538891.520000000018626,2439323.459999999497086,2657073.240000000223517,10253400.289999999105930
20130228,2602544.290000000037253,2535245.439999999944121,2420305.439999999944121,2667391.920000000391155,10225487.089999999850988
20130301,2615404.629999999888241,2531599.359999999869615,2423475.109999999869615,2678283.859999999869615,10248762.959999999031425
20130304,2608974.459999999962747,2520661.119999999646097,2414418.909999999683350,2700641.000000000000000,10244695.490000000223517
20130305,2662107.969999999739230,2578998.399999999906868,2422569.489999999757856,2733890.080000000074506,10397565.939999999478459
20130306,2676322.029999999795109,2639766.399999999906868,2427550.399999999906868,2710386.420000000391155,10454025.250000000000000
20130307,2742992.739999999757856,2649489.280000000260770,2436153.789999999571592,2721851.620000000111759,10550487.429999999701977
20130308,2749084.479999999981374,2653135.359999999869615,2436606.600000000093132,2749368.100000000093132,10588194.539999999105930
20130311,2806956.009999999776483,2659212.159999999683350,2454719.000000000000000,2740769.200000000186265,10661656.370000001043081
20130312,2848244.469999999739230,2637335.679999999701977,2482793.219999999739230,2772298.500000000000000,10740671.869999999180436
20130313,2868211.839999999850988,2622751.359999999869615,2466944.869999999646097,2748221.580000000074506,10706129.649999998509884
20130314,2863812.250000000000000,2623966.719999999739230,2478265.119999999646097,2779177.620000000111759,10745221.710000000894070
20130315,2925068.080000000074506,2665288.959999999962747,2478265.119999999646097,2752807.660000000149012,10821429.820000000298023
20130318,2882764.330000000074506,2633689.600000000093132,2490490.989999999757856,2794655.640000000130385,10801600.560000000521541
20130319,2893932.520000000018626,2615459.199999999720603,2498188.759999999776483,2806120.840000000316650,10813701.320000000298023
20130320,2889194.500000000000000,2633689.600000000093132,2485057.270000000018626,2786056.740000000223517,10793998.109999999403954
20130321,2853997.779999999795109,2532814.719999999739230,2493207.850000000093132,2797521.939999999944121,10677542.289999999105930
20130322,2870580.849999999627471,2521876.479999999981374,2466039.250000000000000,2810133.660000000149012,10668630.240000000223517
20130325,2871596.139999999664724,2534030.080000000074506,2484151.649999999906868,2818159.299999999813735,10707937.169999998062849
20130326,2931498.250000000000000,2534030.080000000074506,2519923.639999999664724,2836503.620000000111759,10821955.589999999850988
20130327,2917284.189999999944121,2531599.359999999869615,2563846.209999999497086,2805547.580000000074506,10818277.339999999850988
20130328,2905439.139999999664724,2540106.879999999888241,2590562.000000000000000,2817586.040000000037253,10853694.059999998658895
20130401,2885133.339999999850988,2531599.359999999869615,2670256.559999999590218,2821598.859999999869615,10908588.119999999180436
20130402,2845875.459999999962747,2578998.399999999906868,2795684.929999999701977,2837650.140000000130385,11058208.929999999701977
20130403,2855013.069999999832362,2576567.679999999701977,2792515.259999999776483,2808413.880000000353903,11032509.890000000596046
20130404,2874980.439999999944121,2557121.919999999925494,2808816.419999999925494,2826184.939999999944121,11067103.719999998807907
20130405,2916268.899999999906868,2504861.439999999944121,2811986.089999999850988,2841089.700000000186265,11074206.129999998956919
