代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11434415.740000000223517
真實報酬,1434415.740000000223517

夏普值報酬,0.134741574000000
夏普值風險,0.045093242491203
夏普值,2.988065762320922

預期報酬,12531.962920373100133
風險,132983.917166022612946
趨勢值,0.094236680550834
找到最佳解世代,1530
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
Stock#,DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
張數,21619,12332,33112,20277,29150,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.309999999823049,119.560000000055879,35.199999999953434,79.489999999990687,18.500000000000000,
20141201,2004107.609999999869615,1992230.839999999850988,2003973.439999999944121,2008719.110000000102445,1975514.000000000000000,9984545.000000000000000
20141202,2020754.239999999757856,2006166.000000000000000,2012582.560000000055879,2024332.399999999906868,1945781.000000000000000,10009616.199999999254942
20141203,2012971.399999999906868,2028980.200000000186265,2005960.159999999916181,2044001.089999999850988,1964145.499999999767169,10056058.349999999627471
20141204,2015565.679999999934807,2023184.160000000149012,2017218.239999999990687,2021088.080000000074506,1979303.500000000232831,10056359.660000000149012
20141205,2027023.750000000000000,2013565.200000000186265,2036092.080000000074506,2034470.899999999906868,1999708.499999999767169,10110860.429999999701977
20141208,2027888.509999999776483,1996177.080000000307336,2049005.760000000009313,2026157.330000000074506,1974348.000000000000000,10073576.679999999701977
20141209,2009296.169999999692664,2010112.240000000223517,1987086.319999999832362,2048462.029999999795109,1999417.000000000000000,10054373.759999999776483
20141210,1980975.279999999795109,1979528.879999999888241,1986092.959999999962747,2009327.420000000158325,1986591.000000000232831,9942515.539999999105930
20141211,1983569.559999999823049,1986434.800000000046566,1964901.280000000027940,2022304.700000000186265,2128260.000000000000000,10085470.339999999850988
