代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12673015.180000001564622
真實報酬,2673015.180000001564622

夏普值報酬,0.258601518000000
夏普值風險,0.066284745423026
夏普值,3.901373028584771

預期報酬,18899.600167055810743
風險,140100.919368518545525
趨勢值,0.134899901101596
找到最佳解世代,2283
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](9),BA[2](1),CVX[5](7),
Stock#,AAPL[0](9),BA[2](1),CVX[5](7),
張數,31416,25749,33141,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,95.400000000372529,124.950000000186265,11.220000000204891,
20160901,3353125.080000000540167,3344920.050000000279397,3321070.830000000074506,10019116.960000000894070
20160902,3384541.080000000540167,3377363.790000000037253,3344932.350000000558794,10106838.220000002533197
20160906,3383598.600000000558794,3424484.460000000428408,3394643.850000000558794,10202727.910000000149012
20160907,3404333.160000000149012,3415472.310000000055879,3409557.300000000279397,10229363.770000001415610
20160908,3315111.720000000204891,3422167.050000000279397,3450652.140000000130385,10187931.910000000149012
20160909,3240027.480000000447035,3309643.920000000391155,3356200.290000000037253,9905872.690000001341105
20160912,3312598.440000000409782,3350584.830000000074506,3388678.470000000204891,10051862.740000000223517
20160913,3391452.600000000558794,3315566.189999999944121,3295220.850000000558794,10002240.640000000596046
20160914,3511461.720000000204891,3287499.780000000260770,3261748.440000000409782,10060710.940000001341105
20160915,3630842.520000000018626,3290074.680000000167638,3297540.720000000204891,10218458.919999999925494
20160916,3610422.120000000577420,3262523.250000000465661,3242526.660000000149012,10115473.030000001192093
20160919,3568324.680000000167638,3282607.470000000204891,3249154.860000000335276,10100088.010000001639128
20160920,3568010.520000000018626,3290589.660000000149012,3237886.920000000391155,10096488.099999999627471
20160921,3567382.200000000186265,3361914.390000000130385,3301849.050000000279397,10231146.640000000596046
20160922,3600997.320000000298023,3395645.580000000074506,3313448.400000000372529,10310092.300000000745058
20160923,3540992.760000000242144,3393328.170000000391155,3288261.240000000223517,10222583.170000001788139
20160926,3546333.480000000447035,3362171.879999999888241,3273679.200000000186265,10182185.560000000521541
20160927,3552930.840000000316650,3381483.629999999888241,3280307.400000000372529,10214722.870000001043081
20160928,3579948.600000000558794,3404915.219999999739230,3385364.370000000577420,10370229.190000001341105
20160929,3524342.280000000726432,3374016.420000000391155,3356200.290000000037253,10254559.990000002086163
