代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13091522.839999999850988
真實報酬,3091522.839999999850988

夏普值報酬,0.300452284000000
夏普值風險,0.074788026074730
夏普值,4.017384864520715

預期報酬,23684.243716096760181
風險,150365.814426731289132
趨勢值,0.157510826555842
找到最佳解世代,2520
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),CVX[5](4),KO[14](15),XOM[29](1),
Stock#,CAT[3](2),CVX[5](4),KO[14](15),XOM[29](1),
張數,31774,30845,85440,40459,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,21.679999999701977,12.750000000000000,25.600000000093132,38.390000000130385,
20101001,2485383.959999999497086,2527760.500000000000000,2525632.000000000000000,2530344.250000000000000,10069120.709999999031425
20101004,2455198.659999999683350,2508019.700000000186265,2515379.200000000186265,2516183.600000000093132,9994781.160000000149012
20101005,2522877.279999999795109,2572177.299999999813735,2548700.799999999813735,2559474.729999999981374,10203230.109999999403954
20101006,2505719.319999999832362,2580505.449999999720603,2552972.799999999813735,2578085.870000000111759,10217283.439999999478459
20101007,2501906.439999999478459,2576187.149999999906868,2539302.399999999906868,2583345.540000000037253,10200741.530000001192093
20101008,2553698.060000000055879,2589142.049999999813735,2538448.000000000000000,2604788.810000000055879,10286076.919999999925494
20101011,2541306.199999999720603,2582047.699999999720603,2544428.800000000279397,2611666.839999999850988,10279449.539999999105930
20101012,2520970.839999999850988,2586057.550000000279397,2546137.600000000093132,2617735.690000000409782,10270901.679999999701977
20101013,2551156.140000000130385,2580813.899999999906868,2560662.399999999906868,2631491.750000000465661,10324124.189999999478459
20101014,2539082.019999999552965,2587908.250000000000000,2559808.000000000000000,2642011.089999999850988,10328809.359999999403954
20101015,2533998.179999999701977,2578963.200000000186265,2560662.399999999906868,2637560.600000000093132,10311184.379999998956919
20101018,2549567.439999999478459,2605798.350000000093132,2563225.600000000093132,2681660.910000000149012,10400252.299999998882413
20101019,2495869.379999999422580,2553670.300000000279397,2577750.400000000372529,2634728.470000000204891,10262018.550000000745058
20101020,2552109.359999999403954,2591609.649999999906868,2612780.799999999813735,2670736.980000000447035,10427236.789999999105930
20101021,2506672.539999999571592,2598704.000000000000000,2626451.200000000186265,2683279.270000000018626,10415107.009999999776483
20101022,2488879.099999999627471,2607957.500000000000000,2632432.000000000000000,2684088.450000000186265,10413357.050000000745058
20101025,2511756.379999999422580,2617827.900000000372529,2606800.000000000000000,2678424.190000000409782,10414808.469999998807907
20101026,2499046.779999999795109,2626464.500000000000000,2616198.400000000372529,2691775.660000000149012,10433485.339999999850988
20101027,2485383.959999999497086,2600554.700000000186265,2614489.600000000093132,2656980.920000000391155,10357409.179999999701977
20101028,2470132.439999999478459,2604564.549999999813735,2615344.000000000000000,2679233.370000000111759,10369274.359999999403954
20101029,2497458.079999999608845,2547809.750000000000000,2619616.000000000000000,2690157.299999999813735,10355041.129999998956919
20101101,2518746.659999999683350,2512338.000000000000000,2636704.000000000000000,2708768.440000000409782,10376557.100000001490116
20101102,2533998.179999999701977,2533929.500000000000000,2642684.800000000279397,2744776.950000000186265,10455389.429999999701977
20101103,2538128.799999999348074,2550894.250000000000000,2646956.800000000279397,2750036.620000000111759,10486016.469999998807907
20101104,2642983.000000000000000,2626156.049999999813735,2668316.800000000279397,2807083.810000000055879,10744539.660000000149012
20101105,2654421.640000000130385,2621220.850000000093132,2673443.200000000186265,2832168.390000000130385,10781254.080000000074506
20101108,2641076.560000000055879,2615668.750000000000000,2668316.800000000279397,2845115.270000000018626,10770177.380000000819564
20101109,2602630.019999999552965,2577420.950000000186265,2676006.399999999906868,2857657.560000000055879,10713714.929999999701977
20101110,2620105.719999999273568,2627081.399999999906868,2672588.800000000279397,2877887.060000000055879,10797662.980000000447035
20101111,2619470.239999999757856,2655458.800000000279397,2682841.600000000093132,2906208.359999999869615,10863979.000000000000000
20101112,2574986.640000000130385,2635409.549999999813735,2687968.000000000000000,2872222.799999999813735,10770586.989999998360872
20101115,2599770.359999999403954,2617519.450000000186265,2689676.800000000279397,2851588.710000000428408,10758555.320000000298023
20101116,2553698.060000000055879,2544108.350000000093132,2652083.200000000186265,2789281.850000000093132,10539171.460000000894070
20101117,2579117.259999999776483,2543491.449999999720603,2670880.000000000000000,2792113.980000000447035,10585602.689999999478459
20101118,2640758.819999999832362,2585440.649999999906868,2727270.400000000372529,2844710.680000000167638,10798180.550000000745058
20101119,2668084.459999999497086,2589142.049999999813735,2747776.000000000000000,2854016.250000000465661,10859018.759999999776483
20101122,2669037.679999999701977,2574028.000000000000000,2746067.200000000186265,2839855.600000000093132,10828988.480000000447035
20101123,2625507.299999999348074,2521591.500000000000000,2717872.000000000000000,2790900.210000000428408,10655871.009999999776483
20101124,2690961.739999999757856,2557988.600000000093132,2760592.000000000465661,2827313.310000000055879,10836855.650000000372529
20101126,2673168.299999999348074,2530845.000000000000000,2739232.000000000465661,2801014.960000000428408,10744260.259999999776483
20101129,2658552.259999999776483,2519740.799999999813735,2708473.600000000093132,2809915.940000000409782,10696682.600000001490116
20101130,2688102.079999999608845,2497532.399999999906868,2699075.200000000186265,2814366.430000000167638,10699076.109999999403954
20101201,2778657.979999999981374,2550894.250000000000000,2764009.600000000093132,2885978.859999999869615,10979540.689999999478459
20101202,2815833.560000000055879,2606415.250000000000000,2772553.600000000558794,2892047.710000000428408,11086850.120000001043081
20101203,2839981.799999999348074,2618444.799999999813735,2755465.600000000093132,2880314.600000000093132,11094206.799999998882413
20101206,2834262.479999999981374,2620295.500000000000000,2734105.600000000093132,2885169.680000000167638,11073833.259999999776483
20101207,2870802.579999999608845,2661936.250000000000000,2740086.399999999906868,2891238.529999999795109,11164063.759999999776483
20101208,2847607.560000000055879,2657001.049999999813735,2751193.600000000558794,2907017.540000000037253,11162819.750000000000000
20101209,2849196.259999999776483,2672732.000000000000000,2769990.400000000372529,2913086.390000000130385,11205005.050000000745058
20101210,2857775.239999999757856,2684453.100000000093132,2762300.799999999813735,2920369.010000000242144,11224898.150000000372529
20101213,2911473.299999999348074,2725785.400000000372529,2769990.400000000372529,2927651.629999999888241,11334900.730000000447035
20101214,2926089.339999999850988,2726093.849999999627471,2729833.600000000093132,2920369.010000000242144,11302385.799999998882413
20101215,2958816.560000000055879,2714681.200000000186265,2765718.399999999906868,2907017.540000000037253,11346233.699999999254942
20101216,2961358.479999999981374,2747068.450000000186265,2791350.400000000372529,2921987.370000000111759,11421764.699999999254942
20101217,2941976.339999999850988,2729486.799999999813735,2806729.600000000093132,2919964.420000000391155,11398157.160000000149012
20101220,2964535.879999999422580,2739048.750000000000000,2790496.000000000000000,2921987.370000000111759,11416068.000000000000000
20101221,3006795.299999999348074,2752312.100000000093132,2797331.200000000186265,2942216.870000000111759,11498655.469999998807907
20101222,3004888.859999999403954,2773595.149999999906868,2802457.599999999627471,2945453.589999999850988,11526395.199999999254942
20101223,3001075.979999999981374,2797037.350000000093132,2801603.200000000186265,2961637.190000000409782,11561353.720000002533197
20101227,2989001.859999999403954,2779764.150000000372529,2779388.800000000279397,2953949.980000000447035,11502104.790000000968575
20101228,2976927.739999999757856,2812768.299999999813735,2792204.800000000279397,2970538.170000000391155,11552439.009999999776483
20101229,2979787.399999999906868,2818320.400000000372529,2796476.799999999813735,2968515.220000000204891,11563099.820000002160668
