代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12631839.920000001788139
真實報酬,2631839.920000001788139

夏普值報酬,0.254483992000000
夏普值風險,0.076116273875222
夏普值,3.343358509865808

預期報酬,23370.191758497425326
風險,142689.829557459044736
趨勢值,0.163783164020717
找到最佳解世代,2810
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
BA[2](1),DIS[6](3),DD[7](2),
Stock#,BA[2](1),DIS[6](3),DD[7](2),
張數,25302,35896,45160,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,47.519999999552965,30.439999999944121,73.399999999906868,
20161003,3349526.279999999329448,3320051.479999999981374,3371267.400000000372529,10040846.160000000149012
20161004,3346237.019999999552965,3323641.080000000074506,3335139.399999999441206,10005018.500000000000000
20161005,3407214.839999999385327,3318615.640000000130385,3389331.399999999906868,10115162.879999998956919
20161006,3401142.359999999403954,3332256.120000000111759,3446684.599999999627471,10180084.079999998211861
20161007,3386720.219999999273568,3320051.479999999981374,3407846.999999999534339,10114619.699999999254942
20161010,3437071.199999999720603,3320051.479999999981374,3443523.399999999906868,10200647.080000000074506
20161011,3383937.000000000000000,3297437.000000000000000,3442168.599999999627471,10123543.599999999627471
20161012,3369261.839999999385327,3281283.799999999813735,3422298.200000000186265,10072844.839999999850988
20161013,3374828.279999999329448,3270873.959999999962747,3402879.399999999441206,10048582.639999998733401
20161014,3377864.519999999552965,3277335.239999999757856,3433136.599999999627471,10088337.359999999403954
20161017,3390515.519999999552965,3260464.120000000111759,3408750.200000000186265,10059730.839999999850988
20161018,3418347.719999999273568,3272668.759999999776483,3453006.999999999534339,10144024.479999998584390
20161019,3445673.879999999888241,3299949.720000000204891,3468361.399999999906868,10213986.000000000000000
20161020,3437071.199999999720603,3303539.319999999832362,3461135.799999999813735,10201747.320000000298023
20161021,3431757.779999999329448,3339435.319999999832362,3479199.800000000279397,10250393.900000000372529
20161024,3477807.419999999459833,3351639.959999999962747,3488231.799999999813735,10317680.179999999701977
20161025,3517531.559999999590218,3329384.439999999944121,3480103.000000000000000,10327020.000000000000000
20161026,3682500.599999999161810,3355947.479999999981374,3457523.000000000000000,10495972.079999998211861
20161027,3626077.139999999664724,3374972.359999999869615,3509005.399999999906868,10510055.900000000372529
20161028,3618486.539999999105930,3368870.039999999571592,3467909.800000000279397,10455267.379999998956919
20161031,3603811.379999999888241,3327230.679999999701977,3460684.199999999720603,10391727.259999999776483
20161101,3603305.339999999385327,3316461.879999999888241,3458877.800000000279397,10378646.019999999552965
20161102,3561304.019999999552965,3299231.799999999813735,3447136.199999999720603,10307673.019999999552965
20161103,3542833.559999999590218,3351639.959999999962747,3425459.399999999441206,10319933.919999998062849
20161104,3530688.599999999161810,3318615.640000000130385,3416878.999999999534339,10266184.239999998360872
20161107,3618992.579999999608845,3389689.720000000204891,3450297.400000000372529,10458980.699999999254942
20161108,3597991.919999999459833,3387894.919999999925494,3436297.800000000279397,10422185.640000000596046
20161109,3671114.699999999720603,3397227.879999999888241,3464748.599999999627471,10533092.179999999701977
20161110,3736899.899999999441206,3408714.599999999627471,3482361.000000000000000,10627976.500000000000000
20161111,3757900.559999999590218,3506351.720000000204891,3450297.400000000372529,10714550.679999999701977
20161114,3795094.500000000000000,3514966.759999999776483,3438104.199999999720603,10748166.459999999031425
20161115,3747526.739999999757856,3507069.640000000130385,3419588.599999999627471,10674185.980000000447035
20161116,3705272.399999999441206,3558041.959999999962747,3420040.200000000186265,10683355.559999998658895
20161117,3677187.179999999701977,3567015.959999999962747,3431781.799999999813735,10675985.939999999478459
20161118,3702995.219999999273568,3526453.479999999981374,3423201.399999999906868,10652651.099999999627471
20161121,3719947.559999999590218,3504556.919999999925494,3472877.400000000372529,10697382.879999998956919
20161122,3783202.559999999590218,3507428.599999999627471,3494102.600000000093132,10784734.759999999776483
20161123,3788769.000000000000000,3527171.399999999906868,3477393.399999999906868,10793334.800000000745058
20161125,3796359.599999999161810,3547273.159999999683350,3484618.999999999534339,10828252.759999997913837
20161128,3789528.059999999590218,3552657.560000000055879,3493651.000000000000000,10835837.619999999180436
20161129,3836842.799999999348074,3577784.759999999776483,3472425.799999999813735,10887054.359999999403954
20161130,3809516.639999999664724,3558041.959999999962747,3583519.399999999441206,10951079.000000000000000
20161201,3855819.299999999348074,3551580.679999999701977,3608808.999999999534339,11016209.979999998584390
20161202,3852277.019999999552965,3535786.439999999944121,3564100.600000000093132,10952165.059999998658895
20161205,3849999.839999999385327,3588194.599999999627471,3605196.199999999720603,11043391.639999998733401
20161206,3852024.000000000000000,3613321.799999999813735,3615583.000000000000000,11080929.800000000745058
20161207,3900097.799999999348074,3661063.479999999981374,3659388.200000000186265,11220550.480000000447035
20161208,3931725.299999999348074,3710958.919999999925494,3693709.800000000279397,11336395.019999999552965
20161209,3959557.500000000000000,3764085.000000000000000,3711322.200000000186265,11434965.699999999254942
20161212,3976509.839999999385327,3735368.200000000186265,3747450.200000000186265,11459329.239999998360872
20161213,3963858.839999999385327,3727830.039999999571592,3739773.000000000000000,11431462.879999998956919
20161214,3908447.459999999497086,3735009.239999999757856,3708161.000000000000000,11351618.699999999254942
20161215,3890736.059999999590218,3747213.879999999888241,3752869.399999999441206,11390820.339999999850988
20161216,3909206.519999999552965,3729983.799999999813735,3756482.200000000186265,11395673.519999999552965
20161219,3951713.879999999888241,3779879.239999999757856,3780416.999999999534339,11512011.119999999180436
20161220,3957027.299999999348074,3785622.599999999627471,3781771.799999999813735,11524422.699999999254942
20161221,3984606.479999999515712,3789212.200000000186265,3799835.799999999813735,11573655.480000000447035
20161222,3984100.439999999944121,3784186.759999999776483,3778610.600000000093132,11546898.799999998882413
20161223,3992956.139999999664724,3774494.840000000316650,3757836.999999999534339,11525288.980000000447035
20161227,3984606.479999999515712,3775212.759999999776483,3757385.399999999906868,11517205.639999998733401
20161228,3949689.719999999273568,3743983.239999999757856,3723515.399999999906868,11417189.359999999403954
20161229,3939315.899999999441206,3753316.200000000186265,3692806.599999999627471,11385439.699999999254942
20161230,3939062.879999999888241,3741111.560000000055879,3680161.799999999813735,11360337.239999998360872
20170103,3971702.459999999497086,3807878.120000000111759,3704548.200000000186265,11484129.780000001192093
20170104,4013450.759999999776483,3856696.679999999701977,3733902.200000000186265,11604050.640000000596046
20170105,4015727.939999999944121,3854542.919999999925494,3717193.000000000000000,11587464.859999999403954
20170106,4025595.719999999273568,3911976.520000000018626,3694161.399999999906868,11631734.639999998733401
20170109,4005860.159999999217689,3889721.000000000000000,3716741.399999999906868,11612323.559999998658895
20170110,4024836.659999999217689,3890438.919999999925494,3709064.199999999720603,11624340.779999999329448
20170111,4033186.319999999832362,3928488.679999999701977,3746998.599999999627471,11708674.599999999627471
20170112,4005101.099999999161810,3859927.319999999832362,3748805.000000000000000,11613834.419999998062849
20170113,4018764.179999999701977,3878952.200000000186265,3717193.000000000000000,11614910.379999998956919
20170117,3989413.859999999403954,3875721.560000000055879,3686935.799999999813735,11552072.219999998807907
20170118,4005860.159999999217689,3882541.799999999813735,3711322.200000000186265,11599725.160000000149012
20170119,4023065.519999999552965,3850953.319999999832362,3671581.399999999906868,11545601.240000000223517
20170120,4036475.579999999608845,3864593.799999999813735,3690096.999999999534339,11591167.379999998956919
20170123,3993715.199999999720603,3845209.959999999962747,3674742.600000000093132,11513668.759999999776483
20170124,4062283.619999999646097,3873208.840000000316650,3835512.200000000186265,11771005.660000000149012
20170125,4234590.240000000223517,3878234.280000000260770,3872091.799999999813735,11984917.320000000298023
20170126,4279121.759999999776483,3878952.200000000186265,3950218.599999999627471,12108293.559999998658895
20170127,4243192.919999998994172,3923463.239999999757856,3942993.000000000000000,12109650.159999998286366
20170130,4189299.659999999217689,3982332.679999999701977,3868478.999999999534339,12040112.339999997988343
20170131,4134900.359999999403954,3971922.840000000316650,3835060.600000000093132,11941884.799999998882413
20170201,4148816.459999999497086,3995255.239999999757856,3877962.600000000093132,12022035.299999998882413
20170202,4105550.039999999105930,3970487.000000000000000,3849963.399999999906868,11926001.439999999478459
20170203,4109092.319999999832362,3959359.239999999757856,3872091.799999999813735,11940544.359999999403954
20170206,4149069.479999999515712,3933155.159999999683350,3859898.599999999627471,11942124.239999998360872
20170207,4212830.519999999552965,3912694.439999999944121,3845447.400000000372529,11970973.359999999403954
20170208,4144768.139999999664724,3912694.439999999944121,3841383.000000000000000,11898846.580000000074506
20170209,4156660.079999999608845,3930283.479999999981374,3875704.599999999627471,11962649.160000000149012
20170210,4205998.979999999515712,3922027.399999999906868,3935315.799999999813735,12063343.179999999701977
20170213,4251542.579999999143183,3936026.840000000316650,3959250.600000000093132,12146821.019999999552965
20170214,4263434.519999999552965,3960436.120000000111759,3969185.799999999813735,12193057.439999999478459
20170215,4283676.120000000111759,3955051.720000000204891,3929445.000000000000000,12168173.839999999850988
20170216,4321882.139999999664724,3974076.599999999627471,3949315.399999999906868,12245275.139999998733401
20170217,4369955.939999999478459,3950744.200000000186265,3939831.799999999813735,12260532.939999999478459
20170221,4442066.639999999664724,3948949.399999999906868,3937122.200000000186265,12328139.239999998360872
20170222,4437006.240000000223517,3952897.959999999962747,4094730.600000000093132,12484635.799999998882413
20170223,4474959.240000000223517,3938898.520000000018626,4075311.799999999813735,12489170.559999998658895
20170224,4489634.399999999441206,3960077.159999999683350,4087053.399999999906868,12536765.959999999031425
20170227,4539985.379999999888241,3956846.520000000018626,4045957.800000000279397,12542790.700000001117587
20170228,4560226.979999999515712,3951821.080000000074506,4003958.999999999534339,12516008.059999998658895
20170301,4653338.339999999850988,3985922.280000000260770,4081182.600000000093132,12720444.220000000670552
20170302,4630060.500000000000000,3969769.080000000074506,4074408.599999999627471,12674239.179999999701977
20170303,4609565.879999999888241,3993101.479999999981374,4068537.800000000279397,12671206.160000000149012
20170306,4577938.379999999888241,3972640.759999999776483,4084343.799999999813735,12634923.940000001341105
20170307,4605517.559999999590218,3979461.000000000000000,4061312.200000000186265,12646291.759999997913837
20170308,4598433.000000000000000,3978743.080000000074506,4069892.600000000093132,12647069.679999999701977
20170309,4568829.659999999217689,3985563.319999999832362,4086601.799999999813735,12640995.779999997466803
20170310,4521514.919999998994172,3981614.759999999776483,4105568.999999999534339,12608699.679999999701977
20170313,4530370.620000000111759,4003152.359999999869615,4123181.399999999906868,12656705.380000000819564
20170314,4522273.979999999515712,4031510.200000000186265,4095633.799999999813735,12649418.980000000447035
20170315,4521767.939999999478459,4015715.959999999962747,4144406.599999999627471,12681891.499999998137355
20170316,4508610.899999999441206,4009972.599999999627471,4106923.799999999813735,12625508.300000000745058
20170317,4556937.719999999739230,4011767.399999999906868,4117762.200000000186265,12686468.320000000298023
20170320,4538973.299999998882413,4045868.599999999627471,4148019.399999999441206,12732862.299999997019768
20170321,4452187.439999999478459,4011408.439999999944121,4056796.199999999720603,12520393.079999998211861
20170322,4477995.479999999515712,4023254.120000000111759,4038280.600000000093132,12539531.199999999254942
20170323,4485080.039999999105930,4028997.479999999981374,4105117.400000000372529,12619195.919999999925494
20170324,4448645.159999999217689,4025407.879999999888241,4056796.199999999720603,12530850.239999998360872
20170327,4455729.719999999739230,4034022.919999999925494,4117310.600000000093132,12607064.240000000223517
20170328,4487610.240000000223517,4058073.239999999757856,4180534.599999999627471,12726219.080000000074506
20170329,4494441.779999999329448,4039407.319999999832362,4143051.799999999813735,12676901.899999998509884
20170330,4503297.479999999515712,4062739.720000000204891,4127697.400000000372529,12693735.599999999627471
20170331,4474959.240000000223517,4070277.879999999888241,4086601.799999999813735,12631839.920000001788139
