代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12490950.949999999254942
真實報酬,2490950.949999999254942

夏普值報酬,0.240395095000000
夏普值風險,0.057648461126354
夏普值,4.170017556463527

預期報酬,18352.597122604001925
風險,146427.693639049888588
趨勢值,0.125335560961876
找到最佳解世代,2183
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
Stock#,TRV[22](2),V[25](1),
張數,73249,148942,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.259999999776483,17.059999999590218,
20121001,5059331.689999999478459,5090854.619999999180436,10150186.309999998658895
20121002,5032229.559999999590218,5064045.059999999590218,10096274.619999999180436
20121003,5054936.750000000000000,5157878.519999999552965,10212815.269999999552965
20121004,5074713.979999999515712,5201071.700000000186265,10275785.679999999701977
20121005,5095223.700000000186265,5223413.000000000000000,10318636.699999999254942
20121008,5093758.720000000670552,5165325.619999999180436,10259084.339999999850988
20121009,5077643.939999999478459,5092344.039999999105930,10169987.979999998584390
20121010,5083503.860000000335276,5116174.759999999776483,10199678.620000001043081
20121011,5065924.099999999627471,5177240.979999999515712,10243165.079999998211861
20121012,5033694.540000000037253,5180219.819999999366701,10213914.359999999403954
20121015,5112070.970000000670552,5208518.799999999813735,10320589.769999999552965
20121016,5163345.269999999552965,5256180.239999999292195,10419525.509999997913837
20121017,5228536.879999999888241,5308309.939999999478459,10536846.820000000298023
20121018,5416054.319999999366701,5282989.799999999813735,10699044.119999999180436
20121019,5384557.250000000000000,5211497.639999999664724,10596054.890000000596046
20121022,5419716.769999999552965,5175751.559999999590218,10595468.329999998211861
20121023,5375034.879999999888241,5087875.779999999329448,10462910.660000000149012
20121024,5360385.080000000074506,5081918.099999999627471,10442303.179999999701977
20121025,5282741.139999999664724,5122132.439999999478459,10404873.579999998211861
20121026,5241721.700000000186265,5150431.419999998994172,10392153.119999999180436
20121031,5196307.319999999366701,5166815.039999999105930,10363122.359999999403954
20121101,5144300.530000000260770,5357460.799999999813735,10501761.330000000074506
20121102,5099618.639999999664724,5339587.759999999776483,10439206.399999998509884
20121105,5062261.649999999441206,5269585.019999999552965,10331846.669999998062849
20121106,5139905.589999999850988,5357460.799999999813735,10497366.390000000596046
