代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14466470.710000000894070
真實報酬,4466470.710000000894070

夏普值報酬,0.437947071000000
夏普值風險,0.106425555668279
夏普值,4.115055526372356

預期報酬,38814.294182961537444
風險,213241.719991908146767
趨勢值,0.182020170276409
找到最佳解世代,2798
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,279329,
分配資金,10000000.000000000000000,
剩餘資金,21.800000000745058,
20111101,9927374.460000000894070,9927374.460000000894070
20111102,10053072.510000001639128,10053072.510000001639128
20111103,10181563.850000001490116,10181563.850000001490116
20111104,10164804.110000001266599,10164804.110000001266599
20111107,10430166.660000002011657,10430166.660000002011657
20111108,10597764.060000000521541,10597764.060000000521541
20111109,10379887.439999999478459,10379887.439999999478459
20111110,10391060.600000001490116,10391060.600000001490116
20111111,10631283.540000000968575,10631283.540000000968575
20111114,10684356.050000000745058,10684356.050000000745058
20111115,10634076.830000000074506,10634076.830000000074506
20111116,10569831.160000002011657,10569831.160000002011657
20111117,10508378.779999999329448,10508378.779999999329448
20111118,10581004.320000002160668,10581004.320000002160668
20111121,10351954.540000000968575,10351954.540000000968575
20111122,10363127.700000001117587,10363127.700000001117587
20111123,10201116.880000000819564,10201116.880000000819564
20111125,10187150.429999999701977,10187150.429999999701977
20111128,10418993.500000000000000,10418993.500000000000000
20111129,10882679.640000000596046,10882679.640000000596046
20111130,10955305.179999999701977,10955305.179999999701977
20111201,10988824.660000002011657,10988824.660000002011657
20111202,11156422.060000000521541,11156422.060000000521541
20111205,11237427.470000000670552,11237427.470000000670552
20111206,11262567.080000000074506,11262567.080000000074506
20111207,11377091.970000000670552,11377091.970000000670552
20111208,11148042.189999999478459,11148042.189999999478459
20111209,11237427.470000000670552,11237427.470000000670552
20111212,11187148.250000000000000,11187148.250000000000000
20111213,11036310.589999999850988,11036310.589999999850988
20111214,10932958.860000001266599,10932958.860000001266599
20111215,11011170.980000000447035,11011170.980000000447035
20111216,11290499.980000000447035,11290499.980000000447035
20111219,11229047.600000001490116,11229047.600000001490116
20111220,11717873.350000001490116,11717873.350000001490116
20111221,11731839.800000000745058,11731839.800000000745058
20111222,11709493.480000000447035,11709493.480000000447035
20111223,11756979.410000002011657,11756979.410000002011657
20111227,11793292.179999999701977,11793292.179999999701977
20111228,11600555.170000001788139,11600555.170000001788139
20111229,11734633.089999999850988,11734633.089999999850988
20111230,11743012.960000000894070,11743012.960000000894070
20120103,11770945.860000001266599,11770945.860000001266599
20120104,11938543.260000001639128,11938543.260000001639128
20120105,12036308.410000002011657,12036308.410000002011657
20120106,12067034.600000001490116,12067034.600000001490116
20120109,12075414.470000000670552,12075414.470000000670552
20120110,12159213.170000001788139,12159213.170000001788139
20120111,12139660.140000000596046,12139660.140000000596046
20120112,12120107.110000001266599,12120107.110000001266599
20120113,12153626.589999999850988,12153626.589999999850988
20120117,12217872.260000001639128,12217872.260000001639128
20120118,12536307.320000002160668,12536307.320000002160668
20120119,12684351.689999999478459,12684351.689999999478459
20120120,12432955.589999999850988,12432955.589999999850988
20120123,12536307.320000002160668,12536307.320000002160668
20120124,12558653.640000000596046,12558653.640000000596046
20120125,12642452.339999999850988,12642452.339999999850988
20120126,12555860.350000001490116,12555860.350000001490116
20120127,12533514.029999999329448,12533514.029999999329448
20120130,12505581.130000000819564,12505581.130000000819564
20120131,12399436.110000001266599,12399436.110000001266599
20120201,12421782.429999999701977,12421782.429999999701977
20120202,12418989.140000000596046,12418989.140000000596046
20120203,12617312.730000000447035,12617312.730000000447035
20120206,12625692.600000001490116,12625692.600000001490116
20120207,12698318.140000000596046,12698318.140000000596046
20120208,12617312.730000000447035,12617312.730000000447035
20120209,12645245.630000000819564,12645245.630000000819564
20120210,12662005.370000001043081,12662005.370000001043081
20120213,12829602.770000001415610,12829602.770000001415610
20120214,12865915.540000000968575,12865915.540000000968575
20120215,12768150.390000000596046,12768150.390000000596046
20120216,12829602.770000001415610,12829602.770000001415610
20120217,13047479.390000000596046,13047479.390000000596046
20120221,13106138.480000000447035,13106138.480000000447035
20120222,13008373.330000000074506,13008373.330000000074506
20120223,13114518.350000001490116,13114518.350000001490116
20120224,13122898.220000000670552,13122898.220000000670552
20120227,13108931.770000001415610,13108931.770000001415610
20120228,13192730.470000000670552,13192730.470000000670552
20120229,13287702.330000000074506,13287702.330000000074506
20120301,13256976.140000000596046,13256976.140000000596046
20120302,13243009.689999999478459,13243009.689999999478459
20120305,13237423.110000001266599,13237423.110000001266599
20120306,12958094.110000001266599,12958094.110000001266599
20120307,13237423.110000001266599,13237423.110000001266599
20120308,13357534.580000000074506,13357534.580000000074506
20120309,13435746.700000001117587,13435746.700000001117587
20120312,13572617.910000002011657,13572617.910000002011657
20120313,13726248.860000001266599,13726248.860000001266599
20120314,13818427.429999999701977,13818427.429999999701977
20120315,13743008.600000001490116,13743008.600000001490116
20120316,13701109.250000000000000,13701109.250000000000000
20120319,13639656.870000001043081,13639656.870000001043081
20120320,13793287.820000002160668,13793287.820000002160668
20120321,13907812.710000000894070,13907812.710000000894070
20120322,13877086.520000001415610,13877086.520000001415610
20120323,13837980.460000000894070,13837980.460000000894070
20120326,14002784.570000002160668,14002784.570000002160668
20120327,13977644.960000000894070,13977644.960000000894070
20120328,13941332.189999999478459,13941332.189999999478459
20120329,13941332.189999999478459,13941332.189999999478459
20120330,14053063.790000000968575,14053063.790000000968575
20120402,13963678.510000001639128,13963678.510000001639128
20120403,13966471.800000000745058,13966471.800000000745058
20120404,13924572.450000001117587,13924572.450000001117587
20120405,14139655.779999999329448,14139655.779999999329448
20120409,14128482.620000001043081,14128482.620000001043081
20120410,13787701.240000000223517,13787701.240000000223517
20120411,13896639.550000000745058,13896639.550000000745058
20120412,14142449.070000002160668,14142449.070000002160668
20120413,14234627.640000000596046,14234627.640000000596046
20120416,14438537.810000000521541,14438537.810000000521541
20120417,14533509.670000001788139,14533509.670000001788139
20120418,14472057.290000000968575,14472057.290000000968575
20120419,14402225.040000000968575,14402225.040000000968575
20120420,14374292.140000000596046,14374292.140000000596046
20120423,14273733.700000001117587,14273733.700000001117587
20120424,14310046.470000000670552,14310046.470000000670552
20120425,14499990.189999999478459,14499990.189999999478459
20120426,14488817.029999999329448,14488817.029999999329448
20120427,14511163.350000001490116,14511163.350000001490116
20120430,14466470.710000000894070,14466470.710000000894070
