代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11624631.799999998882413
真實報酬,1624631.799999998882413

夏普值報酬,0.153763180000000
夏普值風險,0.041465187843994
夏普值,3.708247520269521

預期報酬,13491.197699465254118
風險,106655.543065362726338
趨勢值,0.126493169616110
找到最佳解世代,3555
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
BA[2](8),HD[9](4),JNJ[12](6),V[25](1),
Stock#,BA[2](8),HD[9](4),JNJ[12](6),V[25](1),
張數,35014,44052,37075,77978,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.399999999906868,49.000000000000000,32.749999999534339,25.319999999832362,
20120904,2481442.580000000074506,2501762.080000000074506,2493697.249999999534339,2505458.459999999962747,9982360.370000001043081
20120905,2518207.279999999795109,2490749.080000000074506,2494067.999999999534339,2487523.519999999552965,9990547.879999998956919
20120906,2549719.879999999888241,2539646.799999999813735,2515200.749999999534339,2524952.959999999962747,10129520.390000000596046
20120907,2552170.859999999869615,2522466.520000000018626,2516683.749999999534339,2528851.859999999869615,10120172.989999998360872
20120910,2488795.520000000018626,2524228.600000000093132,2527806.250000000000000,2508577.580000000074506,10049407.949999999254942
20120911,2495448.179999999701977,2498678.439999999944121,2528547.749999999534339,2563162.179999999701977,10085836.549999998882413
20120912,2484593.839999999850988,2513215.600000000093132,2526693.999999999534339,2602151.179999999701977,10126654.619999999180436
20120913,2506302.520000000018626,2568280.600000000093132,2557836.999999999534339,2631003.040000000037253,10263423.160000000149012
20120914,2495798.319999999832362,2619380.919999999925494,2538557.999999999534339,2616967.000000000000000,10270704.240000000223517
20120917,2448179.279999999795109,2595152.319999999832362,2530401.499999999534339,2609948.979999999515712,10183682.079999998211861
20120918,2466736.700000000186265,2592949.720000000204891,2541523.999999999534339,2606050.080000000074506,10207260.500000000000000
20120919,2447479.000000000000000,2619821.439999999944121,2543377.749999999534339,2627883.919999999925494,10238562.109999999403954
20120920,2445728.299999999813735,2611451.560000000055879,2554500.249999999534339,2623985.019999999552965,10235665.129999998956919
20120921,2449929.979999999981374,2617618.839999999850988,2560432.249999999534339,2631782.819999999832362,10259763.890000000596046
20120924,2452030.819999999832362,2616297.279999999795109,2558207.749999999534339,2607609.639999999664724,10234145.489999998360872
20120925,2429271.719999999739230,2630834.439999999944121,2570071.749999999068677,2623205.239999999757856,10253383.149999998509884
20120926,2459733.899999999906868,2606605.839999999850988,2558207.749999999534339,2583436.459999999962747,10207983.949999999254942
20120927,2454481.799999999813735,2637882.760000000242144,2558578.499999999534339,2610728.759999999776483,10261671.820000000298023
20120928,2436974.799999999813735,2659468.239999999757856,2554870.999999999534339,2617746.779999999795109,10269060.819999998435378
20121001,2451330.540000000037253,2668278.640000000130385,2563027.499999999534339,2665313.359999999869615,10347950.039999999105930
20121002,2434523.819999999832362,2657706.160000000149012,2556724.749999999534339,2651277.319999999832362,10300232.050000000745058
20121003,2446078.439999999944121,2721141.040000000037253,2558207.749999999534339,2700403.459999999962747,10425830.690000001341105
20121004,2448879.560000000055879,2719819.479999999981374,2568217.999999999534339,2723017.080000000074506,10459934.119999999180436
20121005,2482142.859999999869615,2784135.399999999906868,2582306.499999999534339,2734713.779999999795109,10583298.539999999105930
20121008,2470938.379999999888241,2725986.760000000242144,2574520.749999999534339,2704302.359999999869615,10475748.250000000000000
20121009,2473389.359999999869615,2685018.399999999906868,2536333.499999999534339,2666093.139999999664724,10360834.399999998509884
20121010,2462885.160000000149012,2631715.479999999981374,2529289.249999999534339,2678569.620000000111759,10302459.510000001639128
20121011,2480042.020000000018626,2599557.520000000018626,2520020.499999999534339,2710540.599999999627471,10310160.639999998733401
20121012,2515756.299999999813735,2623786.120000000111759,2520020.499999999534339,2712100.160000000149012,10371663.080000000074506
20121015,2529761.899999999906868,2671802.799999999813735,2543377.749999999534339,2726915.979999999515712,10471858.429999999701977
20121016,2572829.120000000111759,2681053.720000000204891,2578598.999999999534339,2751868.939999999944121,10584350.779999999329448
20121017,2578081.219999999739230,2704401.279999999795109,2632357.749999999534339,2779161.239999999757856,10694001.490000000223517
20121018,2600140.040000000037253,2722462.600000000093132,2688711.749999999534339,2765904.979999999515712,10777219.370000001043081
20121019,2591386.540000000037253,2726427.279999999795109,2664242.249999999534339,2728475.540000000037253,10710531.609999999403954
20121022,2580532.200000000186265,2733035.080000000074506,2661276.249999999534339,2709760.819999999832362,10684604.349999999627471
20121023,2549719.879999999888241,2720260.000000000000000,2628279.499999999534339,2663753.799999999348074,10562013.179999997839332
20121024,2545868.339999999850988,2699555.560000000055879,2622718.249999999534339,2660634.679999999701977,10528776.830000000074506
20121025,2504901.959999999962747,2664313.959999999962747,2637548.249999999534339,2681688.739999999757856,10488452.910000000149012
20121026,2489845.939999999944121,2644931.080000000074506,2628650.249999999534339,2696504.559999999590218,10459931.829999998211861
20121031,2466386.560000000055879,2703960.760000000242144,2625684.249999999068677,2705082.139999999664724,10501113.709999999031425
20121101,2478641.459999999962747,2742726.520000000018626,2650895.249999999534339,2804893.979999999515712,10677157.210000000894070
20121102,2452731.099999999627471,2732154.040000000037253,2628650.249999999534339,2795536.620000000111759,10609072.009999997913837
20121105,2465336.139999999664724,2748012.760000000242144,2624571.999999999534339,2758886.959999999962747,10596807.859999999403954
20121106,2521708.679999999701977,2758585.239999999757856,2632728.499999999534339,2804893.979999999515712,10717916.399999998509884
20121107,2454831.939999999944121,2730832.479999999981374,2607888.249999999534339,2779161.239999999757856,10572713.910000000149012
20121108,2485294.120000000111759,2681053.720000000204891,2582306.499999999534339,2769803.879999999888241,10518458.219999998807907
20121109,2564775.899999999906868,2685458.919999999925494,2590462.999999999534339,2786179.259999999776483,10626877.080000000074506
20121112,2580182.060000000055879,2694269.319999999832362,2583418.750000000000000,2792417.500000000000000,10650287.629999998956919
20121113,2568627.439999999944121,2792064.760000000242144,2577115.999999999534339,2776821.899999999906868,10714630.099999999627471
20121114,2496148.459999999962747,2707925.439999999944121,2568217.999999999534339,2728475.540000000037253,10500767.440000001341105
20121115,2487394.959999999962747,2698234.000000000000000,2560802.999999999068677,2729255.319999999832362,10475687.279999999329448
20121116,2477941.179999999701977,2736559.239999999757856,2565251.999999999534339,2782280.359999999869615,10562032.779999999329448
20121119,2519607.839999999850988,2789862.160000000149012,2567476.499999999534339,2839204.299999999348074,10716150.799999998882413
20121120,2539915.959999999962747,2811447.640000000130385,2583047.999999999534339,2853240.340000000316650,10787651.939999999478459
20121121,2561274.500000000000000,2823341.680000000167638,2580081.999999999534339,2859478.580000000074506,10824176.759999999776483
20121123,2581932.759999999776483,2855499.639999999664724,2578969.749999999534339,2887550.660000000149012,10903952.809999998658895
20121126,2600490.179999999701977,2848891.839999999850988,2561544.499999999534339,2870395.500000000000000,10881322.019999999552965
