代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13802118.849999999627471
真實報酬,3802118.849999999627471

夏普值報酬,0.371511885000000
夏普值風險,0.097989215415384
夏普值,3.791354828438345

預期報酬,30807.923753284114355
風險,272425.212059145444073
趨勢值,0.113087637962802
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),INTC[11](4),
20111128,5587176.799999999813735,5827122.050000000745058,11414298.850000001490116
20111129,5835828.200000000186265,5856928.250000000000000,11692756.449999999254942
20111130,5874773.599999999627471,6187280.299999999813735,12062053.899999998509884
20111201,5892748.400000000372529,6189764.150000000372529,12082512.550000000745058
20111202,5982622.399999999441206,6120216.350000000558794,12102838.750000000000000
20111205,6026061.499999999068677,6212118.800000000745058,12238180.300000000745058
20111206,6039542.599999999627471,6296569.700000000186265,12336112.300000000745058
20111207,6100956.499999999068677,6373569.049999999813735,12474525.549999998882413
20111208,5978128.699999999254942,6137603.300000000745058,12115732.000000000000000
20111209,6026061.499999999068677,6212118.800000000745058,12238180.300000000745058
20111212,5999099.299999999813735,5961249.950000000186265,11960349.250000000000000
20111213,5918212.699999999254942,5851960.549999999813735,11770173.250000000000000
20111214,5862790.399999999441206,5789864.299999999813735,11652654.699999999254942
20111215,5904731.599999999627471,5789864.299999999813735,11694595.899999998509884
20111216,6054521.599999999627471,5769993.500000000000000,11824515.099999999627471
20111219,6021567.799999999813735,5737703.450000000186265,11759271.250000000000000
20111220,6283700.299999999813735,5921508.350000000558794,12205208.650000000372529
20111221,6291189.799999999813735,5881766.750000000000000,12172956.550000000745058
20111222,6279206.599999999627471,5966217.650000000372529,12245424.250000000000000
20111223,6304670.900000000372529,6060603.950000000186265,12365274.850000001490116
20111227,6324143.599999999627471,6100345.549999999813735,12424489.149999998509884
20111228,6220788.500000000000000,6018378.500000000000000,12239167.000000000000000
20111229,6292687.699999999254942,6097861.700000000186265,12390549.399999998509884
20111230,6297181.399999999441206,6023346.200000000186265,12320527.599999999627471
20120103,6312160.399999999441206,6095377.849999999627471,12407538.250000000000000
20120104,6402034.400000000372529,6236957.299999999813735,12638991.699999999254942
20120105,6454460.900000000372529,6308988.950000000186265,12763449.850000001490116
20120106,6470937.799999999813735,6271731.200000000186265,12742669.000000000000000
20120109,6475431.499999999068677,6326375.899999999441206,12801807.399999998509884
20120110,6520368.500000000000000,6356182.100000000558794,12876550.600000001490116
20120111,6509883.200000000186265,6408342.950000000186265,12918226.150000000372529
20120112,6499397.899999999441206,6395923.700000000186265,12895321.599999999627471
20120113,6517372.699999999254942,6244408.850000000558794,12761781.550000000745058
20120117,6551824.400000000372529,6219570.349999999627471,12771394.750000000000000
20120118,6722585.000000000000000,6306505.100000000558794,13029090.100000001490116
20120119,6801973.699999999254942,6366117.500000000000000,13168091.199999999254942
20120120,6667162.699999999254942,6552406.250000000000000,13219568.949999999254942
20120123,6722585.000000000000000,6634373.300000000745058,13356958.300000000745058
20120124,6734568.200000000186265,6681566.450000000186265,13416134.650000000372529
20120125,6779505.199999999254942,6681566.450000000186265,13461071.649999998509884
20120126,6733070.299999999813735,6644308.700000000186265,13377379.000000000000000
20120127,6721087.099999999627471,6639341.000000000000000,13360428.099999999627471
20120130,6706108.100000000558794,6641824.849999999627471,13347932.949999999254942
20120131,6649187.899999999441206,6562341.650000000372529,13211529.550000000745058
20120201,6661171.099999999627471,6594631.700000000186265,13255802.800000000745058
20120202,6659673.200000000186265,6579728.599999999627471,13239401.800000000745058
20120203,6766024.099999999627471,6641824.849999999627471,13407848.949999999254942
20120206,6770517.799999999813735,6636857.149999999441206,13407374.949999999254942
20120207,6809463.200000000186265,6616986.350000000558794,13426449.550000000745058
20120208,6766024.099999999627471,6669147.200000000186265,13435171.300000000745058
20120209,6781003.100000000558794,6671631.049999999813735,13452634.150000000372529
20120210,6789990.500000000000000,6631889.450000000186265,13421879.949999999254942
20120213,6879864.500000000000000,6631889.450000000186265,13511753.949999999254942
20120214,6899337.200000000186265,6651760.250000000931323,13551097.450000001117587
20120215,6846910.700000000186265,6602083.250000000000000,13448993.949999999254942
20120216,6879864.500000000000000,6664179.500000000000000,13544044.000000000000000
20120217,6996700.700000000186265,6798307.400000000372529,13795008.100000001490116
20120221,7028156.599999999627471,6746146.549999999813735,13774303.149999998509884
20120222,6975730.099999999627471,6639341.000000000000000,13615071.099999999627471
20120223,7032650.299999999813735,6621954.049999999813735,13654604.349999999627471
20120224,7037143.999999999068677,6631889.450000000186265,13669033.449999999254942
20120227,7029654.500000000000000,6679082.600000000558794,13708737.100000001490116
20120228,7074591.499999999068677,6766017.349999999627471,13840608.849999997764826
20120229,7125520.099999999627471,6676598.750000000000000,13802118.849999999627471
