代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11383911.740000000223517
真實報酬,1383911.740000000223517

夏普值報酬,0.129691174000000
夏普值風險,0.044862198066957
夏普值,2.890878726147925

預期報酬,12298.707586910217287
風險,106627.700399782275781
趨勢值,0.115342519259051
找到最佳解世代,1936
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
Stock#,CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
張數,22024,31630,21836,20612,39960,
20140306,2149542.959999999962747,2242285.800000000279397,2028386.800000000046566,1970112.599999999860302,2288111.600000000093132,10678439.759999999776483
20140307,2137429.759999999776483,2230266.400000000372529,2037776.279999999795109,1968463.639999999897555,2296503.200000000186265,10670439.279999999329448
20140310,2130822.560000000055879,2244499.899999999906868,2040614.959999999962747,1962280.040000000037253,2290509.200000000186265,10668726.660000000149012
20140311,2132804.720000000204891,2218879.600000000093132,2041488.399999999906868,2036071.000000000000000,2265334.399999999906868,10694578.120000001043081
20140312,2132364.239999999757856,2208441.699999999720603,2043890.359999999869615,2034628.159999999683350,2270129.600000000093132,10689454.059999998658895
20140313,2105715.200000000186265,2195473.399999999906868,2030788.760000000009313,2007008.080000000074506,2229370.399999999906868,10568355.839999999850988
20140314,2100869.919999999925494,2191361.500000000000000,2026639.920000000158325,2011336.599999999860302,2225774.000000000000000,10555981.939999999478459
20140317,2107036.640000000130385,2207176.500000000000000,2051096.240000000223517,2011748.839999999850988,2248151.600000000093132,10625209.820000000298023
20140318,2123334.399999999906868,2237225.000000000000000,2051314.599999999860302,2005771.359999999869615,2252147.600000000093132,10669792.959999999031425
20140319,2115185.520000000018626,2234694.600000000093132,2043672.000000000000000,1980830.839999999850988,2237362.399999999906868,10611745.359999999403954
20140320,2118929.600000000093132,2263161.600000000093132,2055245.080000000074506,1991136.839999999850988,2221378.399999999906868,10649851.520000001415610
20140321,2144917.919999999925494,2261580.100000000093132,2094768.240000000223517,1967845.279999999795109,2184215.600000000093132,10653327.139999998733401
20140324,2133024.959999999962747,2259366.000000000465661,2078827.959999999962747,1982479.800000000046566,2149050.799999999813735,10602749.519999999552965
20140325,2171346.720000000204891,2281190.700000000186265,2126430.439999999478459,1976914.559999999823049,2205394.399999999906868,10761276.820000000298023
20140326,2153947.759999999776483,2226470.800000000279397,2119224.559999999590218,1975471.719999999972060,2238561.200000000186265,10713676.039999999105930
20140327,2168263.360000000335276,2161629.300000000279397,2124246.839999999850988,1982067.559999999823049,2226972.799999999813735,10663179.859999999403954
20140328,2188965.919999999925494,2171118.300000000279397,2127740.599999999627471,2004328.519999999785796,2236962.799999999813735,10729116.140000000596046
20140331,2188525.439999999944121,2188831.100000000093132,2144991.040000000037253,2020612.000000000000000,2268531.200000000186265,10811490.780000001192093
20140401,2198216.000000000000000,2239122.800000000279397,2138658.599999999627471,2017932.439999999944121,2252547.199999999720603,10846477.039999999105930
20140402,2260323.680000000167638,2247662.900000000372529,2144991.040000000037253,2011542.719999999972060,2256143.600000000093132,10920663.939999999478459
20140403,2258561.759999999776483,2232480.500000000000000,2145646.120000000111759,2012985.559999999823049,2246153.600000000093132,10895827.539999999105930
20140404,2250192.640000000130385,2193259.300000000279397,2149139.879999999888241,2017314.080000000074506,2242557.199999999720603,10852463.099999999627471
20140407,2226847.200000000186265,2159098.900000000372529,2137566.799999999813735,1999587.760000000009313,2205394.399999999906868,10728495.060000000521541
20140408,2255037.919999999925494,2165424.899999999906868,2141278.919999999925494,2021642.599999999860302,2199400.399999999906868,10782784.740000000223517
20140409,2268252.319999999832362,2205911.299999999813735,2160712.959999999962747,2027207.839999999850988,2281718.000000000000000,10943802.419999998062849
20140410,2252174.800000000279397,2148661.000000000465661,2108088.200000000186265,2049468.800000000046566,2231768.000000000000000,10790160.800000000745058
20140411,2234335.360000000335276,2114816.899999999906868,2115294.080000000074506,2046583.120000000111759,2234565.200000000186265,10745594.660000000149012
20140414,2263627.280000000260770,2139488.300000000279397,2121189.799999999813735,2063484.959999999962747,2220579.200000000186265,10808369.539999999105930
20140415,2257460.560000000055879,2142651.299999999813735,2166171.959999999962747,2078325.599999999860302,2239760.000000000000000,10884369.419999999925494
20140416,2266930.880000000353903,2184719.199999999720603,2156345.759999999776483,2078325.599999999860302,2248151.600000000093132,10934473.039999999105930
20140417,2264728.479999999981374,2194524.500000000000000,2160931.320000000298023,2066370.639999999897555,2256543.200000000186265,10943098.140000000596046
20140421,2260543.919999999925494,2195789.700000000186265,2183640.759999999776483,2054415.679999999934807,2287712.000000000000000,10982102.060000000521541
20140422,2283669.120000000111759,2204646.100000000093132,2187571.240000000223517,2047201.479999999748543,2308491.200000000186265,11031579.140000000596046
20140423,2276841.680000000167638,2223940.400000000372529,2188444.679999999701977,2043285.199999999720603,2297702.000000000000000,11030213.959999999031425
20140424,2318687.280000000260770,2217930.700000000186265,2182767.320000000298023,2057919.719999999972060,2298900.799999999813735,11076205.820000000298023
20140425,2305693.120000000111759,2184719.199999999720603,2179055.200000000186265,2076264.399999999906868,2287312.399999999906868,11033044.320000000298023
20140428,2296222.800000000279397,2130315.600000000093132,2212901.000000000000000,2067607.359999999869615,2264934.799999999813735,10971981.559999998658895
20140429,2319127.759999999776483,2193575.600000000093132,2206131.839999999850988,2092135.639999999897555,2346453.200000000186265,11157424.039999999105930
20140430,2321330.160000000149012,2247662.900000000372529,2211809.200000000186265,2089662.199999999720603,2340059.600000000093132,11210524.060000000521541
20140501,2314062.239999999757856,2194208.200000000186265,2195213.839999999850988,2081005.159999999683350,2382417.199999999720603,11166906.639999998733401
20140502,2312740.800000000279397,2193259.300000000279397,2168573.919999999925494,2090692.800000000046566,2326473.200000000186265,11091740.019999999552965
20140505,2301949.040000000037253,2223307.800000000279397,2183640.759999999776483,2084715.319999999832362,2342856.800000000279397,11136469.720000000670552
20140506,2287633.439999999944121,2212237.299999999813735,2172941.120000000111759,2080799.040000000037253,2282117.600000000093132,11035728.500000000000000
20140507,2304151.439999999944121,2230582.700000000186265,2203511.519999999552965,2101617.160000000149012,2231368.399999999906868,11071231.220000000670552
20140508,2311199.120000000111759,2216665.500000000000000,2194558.759999999776483,2101411.040000000037253,2191008.799999999813735,11014843.219999998807907
20140509,2313842.000000000000000,2219512.200000000186265,2203511.519999999552965,2121610.799999999813735,2206193.600000000093132,11064670.119999999180436
20140512,2338949.360000000335276,2257784.500000000000000,2194995.479999999515712,2120167.959999999962747,2209390.399999999906868,11121287.700000001117587
20140513,2359872.160000000149012,2254621.500000000000000,2205913.479999999515712,2133978.000000000000000,2227772.000000000000000,11182157.140000000596046
20140514,2346217.280000000260770,2261263.799999999813735,2202638.080000000074506,2123672.000000000000000,2252547.199999999720603,11186338.359999999403954
20140515,2312300.319999999832362,2189780.000000000000000,2198707.599999999627471,2112747.639999999664724,2233366.399999999906868,11046901.959999999031425
20140516,2335205.280000000260770,2206227.600000000093132,2196305.639999999664724,2125939.320000000298023,2232567.199999999720603,11096245.039999999105930
20140519,2321109.919999999925494,2222358.900000000372529,2197615.799999999813735,2104296.719999999739230,2251748.000000000000000,11097129.339999999850988
20140520,2236758.000000000000000,2240388.000000000000000,2189099.759999999776483,2092754.000000000000000,2237762.000000000000000,10996761.759999999776483
20140521,2265829.680000000167638,2249560.700000000186265,2208533.799999999813735,2113984.360000000335276,2260938.799999999813735,11098847.339999999850988
20140522,2270234.479999999981374,2242285.800000000279397,2204603.320000000298023,2111717.040000000037253,2257342.399999999906868,11086183.040000000968575
20140523,2291157.280000000260770,2282772.200000000186265,2205040.040000000037253,2102441.639999999664724,2270129.600000000093132,11151540.759999999776483
20140527,2283448.880000000353903,2294159.000000000000000,2201327.919999999925494,2109861.959999999962747,2265334.399999999906868,11154132.160000002011657
20140528,2266490.399999999906868,2332115.000000000000000,2190191.559999999590218,2088013.239999999757856,2253746.000000000000000,11130556.199999999254942
20140529,2281686.959999999962747,2363428.700000000186265,2200236.120000000111759,2088837.719999999972060,2305694.000000000000000,11239883.500000000000000
20140530,2251514.080000000074506,2347613.700000000186265,2215521.320000000298023,2090692.800000000046566,2312087.600000000093132,11217429.500000000000000
20140602,2285210.800000000279397,2365326.500000000000000,2231024.879999999888241,2103060.000000000000000,2314884.799999999813735,11299506.980000000447035
20140603,2301288.319999999832362,2369754.700000000186265,2237357.320000000298023,2091105.040000000037253,2314085.600000000093132,11313590.979999998584390
20140604,2297324.000000000000000,2364061.299999999813735,2242161.240000000223517,2111510.919999999925494,2314884.799999999813735,11329942.260000001639128
20140605,2355687.600000000093132,2370387.299999999813735,2253952.679999999701977,2111717.040000000037253,2321678.000000000000000,11413422.620000001043081
20140606,2382556.880000000353903,2393160.899999999906868,2253079.240000000223517,2101617.160000000149012,2311688.000000000000000,11442102.179999999701977
20140609,2395110.560000000055879,2386834.899999999906868,2253952.679999999701977,2089662.199999999720603,2315284.399999999906868,11440844.740000000223517
20140610,2407444.000000000000000,2394109.799999999813735,2273168.360000000335276,2079356.199999999720603,2337262.399999999906868,11491340.759999999776483
20140611,2393789.120000000111759,2381141.500000000000000,2256136.280000000260770,2069874.679999999934807,2350049.600000000093132,11450991.179999999701977
20140612,2348860.160000000149012,2342236.600000000093132,2238885.839999999850988,2056270.760000000009313,2329670.000000000000000,11315923.359999999403954
20140613,2351503.040000000037253,2360265.700000000186265,2238885.839999999850988,2071317.519999999785796,2327272.399999999906868,11349244.500000000000000
20140616,2352384.000000000000000,2355837.500000000000000,2237138.959999999962747,2083890.839999999850988,2320479.200000000186265,11349730.500000000000000
20140617,2349300.640000000130385,2342236.600000000093132,2225784.240000000223517,2087394.879999999888241,2320079.600000000093132,11324795.959999999031425
20140618,2367140.080000000074506,2365642.800000000279397,2244999.919999999925494,2089043.839999999850988,2334065.600000000093132,11400892.240000000223517
20140619,2362074.560000000055879,2345399.600000000093132,2266835.919999999925494,2100586.559999999590218,2329670.000000000000000,11404566.640000000596046
20140620,2408985.680000000167638,2363428.700000000186265,2298716.479999999515712,2100792.679999999701977,2354445.200000000186265,11526368.739999998360872
20140623,2395771.280000000260770,2382406.699999999720603,2287361.759999999776483,2100586.559999999590218,2337662.000000000000000,11503788.300000000745058
20140624,2374408.000000000000000,2356786.400000000372529,2283868.000000000000000,2091517.279999999795109,2314485.200000000186265,11421064.879999998956919
20140625,2388283.120000000111759,2369754.700000000186265,2309416.120000000111759,2094402.959999999962747,2352047.600000000093132,11513904.500000000000000
20140626,2390045.040000000037253,2347613.700000000186265,2307014.160000000149012,2092341.760000000009313,2338860.799999999813735,11475875.460000000894070
20140627,2395771.280000000260770,2324840.100000000093132,2292602.399999999441206,2091311.159999999683350,2298900.799999999813735,11403425.739999998360872
20140630,2393348.640000000130385,2317881.500000000000000,2284523.080000000074506,2076470.519999999785796,2311688.000000000000000,11383911.740000000223517
