代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13461511.710000000894070
真實報酬,3461511.710000000894070

夏普值報酬,0.337451171000000
夏普值風險,0.091746098267842
夏普值,3.678098331929623

預期報酬,29721.498111340817559
風險,202706.321980061475188
趨勢值,0.146623439372869
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](7),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
Stock#,BA[2](7),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
張數,8345,62092,57028,22004,25618,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,37.300000000046566,16.679999999934807,28.040000000037253,56.439999999944121,2.740000000223517,
20170901,2005591.150000000139698,2005588.279999999795109,2001140.560000000288710,2017823.239999999990687,2007685.400000000372529,10037828.630000000819564
20170905,1977802.300000000046566,1963365.719999999972060,1997148.600000000325963,1969634.479999999981374,2044319.140000000130385,9952270.240000000223517
20170906,1957941.200000000186265,1978888.719999999972060,2039349.319999999832362,1982836.879999999888241,2051492.180000000167638,10010508.300000000745058
20170907,1972044.250000000000000,1972058.600000000093132,2026803.159999999916181,1948070.560000000055879,2052516.900000000372529,9971493.470000000670552
20170908,1992656.400000000139698,1954672.839999999850988,2006843.359999999869615,1945650.119999999878928,2020750.580000000074506,9920573.300000000745058
20170911,2007760.850000000093132,1998758.159999999683350,2039919.600000000325963,1975795.600000000093132,2025874.180000000167638,10048108.390000000596046
20170912,2007677.400000000139698,2012418.399999999674037,2058168.560000000288710,2000000.000000000000000,2039451.720000000204891,10117716.080000000074506
20170913,2018943.150000000139698,1998137.239999999990687,2071855.280000000027940,2005721.040000000037253,2045856.220000000204891,10140512.929999999701977
20170914,2046481.649999999906868,1998758.159999999683350,2080409.479999999748543,2001760.319999999832362,2041244.980000000447035,10168654.589999999850988
20170915,2077942.300000000046566,2014281.159999999683350,2110064.040000000037253,2016062.920000000158325,2059177.580000000074506,10277528.000000000000000
20170918,2111989.900000000372529,2019248.520000000018626,2110064.040000000037253,2044668.119999999878928,2049442.740000000223517,10335413.320000000298023
20170919,2106816.000000000000000,2017385.760000000009313,2123180.479999999981374,2067112.199999999953434,2050723.640000000130385,10365218.080000000074506
20170920,2131851.000000000000000,2024215.880000000121072,2114056.000000000000000,2067112.199999999953434,2062251.740000000223517,10399486.820000000298023
20170921,2136691.100000000558794,2030425.080000000074506,2121469.640000000130385,2091096.560000000055879,2049698.920000000391155,10429381.300000000745058
20170922,2140112.549999999813735,2072026.719999999739230,2120329.080000000074506,2086695.760000000009313,2037402.280000000260770,10456566.390000000596046
20170925,2122337.700000000186265,2093758.919999999925494,2119188.520000000018626,2071072.920000000158325,2027667.440000000409782,10434025.500000000000000
20170926,2117163.799999999813735,2096242.599999999860302,2136867.200000000186265,2061831.239999999990687,2033815.760000000242144,10445920.599999999627471
20170927,2130348.900000000372529,2078856.839999999850988,2140859.160000000149012,2094397.160000000149012,2031253.960000000428408,10475716.020000001415610
20170928,2121920.450000000186265,2070784.880000000121072,2157397.279999999795109,2098797.959999999962747,2022543.840000000316650,10471444.410000000149012
20170929,2121419.750000000000000,2088170.640000000130385,2171654.279999999795109,2101658.479999999981374,2001793.260000000242144,10484696.410000000149012
20171002,2136273.850000000558794,2095621.679999999934807,2226401.160000000149012,2130923.799999999813735,2009734.840000000316650,10598955.330000000074506
20171003,2131851.000000000000000,2101830.879999999888241,2245790.680000000167638,2142145.839999999850988,2029460.700000000186265,10651079.100000001490116
20171004,2134354.500000000000000,2076373.159999999683350,2243509.560000000055879,2120361.879999999888241,2026130.360000000335276,10600729.460000000894070
20171005,2160474.349999999627471,2085686.960000000195578,2254344.879999999888241,2136424.799999999813735,2034328.120000000111759,10671259.109999999403954
