代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12383444.890000000596046
真實報酬,2383444.890000000596046

夏普值報酬,0.229644489000000
夏普值風險,0.073356997808258
夏普值,3.130505553134120

預期報酬,22704.625451625866845
風險,189015.535801091638859
趨勢值,0.120120419495670
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),UNH[23](2),WMT[28](5),
Stock#,HD[9](1),NKE[19](4),UNH[23](2),WMT[28](5),
張數,30921,64817,30845,33976,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.150000000372529,8.310000000055879,12.750000000000000,45.919999999925494,
20140801,2465986.900000000372529,2488332.939999999944121,2513571.799999999813735,2498640.959999999962747,9966532.599999999627471
20140804,2474644.780000000260770,2500648.169999999925494,2537630.899999999906868,2498640.959999999962747,10011564.809999998658895
20140805,2474644.780000000260770,2492870.129999999888241,2498149.299999999813735,2491845.760000000242144,9957509.970000000670552
20140806,2489796.070000000298023,2500000.000000000000000,2513880.250000000000000,2521065.120000000111759,10024741.440000001341105
20140807,2488250.020000000484288,2474073.200000000186265,2444787.450000000186265,2512571.120000000111759,9919681.790000000968575
20140808,2548855.180000000633299,2497407.320000000298023,2471314.150000000372529,2537033.839999999850988,10054610.490000002086163
20140811,2562769.630000000353903,2497407.320000000298023,2463602.900000000372529,2526501.279999999795109,10050281.130000000819564
20140812,2564006.470000000204891,2487036.600000000093132,2474398.649999999906868,2521744.639999999664724,10047186.359999999403954
20140813,2570190.670000000391155,2503889.020000000018626,2514188.700000000186265,2515289.200000000186265,10103557.589999999850988
20140814,2593072.210000000428408,2505185.359999999869615,2523750.649999999906868,2527520.560000000055879,10149528.780000001192093
20140815,2587815.640000000130385,2500000.000000000000000,2512954.899999999906868,2510872.320000000298023,10111642.860000001266599
20140818,2584723.540000000502914,2546020.070000000298023,2539790.050000000279397,2530918.159999999683350,10201451.820000002160668
20140819,2728196.980000000447035,2544723.729999999981374,2574644.899999999906868,2544168.799999999813735,10391734.410000000149012
20140820,2806117.900000000372529,2557687.129999999888241,2573411.100000000093132,2546886.879999999888241,10484103.010000001639128
20140821,2818486.300000000745058,2558335.299999999813735,2583898.399999999906868,2566932.719999999739230,10527652.719999998807907
20140822,2814775.780000000260770,2570002.359999999869615,2584206.850000000093132,2573048.399999999906868,10542033.390000000596046
20140825,2820032.350000000558794,2593336.479999999981374,2598395.549999999813735,2571689.359999999869615,10583453.740000000223517
20140826,2833328.380000000353903,2575835.890000000130385,2625539.150000000372529,2565913.439999999944121,10600616.860000001266599
20140827,2840749.420000000391155,2583613.930000000167638,2664403.849999999627471,2577125.519999999552965,10665892.719999998807907
20140828,2860538.860000000335276,2554446.279999999795109,2663170.050000000279397,2578824.320000000298023,10656979.510000001639128
20140829,2891150.650000000372529,2546020.070000000298023,2673657.350000000093132,2565233.919999999925494,10676061.990000000223517
20140902,2818486.300000000745058,2569354.189999999944121,2664712.299999999813735,2573727.919999999925494,10626280.710000000894070
20140903,2752006.150000000372529,2554446.279999999795109,2677050.300000000279397,2582561.680000000167638,10566064.410000000149012
20140904,2780762.680000000633299,2590095.629999999888241,2685378.450000000186265,2601248.479999999981374,10657485.240000000223517
20140905,2832709.960000000428408,2658801.650000000372529,2706661.500000000000000,2633525.680000000167638,10831698.790000000968575
20140908,2808282.370000000111759,2670468.710000000428408,2711596.699999999720603,2600229.200000000186265,10790576.980000000447035
20140909,2749841.680000000633299,2652319.950000000186265,2731645.950000000186265,2607364.159999999683350,10741171.740000000223517
20140910,2759736.400000000372529,2673061.390000000130385,2691239.000000000000000,2599549.680000000167638,10723586.470000000670552
20140911,2758808.770000000484288,2651671.779999999795109,2685995.350000000093132,2585619.519999999552965,10682095.419999999925494
20140912,2747058.790000000502914,2652319.950000000186265,2658234.850000000093132,2574407.439999999944121,10632021.029999999329448
20140915,2763756.130000000353903,2645190.080000000074506,2653608.100000000093132,2575766.479999999981374,10638320.790000000968575
20140916,2791275.820000000298023,2631578.510000000242144,2688462.949999999720603,2593094.239999999757856,10704411.519999999552965
20140917,2820650.770000000484288,2641949.229999999981374,2683219.299999999813735,2590376.159999999683350,10736195.459999999031425
20140918,2847552.040000000502914,2656857.140000000130385,2702960.099999999627471,2589696.639999999664724,10797065.919999999925494
20140919,2855282.290000000502914,2651671.779999999795109,2708203.750000000000000,2610761.760000000242144,10825919.580000000074506
20140922,2841367.840000000316650,2615374.260000000242144,2707278.399999999906868,2592754.479999999981374,10756774.980000000447035
20140923,2828999.440000000409782,2596577.330000000074506,2670881.300000000279397,2568631.519999999552965,10665089.589999999850988
20140924,2876308.570000000298023,2619911.450000000186265,2720850.199999999720603,2618916.000000000000000,10835986.220000000670552
20140925,2841677.050000000745058,2584910.270000000018626,2658234.850000000093132,2586299.040000000037253,10671121.210000000894070
20140926,2870742.790000000502914,2900569.060000000055879,2671189.750000000000000,2598870.159999999683350,11041371.760000001639128
20140929,2871979.630000000353903,2888253.830000000074506,2668413.700000000186265,2584940.000000000000000,11013587.160000000149012
20140930,2836729.690000000409782,2890846.510000000242144,2660394.000000000000000,2598190.639999999664724,10986160.839999999850988
20141001,2814466.570000000298023,2842233.760000000242144,2618136.349999999627471,2586299.040000000037253,10861135.719999998807907
20141002,2852190.190000000409782,2894087.359999999869615,2618753.250000000000000,2590036.399999999906868,10955067.200000001117587
20141003,2892387.490000000689179,2926495.859999999869615,2653299.649999999906868,2627070.239999999757856,11099253.240000000223517
20141006,2883729.610000000335276,2891494.680000000167638,2624613.800000000279397,2628089.519999999552965,11027927.610000001266599
20141007,2859302.020000000484288,2854548.990000000223517,2596853.299999999813735,2626390.719999999739230,10937095.030000001192093
20141008,2909394.040000000502914,2879179.450000000186265,2671806.650000000372529,2658328.159999999683350,11118708.300000000745058
20141009,2877854.620000000111759,2827325.850000000093132,2619987.049999999813735,2645417.279999999795109,10970584.800000000745058
20141010,2861775.700000000186265,2826029.510000000242144,2633867.299999999813735,2660026.959999999962747,10981699.470000000670552
20141013,2801479.750000000000000,2767694.210000000428408,2589450.500000000000000,2635224.479999999981374,10793848.940000001341105
20141014,2786019.250000000000000,2757971.659999999683350,2554595.649999999906868,2649494.399999999906868,10748080.960000000894070
20141015,2716447.000000000000000,2760564.340000000316650,2534237.949999999720603,2555041.120000000111759,10566290.410000000149012
20141016,2748295.630000000353903,2820844.150000000372529,2633867.299999999813735,2508154.239999999757856,10711161.320000000298023
20141017,2790348.190000000409782,2825381.340000000316650,2719924.850000000093132,2517667.519999999552965,10853321.900000000372529
20141020,2840131.000000000000000,2881123.960000000428408,2731029.050000000279397,2553002.560000000055879,11005286.570000002160668
20141021,2912795.350000000558794,2937514.750000000000000,2805365.500000000000000,2582901.439999999944121,11238577.040000000968575
20141022,2886203.290000000502914,2912236.120000000111759,2768968.399999999906868,2583241.200000000186265,11150649.010000001639128
20141023,2931347.950000000186265,2929088.540000000037253,2796420.449999999720603,2590715.919999999925494,11247572.859999999403954
20141024,2937222.940000000409782,2945940.960000000428408,2826648.549999999813735,2595132.799999999813735,11304945.250000000000000
20141027,2952065.020000000484288,2969923.250000000000000,2841762.599999999627471,2602267.760000000242144,11366018.630000000819564
20141028,2986696.540000000502914,2996498.219999999739230,2857493.549999999813735,2594113.519999999552965,11434801.829999998211861
20141029,2981439.970000000204891,2980293.969999999739230,2867363.949999999720603,2595472.560000000055879,11424570.449999999254942
20141030,3015453.070000000298023,3013998.810000000055879,2895741.349999999627471,2597511.120000000111759,11522704.350000001490116
20141031,3015453.070000000298023,3013350.640000000130385,2930596.200000000186265,2591395.439999999944121,11550795.349999999627471
20141103,2971236.040000000502914,3028906.719999999739230,2925969.450000000186265,2591735.200000000186265,11517847.410000000149012
20141104,2967216.310000000055879,3045110.969999999739230,2929670.850000000093132,2625031.680000000167638,11567029.809999998658895
20141105,2961650.530000000260770,3068445.090000000316650,2954963.750000000000000,2639981.120000000111759,11625040.490000002086163
20141106,3008341.240000000689179,3065852.409999999683350,2967610.199999999720603,2643718.479999999981374,11685522.330000000074506
20141107,3019472.800000000745058,3039277.439999999944121,2887413.200000000186265,2676335.439999999944121,11622498.880000000819564
20141110,3035242.510000000242144,3077519.469999999739230,2922576.500000000000000,2699099.359999999869615,11734437.839999999850988
20141111,3034624.090000000316650,3074926.790000000037253,2951570.799999999813735,2684489.680000000167638,11745611.359999999403954
20141112,3045446.440000000409782,3105390.779999999795109,2951262.350000000093132,2690945.120000000111759,11793044.690000001341105
20141113,3061216.150000000372529,3115113.330000000074506,2958048.250000000000000,2818015.359999999869615,11952393.089999999850988
20141114,3037716.190000000409782,3095020.060000000055879,2933680.700000000186265,2818694.879999999888241,11885111.829999998211861
20141117,3031222.780000000260770,3113168.820000000298023,2975629.899999999906868,2839420.239999999757856,11959441.740000000223517
20141118,2967834.730000000447035,3126780.390000000130385,3028683.299999999813735,2846894.959999999962747,11970193.380000002682209
20141119,2990097.850000000558794,3142336.469999999739230,2987659.450000000186265,2887666.159999999683350,12007759.929999999701977
20141120,3016999.120000000111759,3153355.359999999869615,2987351.000000000000000,2873736.000000000000000,12031441.480000000447035
20141121,3038953.030000000260770,3157244.379999999888241,2983032.699999999720603,2876114.320000000298023,12055344.429999999701977
20141124,3042663.550000000745058,3174744.969999999739230,2988893.250000000000000,2901596.320000000298023,12107898.089999999850988
20141125,2999683.360000000335276,3153355.359999999869615,3019738.250000000000000,2886307.120000000111759,12059084.089999999850988
20141126,3021018.850000000558794,3169559.609999999869615,3026215.700000000186265,2887326.399999999906868,12104120.560000000521541
20141128,3073584.550000000745058,3218172.359999999869615,3042255.099999999627471,2974304.959999999962747,12308316.969999998807907
20141201,3057505.630000000353903,3166318.760000000242144,3055518.450000000186265,2929456.639999999664724,12208799.480000000447035
20141202,3035242.510000000242144,3177337.650000000372529,3079269.100000000093132,2935572.320000000298023,12227421.580000000074506
20141203,3048538.540000000502914,3192245.560000000055879,3109188.750000000000000,2885967.359999999869615,12235940.210000000894070
20141204,3059670.100000000558794,3210394.320000000298023,3074333.899999999906868,2879851.680000000167638,12224250.000000000000000
20141205,3081005.590000000316650,3219468.700000000186265,3094691.600000000093132,2858107.040000000037253,12253272.929999999701977
20141208,3105433.180000000633299,3166966.930000000167638,3082045.149999999906868,2861844.399999999906868,12216289.660000002011657
20141209,3081005.590000000316650,3144929.150000000372529,3115974.649999999906868,2839080.479999999981374,12180989.870000001043081
20141210,3059360.890000000130385,3165022.419999999925494,3056443.800000000279397,2819374.399999999906868,12100201.510000001639128
20141211,3100485.820000000298023,3141688.299999999813735,3076184.600000000093132,2848254.000000000000000,12166612.720000000670552
20141212,3085334.530000000260770,3117057.840000000316650,3046264.950000000186265,2847574.479999999981374,12096231.800000000745058
20141215,3093683.200000000186265,3093075.549999999813735,3031150.899999999906868,2851991.359999999869615,12069901.009999999776483
