代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11914475.860000001266599
真實報酬,1914475.860000001266599

夏普值報酬,0.182747586000000
夏普值風險,0.063357912946149
夏普值,2.884368778929440

預期報酬,18175.516556524380576
風險,207398.379979980702046
趨勢值,0.087635769181412
找到最佳解世代,2106
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),UNH[23](1),
Stock#,MCD[15](2),UNH[23](1),
張數,67870,121802,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,17.099999999627471,27.900000000372529,
20110201,4986426.000000000000000,5124238.040000000037253,10110664.039999999105930
20110202,4997963.899999999441206,5109621.800000000745058,10107585.699999999254942
20110203,5010859.199999999254942,5242385.980000000447035,10253245.179999999701977
20110204,5025790.599999999627471,5175394.880000000819564,10201185.480000000447035
20110207,4985068.599999999627471,5092569.520000000484288,10077638.120000001043081
20110208,5114700.299999999813735,5112057.839999999850988,10226758.140000000596046
20110209,5153386.200000000186265,5124238.040000000037253,10277624.240000000223517
20110210,5141848.299999999813735,5168086.760000000707805,10309935.060000000521541
20110211,5167638.899999999441206,5161996.660000001080334,10329635.560000000521541
20110214,5174425.899999999441206,5171740.820000000298023,10346166.719999998807907
20110215,5168317.599999999627471,5119365.960000000894070,10287683.560000000521541
20110216,5159494.499999999068677,5176612.900000000372529,10336107.399999998509884
20110217,5156779.700000000186265,5187575.080000001005828,10344354.780000001192093
20110218,5166960.199999999254942,5218025.580000001005828,10384985.780000001192093
20110222,5137776.099999999627471,5232641.820000000298023,10370417.919999999925494
20110223,5103162.399999999441206,5226551.719999999739230,10329714.119999999180436
20110224,5104519.799999998882413,5207063.400000000372529,10311583.199999999254942
20110225,5052259.899999999441206,5179048.940000000409782,10231308.839999999850988
20110228,5136418.700000000186265,5186357.060000000521541,10322775.760000001639128
20110301,5082801.399999999441206,5170522.800000000745058,10253324.199999999254942
20110302,5069227.399999999441206,5305723.020000000484288,10374950.419999999925494
20110303,5174425.899999999441206,5455539.480000000447035,10629965.379999998956919
20110304,5160173.199999999254942,5414126.800000000745058,10574300.000000000000000
20110307,5177819.400000000372529,5305723.020000000484288,10483542.420000001788139
20110308,5126916.900000000372529,5338609.560000000521541,10465526.460000000894070
