代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11703900.429999999701977
真實報酬,1703900.429999999701977

夏普值報酬,0.161690043000000
夏普值風險,0.058143256265387
夏普值,2.780890740999891

預期報酬,18072.955555493605061
風險,144489.556709073280217
趨勢值,0.125081396656806
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),MRK[17](16),UNH[23](2),WBA[27](1),
Stock#,DIS[6](5),MRK[17](16),UNH[23](2),WBA[27](1),
張數,27358,43148,26313,38928,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.959999999962747,4.879999999888241,1.869999999646097,43.839999999850988,
20141103,2509028.139999999664724,2542285.040000000037253,2496053.049999999813735,2529585.279999999795109,10076951.509999999776483
20141104,2471821.259999999776483,2561701.639999999664724,2499210.609999999869615,2539706.559999999590218,10072440.070000000298023
20141105,2489603.959999999962747,2570331.239999999757856,2520787.269999999552965,2556056.319999999832362,10136778.789999999105930
20141106,2516961.959999999962747,2556955.359999999869615,2531575.599999999627471,2594595.040000000037253,10200087.960000000894070
20141107,2462245.959999999962747,2560407.200000000186265,2463161.799999999813735,2605105.600000000093132,10090920.560000000521541
20141110,2456227.200000000186265,2537538.759999999776483,2493158.619999999646097,2638583.679999999701977,10125508.259999999776483
20141111,2461698.800000000279397,2561701.639999999664724,2517892.839999999385327,2627683.839999999850988,10168977.119999999180436
20141112,2459510.160000000149012,2559112.759999999776483,2517629.709999999962747,2625348.159999999683350,10161600.789999999105930
20141113,2475651.379999999888241,2569036.799999999813735,2523418.569999999832362,2606662.719999999739230,10174769.469999998807907
20141114,2484132.359999999869615,2548757.239999999757856,2502631.299999999813735,2605494.879999999888241,10141015.779999999329448
20141117,2473462.739999999757856,2565584.959999999962747,2538416.979999999515712,2590702.239999999757856,10168166.919999998062849
20141118,2469906.200000000186265,2584138.600000000093132,2583675.339999999385327,2649483.520000000018626,10287203.660000000149012
20141119,2457321.519999999552965,2573351.600000000093132,2548679.049999999813735,2638972.959999999962747,10218325.129999998956919
20141120,2432152.160000000149012,2562133.120000000111759,2548415.919999999459833,2621455.359999999869615,10164156.559999998658895
20141121,2433793.639999999664724,2574214.559999999590218,2544732.099999999627471,2631187.359999999869615,10183927.659999998286366
20141124,2478113.600000000093132,2556523.879999999888241,2549731.569999999832362,2636637.279999999795109,10221006.330000000074506
20141125,2507386.660000000149012,2560407.200000000186265,2576044.569999999832362,2639751.520000000018626,10283589.949999999254942
20141126,2514773.319999999832362,2578097.879999999888241,2581570.299999999813735,2665444.000000000000000,10339885.500000000000000
20141128,2530914.540000000037253,2606144.079999999608845,2595253.059999999590218,2670893.919999999925494,10403205.599999997764826
20141201,2536112.560000000055879,2611321.839999999850988,2606567.649999999906868,2638194.399999999906868,10392196.450000001117587
20141202,2557178.219999999739230,2622540.319999999832362,2626828.659999999683350,2598487.839999999850988,10405035.039999999105930
20141203,2547329.339999999850988,2613910.719999999739230,2652352.269999999552965,2623012.479999999515712,10436604.809999998658895
20141204,2550612.300000000279397,2628581.040000000037253,2622618.579999999608845,2643255.040000000037253,10445066.960000000894070
20141205,2565112.040000000037253,2653175.399999999906868,2639985.159999999683350,2670504.639999999664724,10528777.239999998360872
20141208,2566206.359999999869615,2670003.120000000111759,2629196.829999999608845,2636637.279999999795109,10502043.589999999850988
20141209,2542678.479999999981374,2589316.359999999869615,2658141.129999999422580,2670115.359999999869615,10460251.329999998211861
20141210,2506839.500000000000000,2588021.919999999925494,2607357.039999999571592,2652987.040000000037253,10355205.500000000000000
20141211,2510122.459999999962747,2560407.200000000186265,2624197.359999999869615,2842177.120000000111759,10536904.140000000596046
20141212,2503009.379999999888241,2490507.439999999944121,2598673.750000000000000,2900179.839999999850988,10492370.410000000149012
20141215,2486868.160000000149012,2457283.479999999981374,2585780.379999999422580,2858916.159999999683350,10388848.179999999701977
20141216,2466896.819999999832362,2450811.279999999795109,2522102.919999999459833,2818041.759999999776483,10257852.779999999329448
20141217,2500000.000000000000000,2486624.120000000111759,2608672.689999999478459,2802470.559999999590218,10397767.369999999180436
20141218,2533650.339999999850988,2544873.919999999925494,2690242.989999999292195,2895508.479999999515712,10664275.729999998584390
20141219,2541310.580000000074506,2570762.719999999739230,2696821.239999999292195,2850741.279999999795109,10659635.819999998435378
20141222,2577149.560000000055879,2544010.959999999962747,2711293.389999999664724,2891226.399999999906868,10723680.309999998658895
20141223,2590554.979999999981374,2468501.959999999962747,2706293.919999999459833,2978425.120000000111759,10743775.980000000447035
20141224,2583168.319999999832362,2479288.959999999962747,2701820.709999999962747,2984653.600000000093132,10748931.589999999850988
20141226,2599856.700000000186265,2493096.319999999832362,2698400.019999999552965,2976478.719999999739230,10767831.759999997913837
20141229,2612714.959999999962747,2490938.919999999925494,2692611.159999999683350,2989324.959999999962747,10785590.000000000000000
20141230,2590828.560000000055879,2487487.079999999608845,2706293.919999999459833,2960518.239999999757856,10745127.799999998882413
20141231,2576875.979999999981374,2450379.799999999813735,2659983.039999999571592,2966357.439999999944121,10653596.259999997913837
20150102,2564838.459999999962747,2467639.000000000000000,2651826.009999999776483,2958571.839999999850988,10642875.309999998658895
20150105,2527358.000000000000000,2504314.799999999813735,2608146.429999999701977,2900179.839999999850988,10539999.070000000298023
20150106,2513952.580000000074506,2602692.239999999757856,2602883.829999999608845,2907576.159999999683350,10627104.810000000521541
20150107,2539669.100000000093132,2658353.159999999683350,2629459.959999999962747,2981928.639999999664724,10809410.859999999403954
20150108,2565932.780000000260770,2711856.680000000167638,2754972.969999999739230,3018910.239999999757856,11051672.669999999925494
20150109,2578517.459999999962747,2699343.759999999776483,2729186.229999999515712,2945725.600000000093132,10952773.049999998882413
20150112,2584262.639999999664724,2688125.279999999795109,2698400.019999999552965,2946893.439999999944121,10917681.379999998956919
20150113,2604233.979999999981374,2683379.000000000000000,2712082.779999999329448,2929765.120000000111759,10929460.879999998956919
20150114,2577970.300000000279397,2702795.600000000093132,2718924.159999999683350,2919254.559999999590218,10918944.620000001043081
20150115,2581253.259999999776483,2670003.120000000111759,2748657.849999999627471,2911079.679999999701977,10910993.910000000149012
20150116,2603960.400000000372529,2719623.319999999832362,2783127.879999999422580,2959739.679999999701977,11066451.279999999329448
20150120,2591922.879999999888241,2701501.159999999683350,2779180.929999999701977,2960518.239999999757856,11033123.209999999031425
20150121,2576328.819999999832362,2682084.559999999590218,2876539.029999999329448,2942611.359999999869615,11077563.769999997690320
