代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11484426.000000000000000
真實報酬,1484426.000000000000000

夏普值報酬,0.139742600000000
夏普值風險,0.056704484413551
夏普值,2.464401209979166

預期報酬,15981.587285223473373
風險,254687.039096046151826
趨勢值,0.062749904125261
找到最佳解世代,2429
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),HD[9](1),MCD[15](6),UNH[23](11),
Stock#,AAPL[0](4),HD[9](1),MCD[15](6),UNH[23](11),
張數,87535,91374,39525,87199,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.399999999906868,7.359999999869615,43.750000000000000,4.669999999925494,
20091201,2463235.299999999813735,2558479.359999999869615,2511462.250000000000000,2502615.969999999739230,10035792.879999998956919
20091202,2453606.450000000186265,2588632.779999999795109,2470356.250000000000000,2466864.379999999888241,9979459.859999999403954
20091203,2457107.850000000093132,2552083.179999999701977,2449408.000000000000000,2383153.339999999850988,9841752.369999999180436
20091204,2417717.100000000093132,2565789.279999999795109,2434388.500000000000000,2394489.209999999962747,9812384.089999999850988
20091207,2362570.049999999813735,2578581.639999999664724,2447827.000000000000000,2467736.370000000111759,9856715.059999998658895
20091208,2373949.600000000093132,2528325.939999999944121,2395654.000000000000000,2481688.209999999962747,9779617.750000000000000
20091209,2473739.500000000000000,2517361.060000000055879,2395258.750000000000000,2485176.169999999925494,9871535.480000000447035
20091210,2456232.500000000000000,2557565.619999999646097,2413045.000000000000000,2643006.359999999869615,10069849.479999998584390
20091211,2434348.750000000000000,2603252.619999999646097,2437155.250000000000000,2657830.189999999944121,10132586.809999998658895
20091214,2463235.299999999813735,2637974.739999999757856,2456127.250000000000000,2698813.719999999739230,10256151.009999997913837
20091215,2428221.299999999813735,2651680.839999999850988,2450593.750000000000000,2731077.350000000093132,10261573.240000000223517
20091216,2438725.500000000000000,2646198.399999999906868,2467194.250000000000000,2807812.470000000204891,10359930.620000001043081
20091217,2399334.750000000000000,2631578.560000000055879,2447431.750000000000000,2774676.850000000093132,10253021.910000000149012
20091218,2443977.600000000093132,2617872.459999999962747,2457313.000000000000000,2750261.129999999888241,10269424.190000001341105
20091221,2478991.600000000093132,2646198.399999999906868,2476680.250000000000000,2805196.500000000000000,10407066.750000000000000
20091222,2505252.100000000093132,2676351.819999999832362,2488933.000000000000000,2818276.350000000093132,10488813.269999999552965
20091223,2527135.850000000093132,2649853.359999999869615,2504347.750000000000000,2757237.049999999813735,10438574.009999999776483
20091224,2613795.500000000000000,2665386.939999999944121,2506719.250000000000000,2762468.989999999757856,10548370.679999999701977
20091228,2646183.449999999720603,2666300.679999999701977,2514229.000000000000000,2737181.279999999795109,10563894.409999998286366
20091229,2614670.850000000093132,2674524.339999999850988,2513438.500000000000000,2690093.819999999832362,10492727.509999999776483
20091230,2646183.449999999720603,2661731.979999999981374,2485771.000000000000000,2704045.660000000149012,10497732.089999999850988
20091231,2634803.899999999906868,2643457.179999999701977,2467984.750000000000000,2657830.189999999944121,10404076.019999999552965
20100104,2675945.350000000093132,2619699.939999999944121,2481423.250000000000000,2749389.140000000130385,10526457.679999999701977
20100105,2681197.449999999720603,2638888.479999999981374,2462451.250000000000000,2745029.189999999944121,10527566.369999999180436
20100106,2638305.299999999813735,2629751.080000000074506,2428855.000000000000000,2772060.879999999888241,10468972.259999999776483
20100107,2633053.199999999720603,2660818.239999999757856,2446641.250000000000000,2878443.659999999683350,10618956.349999999627471
20100108,2650560.200000000186265,2648025.879999999888241,2444269.750000000000000,2851411.970000000204891,10594267.800000000745058
20100111,2627801.100000000093132,2573099.199999999720603,2463241.750000000000000,2870595.750000000000000,10534737.800000000745058
20100112,2597163.850000000093132,2556651.879999999888241,2476680.250000000000000,2794732.619999999646097,10425228.599999999627471
20100113,2633928.549999999813735,2570357.979999999981374,2473913.500000000000000,2837460.129999999888241,10515660.160000000149012
20100114,2619047.600000000093132,2585891.560000000055879,2476285.000000000000000,2905475.350000000093132,10586699.509999999776483
20100115,2575280.100000000093132,2610562.540000000037253,2461660.750000000000000,2942970.919999999925494,10590474.310000000521541
20100119,2689075.599999999627471,2638888.479999999981374,2509090.750000000000000,3063305.540000000037253,10900360.370000001043081
20100120,2647934.149999999906868,2618786.199999999720603,2490514.000000000000000,3012730.119999999646097,10769964.469999998807907
20100121,2601540.599999999627471,2602338.879999999888241,2498023.750000000000000,2886291.569999999832362,10588194.799999998882413
