代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382427.009999999776483
真實報酬,1382427.009999999776483

夏普值報酬,0.129542701000000
夏普值風險,0.047578719333233
夏普值,2.722702561468843

預期報酬,13230.261858923964610
風險,151436.103638309839880
趨勢值,0.087365308146881
找到最佳解世代,1717
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),INTC[11](1),MSFT[18](4),PG[21](2),WBA[27](17),
Stock#,AAPL[0](3),INTC[11](1),MSFT[18](4),PG[21](2),WBA[27](17),
張數,21335,66050,40104,24962,25227,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,57.100000000093132,6.000000000000000,13.520000000018626,44.559999999823049,3.439999999944121,
20160502,1997866.500000000000000,2021796.500000000000000,2029676.959999999962747,2021217.699999999720603,2032290.560000000055879,10102848.220000000670552
20160503,2030722.400000000139698,2005284.000000000000000,1996390.640000000130385,2024462.759999999776483,2054994.859999999869615,10111854.660000000149012
20160504,2009600.750000000000000,1971598.500000000000000,2000000.000000000000000,2036943.759999999776483,2055751.669999999925494,10073894.679999999701977
20160505,1989332.500000000000000,1974901.000000000000000,2002807.280000000027940,2029455.159999999683350,2054994.859999999869615,10051490.799999998882413
20160506,1978238.300000000046566,1984148.000000000000000,2020854.080000000074506,2050173.619999999646097,2003784.050000000046566,10037198.050000000745058
20160509,1979731.750000000232831,1968296.000000000000000,2008020.800000000046566,2049924.000000000000000,2040615.469999999972060,10046588.019999999552965
20160510,1993172.800000000046566,1990753.000000000000000,2046119.600000000093132,2058910.319999999832362,2041372.280000000027940,10130328.000000000000000
20160511,1973757.950000000186265,1985469.000000000000000,2047322.719999999972060,2050672.859999999869615,2023965.650000000139698,10081188.179999999701977
20160512,1927461.000000000232831,1965654.000000000000000,2065770.559999999823049,2057162.979999999748543,2014883.930000000167638,10030932.469999998807907
20160513,1931301.300000000046566,1975561.500000000000000,2048525.839999999850988,2027707.819999999832362,1983097.909999999916181,9966194.369999999180436
20160516,2002986.899999999906868,2007265.500000000000000,2078603.839999999850988,2037692.619999999646097,1989656.930000000167638,10116205.789999999105930
20160517,1994666.250000000000000,1980185.000000000000000,2025666.559999999823049,2012481.000000000000000,1929364.400000000139698,9942363.209999999031425
20160518,2017494.700000000186265,1980845.500000000000000,2037697.760000000009313,1993260.259999999776483,1930878.020000000018626,9960176.240000000223517
20160519,2009814.100000000093132,1957067.500000000000000,2018046.800000000046566,2001747.339999999850988,1922553.109999999869615,9909228.849999999627471
20160520,2031575.800000000046566,1991413.500000000000000,2030078.000000000000000,1997503.799999999813735,1948032.379999999888241,9998603.480000000447035
20160523,2057391.150000000139698,1996697.500000000000000,2006416.640000000130385,2001996.959999999962747,1930625.750000000000000,9993128.000000000000000
20160524,2088753.600000000325963,2051519.000000000000000,2068978.880000000121072,2021217.699999999720603,1946266.489999999990687,10176735.669999999925494
20160525,2125449.800000000279397,2073315.500000000000000,2090234.000000000000000,2033948.319999999832362,1958375.449999999720603,10281323.070000000298023
20160526,2142304.450000000186265,2079920.500000000000000,2081010.080000000074506,2027458.199999999720603,1936932.500000000000000,10267625.730000000447035
20160527,2141024.350000000093132,2085204.500000000000000,2098254.799999999813735,2032700.219999999972060,1942482.439999999944121,10299666.309999998658895
20160531,2130570.200000000186265,2086525.500000000000000,2125525.520000000018626,2022965.040000000037253,1952573.239999999990687,10318159.500000000000000
20160601,2100701.200000000186265,2091149.000000000000000,2119509.919999999925494,2041686.540000000037253,1970232.139999999897555,10323278.800000000745058
20160602,2084913.300000000046566,2097754.000000000000000,2104671.439999999944121,2045680.459999999962747,1995459.139999999897555,10328478.339999999850988
20160603,2089180.300000000046566,2088507.000000000000000,2076999.679999999934807,2058660.699999999720603,1984863.800000000046566,10298211.480000000447035
20160606,2104328.149999999906868,2092470.000000000000000,2090635.040000000037253,2066149.299999999813735,1984359.259999999776483,10337941.750000000000000
20160607,2112862.149999999906868,2105680.000000000000000,2089431.920000000158325,2054916.399999999674037,1995963.680000000167638,10358854.150000000372529
20160608,2110942.000000000000000,2106340.500000000000000,2087025.679999999934807,2063153.859999999869615,2004036.319999999832362,10371498.359999999403954
20160609,2126089.850000000093132,2109643.000000000000000,2070182.000000000000000,2076134.099999999860302,1993188.709999999962747,10375237.660000000149012
20160610,2108595.149999999906868,2116248.000000000000000,2064567.439999999944121,2076882.959999999962747,2080474.129999999888241,10446767.679999999701977
20160613,2076806.000000000232831,2124834.500000000000000,2010828.080000000074506,2061156.899999999674037,2128153.160000000149012,10401778.640000000596046
20160614,2079366.199999999953434,2122853.000000000000000,1998395.839999999850988,2080627.259999999776483,2127648.620000000111759,10408890.919999999925494
20160615,2072539.000000000000000,2087846.500000000000000,1992781.280000000027940,2070642.459999999962747,2099142.109999999869615,10322951.349999999627471
20160616,2081286.350000000093132,2093130.500000000000000,2020854.080000000074506,2082124.979999999748543,2097628.490000000223517,10375024.399999998509884
20160617,2033922.650000000139698,2097754.000000000000000,2010427.040000000037253,2075135.619999999646097,2085014.989999999990687,10302254.300000000745058
20160620,2029015.599999999860302,2124834.500000000000000,2008020.800000000046566,2072889.040000000037253,2092078.550000000046566,10326838.490000000223517
20160621,2046296.949999999953434,2134742.000000000000000,2052937.280000000027940,2082124.979999999748543,2098889.839999999850988,10414991.050000000745058
20160622,2038616.350000000093132,2132760.500000000000000,2044916.480000000214204,2086118.899999999674037,2112512.419999999925494,10414924.649999998509884
20160623,2050350.599999999860302,2178995.500000000000000,2081812.159999999916181,2102094.580000000074506,2145812.060000000055879,10559064.900000000372529
20160624,1992746.100000000325963,2083883.500000000000000,1998395.839999999850988,2053418.679999999934807,2063067.500000000000000,10191511.620000001043081
20160627,1963730.500000000232831,2029062.000000000000000,1942250.239999999990687,2027707.819999999832362,2002774.969999999972060,9965525.530000001192093
20160628,1996799.750000000232831,2060105.500000000000000,1982755.280000000027940,2058411.079999999608845,2015136.199999999720603,10113207.809999998658895
20160629,2014081.100000000325963,2108982.500000000000000,2026869.679999999934807,2094605.979999999748543,2098637.569999999832362,10343176.830000000074506
20160630,2039683.099999999860302,2166446.000000000000000,2052135.200000000186265,2113577.099999999627471,2100655.729999999981374,10472497.129999998956919
20160701,2045870.250000000000000,2163143.500000000000000,2051734.159999999916181,2116322.919999999925494,2095358.060000000055879,10472428.890000000596046
20160705,2026668.750000000000000,2158520.000000000000000,2052135.200000000186265,2132797.839999999850988,2106962.479999999981374,10477084.269999999552965
20160706,2038189.650000000139698,2177674.500000000000000,2060557.040000000037253,2122563.419999999925494,2057265.289999999804422,10456249.899999998509884
20160707,2046937.000000000000000,2192866.000000000000000,2060557.040000000037253,2117571.019999999552965,2030776.939999999944121,10448707.999999998137355
20160708,2062724.900000000139698,2245706.000000000000000,2097452.719999999739230,2141035.299999999813735,2063572.039999999804422,10610490.959999999031425
20160711,2069125.400000000139698,2270805.000000000000000,2109082.880000000353903,2140536.059999999590218,2068869.709999999962747,10658419.050000000745058
20160712,2078512.800000000046566,2307793.000000000000000,2133947.359999999869615,2140536.059999999590218,2048940.379999999888241,10709729.599999997764826
20160713,2066778.550000000279397,2312416.500000000000000,2145978.560000000055879,2144030.740000000223517,2062815.229999999748543,10732019.580000001937151
20160714,2107741.750000000000000,2324966.000000000000000,2155202.479999999981374,2143531.500000000000000,2113521.500000000000000,10844963.230000000447035
20160715,2107528.399999999906868,2316379.500000000000000,2153598.320000000298023,2147026.179999999701977,2081483.209999999962747,10806015.609999999403954
20160718,2129930.149999999906868,2315058.500000000000000,2164025.359999999869615,2145029.219999999739230,2088294.500000000000000,10842337.730000000447035
20160719,2130783.550000000279397,2321663.500000000000000,2129134.880000000353903,2151020.099999999627471,2073915.109999999869615,10806517.140000000596046
20160720,2132703.700000000186265,2357330.500000000000000,2242228.159999999683350,2129802.399999999441206,2081483.209999999962747,10943547.969999998807907
