代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12109813.730000000447035
真實報酬,2109813.730000000447035

夏普值報酬,0.202281373000000
夏普值風險,0.057396873727264
夏普值,3.524257679280455

預期報酬,16625.877412531845039
風險,145843.690775166207459
趨勢值,0.113997920130549
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](7),PFE[20](5),UNH[23](8),
Stock#,BA[2](2),DD[7](7),PFE[20](5),UNH[23](8),
張數,25247,50947,91810,39916,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,42.060000000055879,30.709999999962747,13.700000000186265,60.919999999925494,
20130603,2543424.839999999850988,2491339.009999999776483,2547741.200000000186265,2506785.719999999739230,10089290.769999999552965
20130604,2514895.729999999981374,2511717.809999999590218,2539478.300000000279397,2489222.679999999701977,10055314.519999999552965
20130605,2486619.089999999850988,2441920.419999999925494,2522952.500000000000000,2464873.919999999925494,9916365.929999999701977
20130606,2518682.780000000260770,2458732.929999999701977,2580792.800000000279397,2471659.640000000130385,10029868.150000000372529
20130607,2587607.089999999850988,2492357.950000000186265,2594564.300000000279397,2497605.040000000037253,10172134.379999998956919
20130610,2581295.339999999850988,2490829.540000000037253,2604663.400000000372529,2541911.799999999813735,10218700.080000000074506
20130611,2568924.310000000055879,2466884.450000000186265,2609253.900000000372529,2551890.799999999813735,10196953.460000000894070
20130612,2546959.419999999925494,2451600.349999999627471,2610172.000000000000000,2547899.199999999720603,10156630.969999998807907
20130613,2579275.580000000074506,2513755.689999999944121,2669848.500000000000000,2560672.320000000298023,10323552.089999999850988
20130614,2570944.069999999832362,2467393.919999999925494,2670766.600000000093132,2546701.719999999739230,10255806.309999998658895
20130617,2601240.470000000204891,2477073.849999999627471,2677193.300000000279397,2569453.840000000316650,10324961.460000000894070
20130618,2627749.819999999832362,2511717.809999999590218,2699227.700000000186265,2621743.800000000279397,10460439.129999998956919
20130619,2581547.810000000055879,2474017.030000000260770,2671684.700000000186265,2604979.080000000074506,10332228.620000001043081
20130620,2515653.140000000130385,2408295.399999999906868,2629452.100000000093132,2546701.719999999739230,10100102.359999999403954
20130621,2524237.120000000111759,2367537.799999999813735,2612926.300000000279397,2550693.319999999832362,10055394.540000000968575
20130624,2470461.009999999776483,2347159.000000000000000,2544068.800000000279397,2580630.320000000298023,9942319.130000000819564
20130625,2491163.550000000279397,2357857.870000000111759,2569775.600000000093132,2543907.599999999627471,9962704.619999999180436
20130626,2543677.310000000055879,2336460.129999999888241,2579874.700000000186265,2585819.399999999906868,10045831.539999999105930
20130627,2604270.110000000335276,2347159.000000000000000,2587219.500000000000000,2638109.359999999869615,10176757.970000000670552
20130628,2586344.740000000223517,2333912.780000000260770,2571611.800000000279397,2613760.600000000093132,10105629.919999999925494
20130701,2606542.339999999850988,2357857.870000000111759,2550495.500000000465661,2619747.999999999534339,10134643.710000000894070
20130702,2561855.149999999906868,2353782.110000000335276,2543150.700000000186265,2605378.239999999757856,10064166.199999999254942
20130703,2597705.890000000130385,2352763.169999999925494,2538560.200000000186265,2616155.560000000055879,10105184.820000000298023
20130705,2630779.459999999962747,2371613.559999999590218,2567939.399999999906868,2641302.640000000130385,10211635.060000000521541
20130708,2635071.450000000186265,2400653.349999999627471,2582629.000000000000000,2696785.879999999888241,10315139.679999999701977
20130709,2642898.020000000018626,2468412.860000000335276,2602827.200000000186265,2713151.439999999944121,10427289.520000001415610
20130710,2663600.560000000055879,2451600.349999999627471,2611090.100000000093132,2701974.959999999962747,10428265.969999998807907
20130711,2698441.419999999925494,2481149.610000000335276,2641387.400000000372529,2728718.679999999701977,10549697.109999999403954
20130712,2571953.950000000186265,2475545.439999999944121,2645059.800000000279397,2714348.919999999925494,10406908.110000001266599
20130715,2667640.080000000074506,2495924.240000000223517,2643223.600000000093132,2699180.840000000316650,10505968.759999999776483
20130716,2631536.870000000111759,2464846.570000000298023,2633124.500000000000000,2670840.479999999981374,10400348.419999999925494
20130717,2645675.190000000409782,2519869.330000000074506,2633124.500000000000000,2643697.600000000093132,10442366.620000001043081
20130718,2717376.669999999925494,2509170.459999999962747,2615680.600000000093132,2816134.719999999739230,10658362.449999999254942
20130719,2700461.179999999701977,2515284.099999999627471,2670766.600000000093132,2852059.120000000111759,10738571.000000000000000
20130722,2697936.479999999981374,2509679.929999999701977,2694637.200000000186265,2881197.800000000279397,10783451.410000000149012
20130723,2721416.190000000409782,2506623.110000000335276,2701063.900000000372529,2901554.959999999962747,10830658.160000000149012
20130724,2700208.709999999962747,2493886.360000000335276,2688210.500000000465661,2895168.399999999906868,10777473.970000000670552
20130725,2693896.959999999962747,2538719.719999999739230,2679947.600000000093132,2898760.840000000316650,10811325.119999999180436
20130726,2666125.259999999776483,2517831.450000000186265,2696473.400000000372529,2882395.279999999795109,10762825.390000000596046
20130729,2646180.129999999888241,2539229.189999999944121,2712081.100000000093132,2905546.560000000055879,10803036.980000000447035
20130730,2669407.370000000111759,2543814.419999999925494,2724016.400000000372529,2884790.239999999757856,10822028.429999999701977
20130731,2653501.759999999776483,2542286.009999999776483,2683620.000000000000000,2907941.519999999552965,10787349.289999999105930
20130801,2693896.959999999962747,2568268.979999999981374,2672602.800000000279397,2920315.479999999981374,10855084.220000000670552
20130802,2724193.360000000335276,2627876.969999999739230,2696473.400000000372529,2884391.080000000074506,10932934.810000000521541
20130805,2714094.560000000055879,2646727.360000000335276,2679947.600000000093132,2927500.359999999869615,10968269.879999998956919
20130806,2702480.940000000409782,2616159.160000000149012,2693719.100000000093132,2923508.759999999776483,10935867.960000000894070
20130807,2686827.800000000279397,2632971.669999999925494,2686374.300000000279397,2910735.640000000130385,10916909.410000002011657
20130808,2672184.540000000037253,2677805.030000000260770,2674439.000000000000000,2921113.800000000279397,10945542.370000001043081
20130809,2659308.569999999832362,2759829.700000000186265,2681783.800000000279397,2911134.800000000279397,11012056.870000001043081
20130812,2631789.339999999850988,2719072.099999999627471,2679947.600000000093132,2889580.160000000149012,10920389.199999999254942
20130813,2682030.870000000111759,2748111.889999999664724,2687292.400000000372529,2927899.519999999552965,11045334.679999999701977
20130814,2629769.580000000074506,2738941.429999999701977,2665258.000000000465661,2893571.759999999776483,10927540.769999999552965
20130815,2593666.370000000111759,2695636.479999999981374,2644141.700000000186265,2850063.320000000298023,10783507.870000001043081
20130816,2612349.149999999906868,2676276.620000000111759,2604663.400000000372529,2851260.800000000279397,10744549.970000000670552
20130819,2643907.899999999906868,2657426.229999999981374,2612926.300000000279397,2862437.279999999795109,10776697.709999999031425
20130820,2641635.669999999925494,2680861.849999999627471,2619353.000000000465661,2892374.279999999795109,10834224.799999998882413
20130821,2623457.830000000074506,2694617.540000000037253,2592728.100000000093132,2868025.519999999552965,10778828.990000000223517
20130822,2654511.640000000130385,2698183.830000000074506,2585383.300000000279397,2872815.439999999944121,10810894.210000000894070
20130823,2663095.620000000111759,2810776.700000000186265,2601909.100000000093132,2895567.560000000055879,10971348.980000000447035
20130826,2664357.970000000204891,2804153.589999999850988,2572529.900000000372529,2889180.999999999534339,10930222.460000000894070
20130827,2605784.929999999701977,2725185.740000000223517,2570693.700000000186265,2854853.239999999757856,10756517.609999999403954
20130828,2607299.750000000000000,2717034.219999999739230,2589973.800000000279397,2855651.560000000055879,10769959.330000000074506
20130829,2649209.770000000018626,2722128.919999999925494,2579874.700000000186265,2891575.959999999962747,10842789.349999999627471
20130830,2623710.300000000279397,2713467.929999999701977,2589973.800000000279397,2863634.759999999776483,10790786.790000000968575
20130903,2651229.530000000260770,2716524.750000000000000,2571611.800000000279397,2896365.879999999888241,10835731.960000000894070
20130904,2685565.450000000186265,2740979.309999999590218,2604663.400000000372529,2927899.519999999552965,10959107.679999999701977
20130905,2692634.610000000335276,2786831.610000000335276,2595482.400000000372529,2955441.560000000055879,11030390.180000001564622
