代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12109813.730000000447035
真實報酬,2109813.730000000447035

夏普值報酬,0.202281373000000
夏普值風險,0.057396873727264
夏普值,3.524257679280455

預期報酬,16625.877412531845039
風險,145843.690775166207459
趨勢值,0.113997920130549
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),DD[7](7),PFE[20](5),UNH[23](8),
20130906,2677991.350000000093132,2797530.479999999981374,2596400.500000000465661,2956239.879999999888241,11028162.210000000894070
20130909,2706267.990000000223517,2815871.399999999906868,2598236.700000000186265,2963823.919999999925494,11084200.010000001639128
20130910,2731010.050000000279397,2900952.889999999664724,2612008.200000000186265,2978991.999999999534339,11222963.139999998733401
20130911,2757771.870000000111759,2891272.959999999962747,2632206.400000000372529,3000945.800000000279397,11282197.030000001192093
20130912,2772162.660000000149012,2819437.689999999944121,2599154.800000000279397,2983382.759999999776483,11174137.910000000149012
20130913,2810790.569999999832362,2892801.370000000111759,2617516.800000000279397,2973004.600000000093132,11294113.339999999850988
20130916,2920362.550000000279397,2887706.669999999925494,2635878.800000000279397,2998550.840000000316650,11442498.860000001266599
20130917,2956718.229999999981374,2881083.559999999590218,2629452.100000000093132,2966218.879999999888241,11433472.769999999552965
20130918,2989286.860000000335276,2964636.639999999664724,2666176.100000000093132,2915525.560000000055879,11535625.160000000149012
20130919,3005444.940000000409782,2946295.719999999739230,2647814.100000000093132,2827710.359999999869615,11427265.119999999180436
20130920,2944599.669999999925494,2880574.089999999850988,2659749.399999999906868,2816933.039999999571592,11301856.199999999254942
20130923,2966817.030000000260770,2846949.070000000298023,2644141.700000000186265,2866828.039999999571592,11324735.839999999850988
20130924,3004435.060000000055879,2837778.610000000335276,2635878.800000000279397,2886786.039999999571592,11364878.509999999776483
20130925,2992064.030000000260770,2891782.429999999701977,2615680.600000000093132,2873214.600000000093132,11372741.660000000149012
20130926,3014028.919999999925494,2901462.360000000335276,2618434.900000000372529,2880399.479999999981374,11414325.660000000149012
20130927,2997870.839999999850988,2831155.500000000000000,2651486.500000000000000,2873613.759999999776483,11354126.599999999627471
20130930,2966564.560000000055879,2786322.139999999664724,2637715.000000000000000,2858445.679999999701977,11249047.379999998956919
20131001,2972876.310000000055879,2779699.030000000260770,2652404.600000000093132,2897164.199999999720603,11302144.139999998733401
20131002,2975148.540000000037253,2807719.879999999888241,2663421.800000000279397,2896765.039999999571592,11343055.259999999776483
20131003,2909506.339999999850988,2812814.580000000074506,2641387.400000000372529,2894769.239999999757856,11258477.560000000521541
20131004,2958990.459999999962747,2901462.360000000335276,2662503.700000000186265,2913529.759999999776483,11436486.279999999329448
20131007,2946114.490000000223517,2855100.589999999850988,2627615.900000000372529,2880798.640000000130385,11309629.620000001043081
20131008,2914555.740000000223517,2794983.129999999888241,2592728.100000000093132,2853256.600000000093132,11155523.570000000298023
20131009,2890066.149999999906868,2824022.919999999925494,2597318.600000000093132,2849264.999999999534339,11160672.669999999925494
20131010,3001910.360000000335276,2931011.620000000111759,2641387.400000000372529,2953046.600000000093132,11527355.980000000447035
20131011,2978683.120000000111759,2979920.740000000223517,2636796.899999999906868,2964622.239999999757856,11560023.000000000000000
20131014,3016048.679999999701977,2961579.820000000298023,2694637.200000000186265,2982584.439999999944121,11654850.139999998733401
20131015,2983732.520000000018626,2933558.969999999739230,2677193.300000000279397,2948655.840000000316650,11543140.630000000819564
20131016,3038266.040000000037253,2983996.500000000000000,2735951.700000000186265,3001344.959999999962747,11759559.199999999254942
20131017,3087497.690000000409782,3002846.889999999664724,2778184.300000000279397,2848865.840000000316650,11717394.720000000670552
20131018,3093304.500000000000000,2997242.719999999739230,2801136.800000000279397,2744685.080000000074506,11636369.099999999627471
20131021,3066795.149999999906868,3000809.009999999776483,2791037.700000000186265,2722332.120000000111759,11580973.980000000447035
20131022,3092294.620000000111759,3014564.700000000186265,2816744.500000000000000,2748676.679999999701977,11672280.500000000000000
20131023,3257410.000000000465661,2977373.389999999664724,2809399.700000000186265,2714748.080000000074506,11758931.169999999925494
20131024,3256400.119999999646097,2947314.660000000149012,2810317.800000000279397,2698781.679999999701977,11712814.259999999776483
20131025,3312195.990000000223517,2867327.870000000111759,2810317.800000000279397,2699180.840000000316650,11689022.500000000000000
20131028,3279122.419999999925494,2837778.610000000335276,2822253.100000000093132,2672037.959999999962747,11611192.089999999850988
20131029,3273568.080000000074506,2862742.639999999664724,2869076.200000000186265,2717542.199999999720603,11722929.119999999180436
20131030,3274073.020000000018626,2848477.479999999981374,2839697.000000000000000,2714748.080000000074506,11676995.580000000074506
20131031,3294775.560000000055879,2863761.580000000074506,2817662.600000000093132,2724727.080000000074506,11700926.820000000298023
20131101,3358650.470000000204891,2826060.799999999813735,2861731.400000000372529,2739495.999999999534339,11785938.669999999925494
20131104,3352591.189999999944121,2786322.139999999664724,2869994.300000000279397,2752269.120000000111759,11761176.750000000000000
20131105,3372283.850000000093132,2809248.290000000037253,2868158.100000000093132,2743088.439999999944121,11792778.679999999701977
20131106,3360165.290000000037253,2848477.479999999981374,2843369.399999999906868,2805756.560000000055879,11857768.730000000447035
20131107,3320275.029999999795109,2805682.000000000000000,2837860.800000000279397,2784601.080000000074506,11748418.910000000149012
20131108,3370264.090000000316650,2878026.740000000223517,2875502.900000000372529,2814138.919999999925494,11937932.650000000372529
20131111,3346026.970000000204891,2877517.270000000018626,2868158.100000000093132,2814138.919999999925494,11905841.259999999776483
20131112,3340977.570000000298023,2854081.649999999906868,2881011.500000000000000,2792185.120000000111759,11868255.839999999850988
20131113,3362185.049999999813735,2872932.040000000037253,2925998.400000000372529,2834496.080000000074506,11995611.570000000298023
20131114,3410659.290000000037253,2909613.879999999888241,2937933.700000000186265,2851659.959999999962747,12109866.830000001937151
20131115,3435653.820000000298023,2918784.339999999850988,2956295.700000000651926,2868823.840000000316650,12179557.700000001117587
20131118,3493216.980000000447035,2892801.370000000111759,2938851.799999999813735,2861239.800000000279397,12186109.950000001117587
20131119,3458376.119999999646097,2880574.089999999850988,2906718.300000000279397,2858445.679999999701977,12104114.189999999478459
20131120,3344007.209999999962747,2848477.479999999981374,2930588.900000000372529,2873214.600000000093132,11996288.189999999478459
20131121,3356125.770000000018626,2875479.389999999664724,2935179.399999999906868,2910336.479999999981374,12077121.040000000968575
20131122,3432876.649999999906868,2877517.270000000018626,2948950.899999999906868,2943466.759999999776483,12202811.580000000074506
20131125,3357893.060000000055879,2830136.559999999590218,2950787.100000000093132,2956639.039999999571592,12095455.759999997913837
20131126,3402832.720000000204891,2814342.990000000223517,2927834.600000000093132,2974601.239999999757856,12119611.550000000745058
20131127,3401317.899999999906868,2836759.669999999925494,2926916.500000000000000,2968214.679999999701977,12133208.750000000000000
20131129,3389451.810000000055879,2834212.320000000298023,2913145.000000000000000,2973004.600000000093132,12109813.730000000447035
