代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11413622.490000000223517
真實報酬,1413622.490000000223517

夏普值報酬,0.132662249000000
夏普值風險,0.033551593221174
夏普值,3.953977628587749

預期報酬,14094.931698289139604
風險,393587.475727462791838
趨勢值,0.035811433461488
找到最佳解世代,1783
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),VZ[26](9),
Stock#,AAPL[0](2),MCD[15](1),VZ[26](9),
張數,114038,52205,123228,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.259999999776483,43.750000000000000,15.600000000093132,
20100301,3405176.939999999944121,3340119.649999999906868,3339494.400000000372529,10084791.990000000223517
20100302,3402896.179999999701977,3344818.099999999627471,3371533.680000000167638,10119248.959999999031425
20100303,3409738.459999999497086,3321847.899999999906868,3355514.040000000037253,10087101.399999998509884
20100304,3432546.060000000055879,3311406.899999999906868,3372765.960000000428408,10116719.919999999925494
20100305,3567110.899999999906868,3323936.100000000093132,3367836.839999999850988,10258884.839999999850988
20100308,3569391.659999999683350,3399633.350000000093132,3413431.200000000186265,10382457.210000000894070
20100309,3633252.939999999944121,3398589.249999999534339,3445470.479999999981374,10477313.669999999925494
20100310,3662902.819999999366701,3390236.449999999720603,3426986.279999999795109,10480126.549999998882413
20100311,3673166.239999999757856,3404331.799999999813735,3438076.799999999813735,10515575.839999999850988
20100312,3691412.319999999366701,3421037.399999999906868,3425754.000000000000000,10538204.719999998807907
20100315,3646937.500000000000000,3441919.400000000372529,3440541.360000000335276,10529399.260000001639128
20100316,3656060.540000000037253,3449228.099999999627471,3447935.040000000037253,10553224.679999999701977
20100317,3651499.020000000018626,3465411.649999999906868,3473812.920000000391155,10590724.589999999850988
20100318,3659481.680000000167638,3481073.150000000372529,3491064.839999999850988,10631620.669999999925494
20100319,3620708.759999999776483,3473242.399999999906868,3503387.640000000130385,10597339.800000000745058
20100322,3661762.439999999944121,3498300.800000000279397,3531730.080000000074506,10691794.320000000298023
20100323,3719921.819999999366701,3516050.499999999534339,3568698.479999999981374,10804671.799999998882413
20100324,3737027.520000000018626,3487337.750000000000000,3509549.040000000037253,10733915.309999998658895
20100325,3692552.700000000186265,3492558.250000000465661,3492297.120000000111759,10677409.070000000298023
20100326,3762115.879999999888241,3511352.050000000279397,3498458.520000000018626,10771927.449999999254942
20100329,3786063.859999999869615,3501433.099999999627471,3508316.759999999776483,10795814.719999998807907
20100330,3841942.479999999515712,3510307.949999999720603,3598273.200000000186265,10950524.629999998956919
20100331,3828257.919999999925494,3483161.350000000093132,3573627.600000000093132,10885047.869999999180436
