代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11621908.339999999850988
真實報酬,1621908.339999999850988

夏普值報酬,0.153490834000000
夏普值風險,0.036499969078940
夏普值,4.205231891239118

預期報酬,10771.691028456458298
風險,336702.329119098896626
趨勢值,0.031991733043956
找到最佳解世代,2191
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MCD[15](1),
Stock#,AAPL[0](2),MCD[15](1),
張數,148942,74940,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,17.059999999590218,3.200000000186265,
20100401,5020851.879999999888241,5064448.400000000372529,10085300.280000001192093
20100405,5074471.000000000000000,5098171.400000000372529,10172642.400000000372529
20100406,5096812.299999999813735,5081684.600000000558794,10178496.900000000372529
20100407,5119153.599999999627471,5073441.200000000186265,10192594.800000000745058
20100408,5105748.819999999366701,5152877.600000000558794,10258626.419999999925494
20100409,5144473.739999999292195,5146882.400000000372529,10291356.140000000596046
20100412,5154899.679999999701977,5135641.400000000372529,10290541.080000000074506
20100413,5157878.519999999552965,5164868.000000000000000,10322746.519999999552965
20100414,5227881.259999999776483,5202338.000000000000000,10430219.259999999776483
20100415,5296394.580000000074506,5182853.599999999627471,10479248.179999999701977
20100416,5263627.339999999850988,5173111.400000000372529,10436738.740000000223517
20100419,5257669.659999999217689,5239808.000000000000000,10497477.660000000149012
20100420,5204050.539999999105930,5271282.800000000745058,10475333.339999999850988
20100421,5515339.319999999366701,5272781.600000000558794,10788120.919999999925494
20100422,5670239.000000000000000,5322991.400000000372529,10993230.400000000372529
20100423,5762583.039999999105930,5331984.200000000186265,11094567.239999998360872
20100426,5734284.059999999590218,5322242.000000000000000,11056526.059999998658895
20100427,5574916.119999999180436,5285521.400000000372529,10860437.519999999552965
20100428,5565979.599999999627471,5271282.800000000745058,10837262.400000000372529
20100429,5716411.019999999552965,5359712.000000000000000,11076123.019999999552965
20100430,5555553.659999999217689,5290017.800000000745058,10845571.460000000894070
20100503,5667260.159999999217689,5352218.000000000000000,11019478.160000000149012
20100504,5503423.959999999962747,5293764.799999999813735,10797188.759999999776483
20100505,5446826.000000000000000,5295263.599999999627471,10742089.599999999627471
20100506,5239796.619999999180436,5202338.000000000000000,10442134.619999999180436
20100507,5017873.039999999105930,5096672.600000000558794,10114545.640000000596046
20100510,5403632.819999999366701,5289268.400000000372529,10692901.219999998807907
20100511,5458741.359999999403954,5281774.400000000372529,10740515.759999999776483
20100512,5576405.539999999105930,5296013.000000000000000,10872418.539999999105930
