代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11284056.449999999254942
真實報酬,1284056.449999999254942

夏普值報酬,0.119705645000000
夏普值風險,0.042109287401469
夏普值,2.842737371894435

預期報酬,12163.602262523239915
風險,147010.254134447255637
趨勢值,0.082739822022205
找到最佳解世代,2898
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](4),MCD[15](2),WMT[28](1),
Stock#,JNJ[12](4),MCD[15](2),WMT[28](1),
張數,32925,29198,56650,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.000000000000000,89.320000000298023,47.000000000000000,
20151201,3370209.000000000000000,3341800.420000000391155,3341830.500000000000000,10053840.919999999925494
20151202,3360002.250000000000000,3320485.880000000353903,3305574.500000000000000,9986063.630000000819564
20151203,3318516.750000000000000,3310850.540000000502914,3344663.000000000000000,9974031.290000000968575
20151204,3389634.750000000000000,3392896.920000000391155,3379786.000000000000000,10162318.669999999925494
20151207,3401817.000000000000000,3399320.480000000447035,3427372.000000000000000,10228510.480000000447035
20151208,3372184.500000000000000,3402532.260000000242144,3376953.500000000000000,10151671.259999999776483
20151209,3363294.750000000000000,3403992.160000000149012,3349761.500000000000000,10117049.410000000149012
20151210,3379428.000000000000000,3422094.920000000391155,3374121.000000000000000,10175644.919999999925494
20151211,3347820.000000000000000,3389393.160000000149012,3362791.000000000000000,10100005.160000000149012
20151214,3363294.750000000000000,3394648.800000000279397,3421140.500000000000000,10179085.050000000745058
20151215,3428486.250000000000000,3414211.460000000428408,3378653.000000000000000,10221351.710000000894070
20151216,3465362.250000000000000,3440781.640000000596046,3416042.000000000000000,10322186.890000000596046
20151217,3412353.000000000000000,3430854.320000000298023,3341264.000000000000000,10184472.320000000298023
20151218,3356709.750000000000000,3406328.000000000000000,3333899.500000000000000,10096938.250000000000000
20151221,3344527.500000000000000,3436401.940000000409782,3373554.500000000000000,10154484.940000001341105
20151222,3381732.750000000000000,3437277.880000000353903,3429638.000000000000000,10248649.630000000819564
20151223,3407414.250000000000000,3468811.720000000204891,3460795.500000000000000,10337022.470000000670552
20151224,3414987.000000000000000,3462096.180000000167638,3446066.500000000000000,10323150.679999999701977
20151228,3398524.500000000000000,3467351.820000000298023,3441534.500000000000000,10307411.820000000298023
20151229,3425193.750000000000000,3505893.180000000167638,3490253.500000000000000,10421341.429999999701977
20151230,3416962.500000000000000,3487206.460000000428408,3494219.000000000000000,10398388.960000000894070
20151231,3382062.000000000000000,3449541.040000000502914,3472692.000000000000000,10304296.040000000968575
20160104,3308310.000000000000000,3433190.160000000149012,3481756.000000000000000,10223257.160000000149012
20160105,3322138.500000000000000,3480490.920000000391155,3564465.000000000000000,10367095.419999999925494
20160106,3305346.750000000000000,3457132.520000000484288,3600154.500000000000000,10362634.769999999552965
20160107,3266824.500000000000000,3377130.000000000000000,3683996.500000000000000,10327952.000000000000000
20160108,3231924.000000000000000,3371874.360000000335276,3599588.000000000000000,10203387.359999999403954
20160111,3212498.250000000000000,3407203.940000000409782,3638110.000000000000000,10257813.190000001341105
20160112,3234558.000000000000000,3429102.440000000409782,3604120.000000000000000,10267781.440000001341105
20160113,3194389.500000000000000,3361363.080000000540167,3507815.000000000000000,10063568.580000000074506
20160114,3255959.250000000000000,3405160.080000000540167,3572396.000000000000000,10233516.330000000074506
20160115,3193731.000000000000000,3363114.960000000428408,3508381.500000000000000,10065228.460000000894070
20160119,3210193.500000000000000,3430854.320000000298023,3544071.000000000000000,10185119.820000000298023
20160120,3152574.750000000000000,3380633.760000000242144,3446633.000000000000000,9979842.509999999776483
20160121,3158830.500000000000000,3440781.640000000596046,3505549.000000000000000,10105162.140000000596046
20160122,3185499.750000000000000,3457132.520000000484288,3551435.500000000000000,10194068.769999999552965
20160125,3173976.000000000000000,3480490.920000000391155,3594489.500000000000000,10248957.419999999925494
20160126,3331357.500000000000000,3516404.460000000428408,3625647.000000000000000,10473409.960000000894070
20160127,3363624.000000000000000,3529251.580000000540167,3622814.500000000000000,10515691.080000000074506
20160128,3367245.750000000000000,3573340.560000000055879,3638110.000000000000000,10578697.310000000521541
20160129,3438693.000000000000000,3614217.760000000242144,3759341.000000000000000,10812252.759999999776483
20160201,3436388.250000000000000,3638452.100000000093132,3823922.000000000000000,10898763.349999999627471
20160202,3404780.250000000000000,3619181.420000000391155,3787666.000000000000000,10811628.669999999925494
20160203,3428815.500000000000000,3546770.380000000353903,3754242.500000000000000,10729829.380000000819564
20160204,3420913.500000000000000,3523120.000000000000000,3762740.000000000000000,10706774.500000000000000
20160205,3310285.500000000000000,3369538.520000000484288,3795597.000000000000000,10475422.019999999552965
20160208,3358356.000000000000000,3388517.220000000204891,3789932.000000000465661,10536806.220000000670552
20160209,3357368.250000000000000,3416547.300000000279397,3728183.500000000000000,10502100.050000000745058
20160210,3349466.250000000000000,3432022.240000000689179,3727050.500000000465661,10508539.990000000223517
20160211,3348478.500000000000000,3408371.860000000335276,3700424.999999999534339,10457276.359999999403954
20160212,3352429.500000000000000,3443409.460000000428408,3749144.000000000465661,10544983.960000000894070
20160216,3368892.000000000000000,3479906.960000000428408,3733282.000000000465661,10582081.960000000894070
20160217,3374818.500000000000000,3464140.040000000502914,3745178.500000000000000,10584138.040000000968575
20160218,3432108.000000000000000,3421218.980000000447035,3632445.000000000465661,10485772.980000000447035
20160219,3429474.000000000000000,3402532.260000000242144,3663036.000000000000000,10495043.259999999776483
20160222,3448899.750000000000000,3435817.980000000447035,3717986.499999999534339,10602705.230000000447035
20160223,3426840.000000000000000,3413335.520000000484288,3766139.000000000000000,10606315.519999999552965
20160224,3455814.000000000000000,3418007.200000000186265,3802395.000000000465661,10676217.200000001117587
20160225,3502567.500000000000000,3456256.580000000540167,3854513.000000000465661,10813338.080000000074506
20160226,3482812.500000000000000,3418007.200000000186265,3767838.500000000465661,10668659.200000001117587
20160229,3464045.250000000000000,3421802.940000000409782,3758208.000000000000000,10644057.190000001341105
20160301,3530224.500000000000000,3470271.620000000111759,3765005.999999999534339,10765503.119999999180436
20160302,3524298.000000000000000,3459468.360000000335276,3750843.499999999534339,10734610.859999999403954
20160303,3511457.250000000000000,3407203.940000000409782,3746878.000000000000000,10665540.190000001341105
20160304,3506518.500000000000000,3421510.960000000428408,3783134.000000000000000,10711164.460000000894070
20160307,3514420.500000000000000,3420635.020000000484288,3846015.500000000000000,10781072.019999999552965
20160308,3497299.500000000000000,3457716.480000000447035,3854513.000000000465661,10809529.980000000447035
20160309,3517713.000000000000000,3493338.040000000502914,3825621.500000000000000,10836673.540000000968575
20160310,3527590.500000000000000,3503265.360000000335276,3818823.500000000000000,10849680.359999999403954
20160311,3546357.750000000000000,3549106.220000000204891,3805227.500000000000000,10900692.470000000670552
20160314,3544711.500000000000000,3588523.520000000484288,3815991.000000000000000,10949227.019999999552965
20160315,3548004.000000000000000,3603998.460000000428408,3857345.500000000000000,11009348.960000000894070
20160316,3536480.250000000000000,3606626.280000000260770,3851680.499999999534339,10994788.029999999329448
20160317,3514420.500000000000000,3596115.000000000000000,3821089.500000000000000,10931626.000000000000000
20160318,3539443.500000000000000,3622977.160000000149012,3792764.500000000000000,10955186.160000000149012
20160321,3532200.000000000000000,3615093.700000000186265,3850547.500000000000000,10997842.199999999254942
20160322,3535492.500000000000000,3615385.680000000167638,3844882.500000000465661,10995761.679999999701977
20160323,3572368.500000000000000,3626188.940000000409782,3821655.999999999534339,11020214.439999999478459
20160324,3566112.750000000000000,3599910.740000000689179,3852247.000000000000000,11018271.490000000223517
20160328,3563478.750000000000000,3596406.980000000447035,3859045.000000000465661,11018931.730000000447035
20160329,3593440.500000000000000,3619765.380000000353903,3853946.500000000000000,11067153.380000000819564
20160330,3588172.500000000000000,3674073.660000000149012,3897567.000000000000000,11159814.160000000149012
20160331,3562491.000000000000000,3669693.960000000428408,3880005.499999999534339,11112191.460000000894070
20160401,3595086.750000000000000,3708819.280000000260770,3912296.000000000000000,11216203.030000001192093
20160404,3575331.750000000000000,3724878.180000000167638,3914561.999999999534339,11214772.929999999701977
20160405,3587184.750000000000000,3719330.560000000055879,3888503.000000000000000,11195019.310000000521541
20160406,3602659.500000000000000,3723418.280000000260770,3911163.000000000465661,11237241.780000001192093
20160407,3597720.750000000000000,3741521.040000000037253,3864710.000000000000000,11203952.789999999105930
20160408,3592123.500000000000000,3736265.399999999906868,3855646.000000000000000,11184035.900000000372529
20160411,3587843.250000000000000,3724586.200000000186265,3818257.000000000465661,11130687.450000001117587
20160412,3608586.000000000000000,3726046.100000000093132,3897567.000000000000000,11232200.099999999627471
20160413,3617475.750000000000000,3705023.540000000502914,3917394.500000000465661,11239894.790000000968575
20160414,3616488.000000000000000,3723126.300000000279397,3897567.000000000000000,11237182.300000000745058
20160415,3627682.500000000000000,3731009.760000000242144,3912296.000000000000000,11270989.259999999776483
20160418,3652376.250000000000000,3762251.620000000111759,3957616.000000000000000,11372244.870000001043081
20160419,3709995.000000000000000,3762543.600000000558794,3952517.500000000000000,11425057.100000001490116
20160420,3739627.500000000000000,3753492.220000000670552,3920793.499999999534339,11413914.220000000670552
20160421,3739298.250000000000000,3672905.740000000689179,3878872.500000000000000,11291077.490000000223517
20160422,3731067.000000000000000,3664438.320000000298023,3893035.000000000000000,11288541.320000000298023
20160425,3737322.750000000000000,3721666.399999999906868,3935522.500000000000000,11394512.650000000372529
20160426,3717567.750000000000000,3728965.899999999906868,3925892.000000000000000,11372426.650000000372529
20160427,3712958.250000000000000,3746192.720000000670552,3932690.000000000000000,11391841.970000000670552
20160428,3703410.000000000000000,3735097.480000000447035,3903798.500000000000000,11342306.980000000447035
20160429,3690240.000000000000000,3693344.340000000316650,3788232.500000000465661,11171817.839999999850988
20160502,3712299.750000000000000,3743272.919999999925494,3829020.500000000000000,11284594.169999999925494
20160503,3710324.250000000000000,3749112.520000000484288,3795597.000000000000000,11255034.769999999552965
20160504,3694849.500000000000000,3776266.660000000614673,3806360.500000000000000,11277477.660000000149012
20160505,3716580.000000000000000,3774806.760000000242144,3807493.499999999534339,11298881.259999999776483
20160506,3711970.500000000000000,3812764.160000000614673,3866409.500000000000000,11391145.160000000149012
20160509,3744237.000000000000000,3820063.660000000614673,3906064.500000000000000,11470366.160000000149012
20160510,3775515.750000000000000,3842546.120000000111759,3897000.500000000465661,11515063.370000001043081
20160511,3765638.250000000000000,3770719.040000000037253,3762173.500000000000000,11298531.789999999105930
20160512,3761028.750000000000000,3799333.080000000540167,3787099.499999999534339,11347462.330000000074506
20160513,3738969.000000000000000,3761667.660000000614673,3678898.000000000000000,11179535.660000000149012
20160516,3767943.000000000000000,3785318.040000000037253,3740080.000000000000000,11293342.039999999105930
20160517,3747858.750000000000000,3728381.940000000409782,3687961.999999999534339,11164203.689999999478459
20160518,3739956.750000000000000,3685168.899999999906868,3577494.500000000000000,11002621.150000000372529
20160519,3715592.250000000000000,3658306.740000000689179,3920227.000000000000000,11294126.990000000223517
20160520,3708678.000000000000000,3578596.200000000186265,3957616.000000000000000,11244891.199999999254942
20160523,3692874.000000000000000,3585895.700000000186265,3937222.000000000000000,11215992.699999999254942
20160524,3710324.250000000000000,3619181.420000000391155,3979142.999999999534339,11308649.669999999925494
20160525,3732054.750000000000000,3599034.800000000279397,3992739.000000000000000,11323829.550000000745058
20160526,3717238.500000000000000,3614509.740000000689179,4013699.499999999534339,11345448.740000000223517
20160527,3722506.500000000000000,3598742.820000000298023,4008034.500000000000000,11329284.820000000298023
20160531,3710324.250000000000000,3563997.200000000186265,4009734.000000000000000,11284056.449999999254942
