代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11623893.829999998211861
真實報酬,1623893.829999998211861

夏普值報酬,0.153689383000000
夏普值風險,0.040302279287509
夏普值,3.813416653276855

預期報酬,12980.920323719405133
風險,123611.706354102701880
趨勢值,0.105013681200499
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JPM[13](2),MRK[17](25),NKE[19](1),
Stock#,JPM[13](2),MRK[17](25),NKE[19](1),
張數,61297,55297,72259,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.139999999664724,29.839999999850988,25.329999999608845,
20150202,3400146.729999999515712,3366511.200000000186265,3321048.969999999739230,10087707.899999998509884
20150203,3476767.979999999515712,3374252.779999999795109,3373075.449999999720603,10224097.209999999031425
20150204,3455927.000000000000000,3265317.689999999478459,3343449.259999999776483,10064694.949999999254942
20150205,3479832.830000000074506,3271953.330000000074506,3372352.859999999869615,10124140.019999999552965
20150206,3548485.469999999739230,3250940.469999999739230,3316713.429999999701977,10116140.369999999180436
20150209,3544194.679999999701977,3225503.849999999627471,3294313.139999999664724,10064012.669999998062849
20150210,3583424.759999999776483,3254258.290000000037253,3351397.750000000000000,10189081.800000000745058
20150211,3577908.029999999329448,3248175.620000000111759,3299371.269999999552965,10125455.919999998062849
20150212,3651464.429999999701977,3255917.200000000186265,3323939.329999999608845,10231321.959999999031425
20150213,3657594.129999999888241,3252046.410000000149012,3325384.509999999776483,10235026.050000000745058
20150217,3683951.839999999850988,3250940.469999999739230,3318881.199999999720603,10253774.509999999776483
20150218,3639205.029999999329448,3251493.439999999478459,3382469.119999999646097,10273168.589999997988343
20150219,3630623.449999999254942,3223844.939999999478459,3385359.479999999515712,10239828.869999997317791
20150220,3665562.739999999292195,3226609.790000000037253,3430160.059999999590218,10322333.589999999850988
20150223,3637979.089999999850988,3223844.939999999478459,3433050.419999999459833,10294875.449999999254942
20150224,3728085.679999999701977,3227162.759999999776483,3447502.219999999739230,10402751.660000000149012
20150225,3747700.719999999739230,3234351.370000000111759,3498083.519999999552965,10480136.609999999403954
20150226,3774671.399999999441206,3260340.959999999962747,3504586.829999999608845,10539600.189999999478459
20150227,3756282.299999999813735,3237116.219999999739230,3508922.369999999646097,10502321.889999998733401
20150302,3786317.830000000074506,3239328.099999999627471,3568174.750000000000000,10593821.679999999701977
20150303,3798577.229999999515712,3226056.819999999832362,3539993.739999999757856,10564628.789999999105930
20150304,3808384.750000000000000,3200620.200000000186265,3523374.169999999459833,10532380.119999999180436
20150305,3800416.139999999664724,3206149.899999999906868,3557335.899999999441206,10563902.939999997615814
20150306,3732376.469999999739230,3143111.319999999832362,3501696.469999999739230,10377185.259999997913837
20150309,3769767.639999999664724,3166336.059999999590218,3520483.809999999590218,10456588.509999997913837
20150310,3675370.259999999776483,3128734.099999999627471,3487244.669999999459833,10291350.029999999329448
20150311,3692533.419999999925494,3099979.660000000149012,3444611.859999999869615,10237125.939999999478459
20150312,3761799.029999999329448,3106062.330000000074506,3506032.009999999776483,10373894.369999999180436
20150313,3739119.139999999664724,3107721.240000000223517,3461954.019999999552965,10308795.399999998509884
20150316,3791221.589999999850988,3158594.479999999515712,3484354.309999999590218,10434171.379999998956919
20150317,3776510.309999999590218,3122651.429999999701977,3487967.259999999776483,10387130.000000000000000
20150318,3785091.889999999664724,3187901.889999999664724,3523374.169999999459833,10496368.949999999254942
20150319,3751378.540000000037253,3218868.209999999962747,3552277.769999999552965,10522525.519999999552965
20150320,3785091.889999999664724,3239328.099999999627471,3684511.739999999757856,10708932.729999998584390
20150323,3747700.719999999739230,3247622.649999999906868,3665724.399999999441206,10661048.769999999552965
20150324,3706018.759999999776483,3242092.950000000186265,3636820.799999999348074,10584933.509999999776483
20150325,3653916.309999999590218,3221633.059999999590218,3576845.829999999608845,10452396.199999999254942
20150326,3649625.519999999552965,3185137.040000000037253,3589129.859999999869615,10423893.419999999925494
20150327,3650238.489999999292195,3193431.589999999850988,3608639.789999999571592,10452310.869999999180436
20150330,3736667.259999999776483,3226056.819999999832362,3645491.879999999888241,10608216.960000000894070
20150331,3713374.399999999441206,3178501.399999999906868,3625259.359999999869615,10517136.159999998286366
20150401,3674757.290000000037253,3144217.259999999776483,3597078.349999999627471,10416053.899999998509884
20150402,3709696.580000000074506,3157488.540000000037253,3600691.299999999348074,10467877.419999999925494
20150406,3706631.729999999515712,3161912.299999999813735,3603581.659999999217689,10472126.689999997615814
20150407,3729924.589999999850988,3175736.549999999813735,3599246.119999999646097,10504908.259999999776483
20150408,3742183.989999999292195,3160253.389999999664724,3643324.109999999869615,10545762.489999998360872
20150409,3767928.729999999515712,3175736.549999999813735,3638988.569999999366701,10582654.849999997764826
20150410,3782027.040000000037253,3165783.089999999850988,3612252.739999999757856,10560063.869999999180436
20150413,3804706.929999999701977,3137028.649999999906868,3586962.089999999850988,10528698.669999999925494
20150414,3864165.019999999552965,3193984.559999999590218,3596355.759999999776483,10654506.339999999850988
20150415,3935882.509999999310821,3232139.490000000223517,3607194.609999999869615,10775217.609999999403954
20150416,3911363.709999999962747,3198408.319999999832362,3609362.379999999888241,10719135.410000000149012
20150417,3851905.619999999646097,3145323.200000000186265,3560948.849999999627471,10558178.669999999925494
20150420,3876424.419999999925494,3185690.009999999776483,3612975.329999999608845,10675090.759999999776483
20150421,3819418.209999999962747,3188454.859999999869615,3623814.179999999701977,10631688.250000000000000
20150422,3858035.319999999366701,3190113.769999999552965,3618756.049999999348074,10666906.139999998733401
20150423,3849453.739999999292195,3180160.309999999590218,3653440.369999999646097,10683055.419999998062849
20150424,3837194.339999999850988,3185137.040000000037253,3647659.649999999441206,10669992.029999999329448
20150427,3821257.119999999646097,3157488.540000000037253,3646937.059999999590218,10625683.719999998807907
20150428,3847001.859999999403954,3316743.899999999906868,3607917.199999999720603,10771663.959999999031425
20150429,3898491.339999999850988,3300154.799999999813735,3619478.639999999664724,10818125.779999999329448
20150430,3877650.359999999403954,3293519.160000000149012,3571065.109999999869615,10742235.629999998956919
20150501,3899104.309999999590218,3310108.259999999776483,3641156.339999999850988,10850369.910000000149012
20150504,3967143.979999999515712,3353239.919999999925494,3643324.109999999869615,10963709.009999999776483
20150505,3947528.939999999944121,3344945.370000000111759,3628149.719999999739230,10920625.030000001192093
20150506,3918106.379999999888241,3332227.059999999590218,3620923.819999999366701,10871258.259999997913837
20150507,3953658.639999999664724,3334438.939999999478459,3665724.399999999441206,10953822.979999998584390
20150508,4014342.669999999459833,3358769.620000000111759,3701131.309999999590218,11074244.599999997764826
20150511,4011890.790000000037253,3317849.839999999850988,3714137.929999999701977,11043879.559999998658895
20150512,4006374.059999999590218,3286883.519999999552965,3698963.539999999571592,10992222.119999999180436
20150513,4016181.579999999608845,3272506.299999999813735,3691015.049999999348074,10979703.929999997839332
20150514,4048668.989999999292195,3305684.500000000000000,3737260.809999999590218,11091615.299999998882413
20150515,4038248.499999999534339,3330568.149999999906868,3792900.239999999757856,11161717.889999998733401
20150518,4071348.879999999888241,3318402.809999999590218,3784951.750000000000000,11174704.439999999478459
20150519,4107514.109999999869615,3346604.279999999795109,3780616.209999999497086,11234735.599999999627471
20150520,4075026.699999999720603,3343286.459999999962747,3779893.619999999646097,11198207.779999999329448
20150521,4085447.189999999944121,3323379.540000000037253,3771945.129999999888241,11180772.859999999403954
20150522,4074413.729999999515712,3283565.700000000186265,3773390.309999999590218,11131370.739999998360872
20150526,4029053.949999999720603,3260893.929999999701977,3736538.219999999739230,11026487.099999997764826
20150527,4074413.729999999515712,3287989.459999999962747,3715583.109999999869615,11077987.299999998882413
20150528,4057863.540000000037253,3301260.740000000223517,3696073.179999999701977,11055198.460000000894070
20150529,4032118.799999999813735,3367064.169999999925494,3673672.889999999664724,11072856.859999999403954
20150601,4050507.899999999441206,3359322.589999999850988,3676563.250000000000000,11086394.739999998360872
20150602,4046830.079999999608845,3331121.120000000111759,3689569.869999999646097,11067522.069999998435378
20150603,4088512.040000000037253,3339415.669999999925494,3704021.669999999459833,11131950.379999998956919
20150604,4065832.149999999441206,3288542.429999999701977,3683789.149999999441206,11038164.729999998584390
20150605,4132645.879999999888241,3261999.870000000111759,3686679.509999999776483,11081326.259999999776483
20150608,4100158.469999999739230,3255364.229999999515712,3665001.809999999590218,11020525.509999997913837
20150609,4117934.600000000093132,3253705.319999999832362,3662111.449999999720603,11033752.369999999180436
20150610,4184135.359999999869615,3296284.009999999776483,3733647.859999999869615,11214068.229999998584390
20150611,4200072.579999999143183,3257576.109999999869615,3753157.789999999571592,11210807.479999998584390
20150612,4183522.389999999664724,3200067.229999999515712,3749544.839999999850988,11133135.459999999031425
20150615,4167585.169999999459833,3158594.479999999515712,3734370.449999999720603,11060551.099999997764826
20150616,4190878.029999999795109,3191219.709999999962747,3777725.849999999627471,11159824.589999999850988
20150617,4176779.719999999739230,3202279.109999999869615,3784951.750000000000000,11164011.580000000074506
20150618,4216009.799999999813735,3239881.069999999832362,3829752.329999999608845,11285644.199999999254942
20150619,4173101.899999999441206,3209467.719999999739230,3849262.259999999776483,11231832.879999998956919
20150622,4227043.259999998845160,3253152.349999999627471,3858655.929999999701977,11338852.539999999105930
20150623,4275467.889999999664724,3264211.750000000000000,3873107.729999999515712,11412788.369999999180436
20150624,4230721.079999999143183,3220527.120000000111759,3837700.819999999366701,11288950.019999999552965
20150625,4208041.190000000409782,3201726.139999999664724,3801571.319999999366701,11211339.649999998509884
20150626,4226430.290000000037253,3234351.370000000111759,3964154.069999999366701,11424936.730000000447035
20150629,4119160.540000000037253,3167994.969999999739230,3890449.889999999664724,11177606.399999998509884
20150630,4153486.859999999869615,3148088.049999999813735,3902733.919999999459833,11204309.830000000074506
20150701,4172488.929999999236315,3185137.040000000037253,3954037.809999999590218,11311664.779999997466803
20150702,4138775.579999999608845,3189007.830000000074506,3969934.789999999571592,11297719.199999999254942
20150706,4127129.149999999441206,3182372.189999999478459,3968489.609999999869615,11277991.949999999254942
20150707,4094641.739999999292195,3206702.870000000111759,4021238.679999999701977,11322584.289999999105930
20150708,4010664.850000000093132,3171312.790000000037253,3948257.089999999850988,11130235.730000000447035
20150709,4052346.809999999590218,3172971.700000000186265,3954037.809999999590218,11179357.320000000298023
20150710,4109965.989999999292195,3204490.990000000223517,3993057.669999999459833,11307515.649999998509884
20150713,4173714.869999999646097,3200067.229999999515712,4061703.719999999739230,11435486.820000000298023
20150714,4231947.020000000484288,3217762.269999999552965,4058813.359999999869615,11508523.650000000372529
20150715,4241141.569999999366701,3219421.179999999701977,4042916.379999999888241,11503480.129999998956919
20150716,4263821.459999999962747,3252599.379999999888241,4058813.359999999869615,11575235.199999999254942
20150717,4242367.509999998845160,3252599.379999999888241,4075432.929999999701977,11570400.819999998435378
20150720,4245432.360000000335276,3262552.839999999850988,4087716.959999999497086,11595703.160000000149012
20150721,4235624.839999998919666,3244304.830000000074506,4082658.829999999608845,11562589.499999998137355
20150722,4295695.899999999441206,3214444.450000000186265,4122401.279999999329448,11632542.629999998956919
20150723,4268725.219999999739230,3211126.629999999888241,4118788.329999999608845,11598641.179999999701977
20150724,4223978.409999999217689,3174630.609999999869615,4082658.829999999608845,11481268.849999999627471
20150727,4168811.109999999869615,3151405.870000000111759,4037135.659999999217689,11357353.640000000596046
20150728,4171262.989999999292195,3180713.279999999795109,4100000.989999999757856,11451978.259999999776483
20150729,4225817.319999999366701,3237116.219999999739230,4152027.469999999739230,11614962.009999997913837
20150730,4231947.020000000484288,3236010.279999999795109,4155640.419999999459833,11623598.720000000670552
20150731,4200685.549999999813735,3260340.959999999962747,4162866.319999999366701,11623893.829999998211861
