代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11761578.369999999180436
真實報酬,1761578.369999999180436

夏普值報酬,0.167457837000000
夏普值風險,0.051130744184185
夏普值,3.275090939353011

預期報酬,14611.762004747566607
風險,132772.516454661148600
趨勢值,0.110051103910026
找到最佳解世代,2769
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
KO[14](1),MCD[15](4),PG[21](2),WMT[28](3),
Stock#,KO[14](1),MCD[15](4),PG[21](2),WMT[28](3),
張數,53350,13164,24026,25633,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.000000000000000,156.399999999906868,94.700000000186265,13.509999999776483,
20190401,2492531.000000000000000,2480122.359999999869615,2490149.340000000316650,2507433.569999999832362,9970236.269999999552965
20190402,2484528.500000000000000,2479595.799999999813735,2492792.200000000186265,2484876.529999999795109,9941793.029999999329448
20190403,2463722.000000000000000,2479595.799999999813735,2491350.640000000130385,2491284.779999999795109,9925953.219999998807907
20190404,2479727.000000000000000,2499605.080000000074506,2485103.880000000353903,2514867.139999999664724,9979303.100000001490116
20190405,2479193.500000000000000,2510662.839999999850988,2490389.600000000093132,2533322.899999999906868,10013568.839999999850988
20190408,2483461.500000000000000,2499341.799999999813735,2522103.920000000391155,2543576.100000000093132,10048483.320000000298023
20190409,2489863.500000000000000,2502369.520000000018626,2514655.860000000335276,2529734.279999999795109,10036623.160000000149012
20190410,2488263.000000000000000,2491048.479999999981374,2514415.600000000093132,2553060.309999999590218,10046787.390000000596046
20190411,2491997.500000000000000,2486572.719999999739230,2516818.200000000186265,2583819.909999999683350,10079208.330000000074506
20190412,2493598.000000000000000,2522378.799999999813735,2524266.260000000242144,2603300.989999999757856,10143544.050000000745058
20190415,2507469.000000000000000,2525669.799999999813735,2540363.680000000167638,2625601.699999999720603,10199104.179999999701977
20190416,2504801.500000000000000,2523695.199999999720603,2556941.620000000111759,2638418.199999999720603,10223856.519999999552965
20190417,2522407.000000000000000,2522510.439999999944121,2543246.800000000279397,2644313.789999999571592,10232478.029999999329448
20190418,2533077.000000000000000,2565951.639999999664724,2548052.000000000000000,2644826.449999999720603,10291907.089999999850988
20190422,2528809.000000000000000,2552919.279999999795109,2547090.960000000428408,2624063.719999999739230,10252882.960000000894070
20190423,2572022.500000000000000,2570559.039999999571592,2478616.860000000335276,2642006.819999999832362,10263205.219999998807907
20190424,2559752.000000000000000,2601757.719999999739230,2491350.640000000130385,2653798.000000000000000,10306658.359999999403954
20190425,2552283.000000000000000,2605706.919999999925494,2481499.979999999981374,2653541.669999999459833,10293031.570000000298023
20190426,2574690.000000000000000,2598993.279999999795109,2543487.060000000055879,2602532.000000000000000,10319702.339999999850988
20190429,2583226.000000000000000,2595044.080000000074506,2517538.979999999981374,2603300.989999999757856,10299110.050000000745058
20190430,2617370.000000000000000,2600967.879999999888241,2558383.180000000167638,2636111.229999999981374,10412832.290000000968575
20190501,2592295.500000000000000,2556210.279999999795109,2521142.880000000353903,2598174.389999999664724,10267823.050000000745058
20190502,2581625.500000000000000,2562002.439999999944121,2536279.260000000242144,2592791.459999999962747,10272698.660000000149012
20190503,2599231.000000000000000,2600309.680000000167638,2548772.780000000260770,2616630.149999999906868,10364943.609999999403954
20190506,2585893.500000000000000,2618476.000000000000000,2539162.380000000353903,2626370.689999999478459,10369902.570000000298023
20190507,2560819.000000000000000,2607154.959999999962747,2515616.900000000372529,2596636.409999999683350,10280227.269999999552965
20190508,2552816.500000000000000,2607023.319999999832362,2524506.520000000018626,2571003.409999999683350,10255349.750000000000000
20190509,2528809.000000000000000,2603074.119999999646097,2504564.939999999944121,2551522.330000000074506,10187970.389999998733401
20190510,2570955.500000000000000,2632824.760000000242144,2547090.960000000428408,2612272.539999999571592,10363143.759999999776483
20190513,2563486.500000000000000,2620187.319999999832362,2549493.560000000055879,2560493.879999999888241,10293661.260000001639128
20190514,2597630.500000000000000,2606760.039999999571592,2537240.300000000279397,2570747.080000000074506,10312377.919999999925494
20190515,2623772.000000000000000,2620713.879999999888241,2563668.900000000372529,2560237.549999999813735,10368392.330000000074506
20190516,2645112.000000000000000,2632824.760000000242144,2597545.560000000055879,2596892.739999999757856,10472375.060000000521541
20190517,2624839.000000000000000,2622688.479999999981374,2581688.400000000372529,2585357.889999999664724,10414573.769999999552965
20190520,2606166.500000000000000,2619660.760000000242144,2578805.280000000260770,2602275.669999999459833,10406908.209999999031425
20190521,2592829.000000000000000,2630850.160000000149012,2555740.320000000298023,2592022.469999999739230,10371441.949999999254942
20190522,2648846.500000000000000,2632429.839999999850988,2564149.420000000391155,2620475.100000000093132,10465900.859999999403954
20190523,2659516.500000000000000,2619397.479999999981374,2565110.460000000428408,2610990.889999999664724,10455015.330000001937151
20190524,2646712.500000000000000,2603600.680000000167638,2563428.640000000130385,2631753.619999999646097,10445495.439999999478459
20190528,2619504.000000000000000,2589120.279999999795109,2509850.660000000149012,2625345.369999999646097,10343820.309999998658895
20190529,2593362.500000000000000,2580563.680000000167638,2503363.640000000130385,2617655.469999999739230,10294945.289999999105930
20190530,2627506.500000000000000,2622951.760000000242144,2530753.280000000260770,2619449.779999999795109,10400661.320000000298023
20190531,2621104.500000000000000,2610182.680000000167638,2472610.360000000335276,2600225.029999999795109,10304122.570000000298023
20190603,2666452.000000000000000,2616896.319999999832362,2493993.500000000000000,2613554.189999999478459,10390896.009999999776483
20190604,2667519.000000000000000,2628085.719999999739230,2515136.380000000353903,2628933.989999999757856,10439675.089999999850988
20190605,2709132.000000000000000,2634667.719999999739230,2564389.680000000167638,2676611.369999999646097,10584800.769999999552965
20190606,2742209.000000000000000,2673106.600000000093132,2580006.580000000074506,2694298.139999999664724,10689620.320000000298023
20190607,2747010.500000000000000,2705095.119999999646097,2613402.720000000204891,2718649.489999999757856,10784157.830000000074506
20190610,2741142.000000000000000,2650069.600000000093132,2612201.420000000391155,2756073.669999999459833,10759486.689999999478459
20190611,2738474.500000000000000,2675871.039999999571592,2628058.580000000074506,2766839.529999999795109,10809243.649999998509884
20190612,2755013.000000000000000,2697854.919999999925494,2635266.380000000353903,2789396.569999999832362,10877530.870000001043081
20190613,2727804.500000000000000,2692062.760000000242144,2664818.360000000335276,2785038.959999999962747,10869724.580000000074506
20190614,2737407.500000000000000,2702593.959999999962747,2671785.900000000372529,2795804.819999999832362,10907592.179999999701977
20190617,2713933.500000000000000,2683111.239999999757856,2666740.439999999944121,2798111.789999999571592,10861896.969999998807907
20190618,2701663.000000000000000,2692326.039999999571592,2633344.300000000279397,2810671.959999999962747,10838005.300000000745058
20190619,2727271.000000000000000,2692852.600000000093132,2653045.620000000111759,2809902.969999999739230,10883072.189999999478459
20190620,2756080.000000000000000,2700356.080000000074506,2684759.939999999944121,2827846.069999999832362,10969042.089999999850988
20190621,2750211.500000000000000,2689035.039999999571592,2671785.900000000372529,2848608.799999999813735,10959641.239999998360872
20190624,2769951.000000000000000,2684559.279999999795109,2698935.280000000260770,2851428.429999999701977,11004873.989999998360872
20190625,2761415.000000000000000,2708122.839999999850988,2684279.420000000391155,2838099.269999999552965,10991916.529999999329448
20190626,2727271.000000000000000,2692852.600000000093132,2636467.680000000167638,2823744.789999999571592,10880336.069999998435378
20190627,2725137.000000000000000,2715494.680000000167638,2637668.979999999981374,2822206.809999999590218,10900507.469999998807907
20190628,2716601.000000000000000,2733792.639999999664724,2634545.600000000093132,2832203.679999999701977,10917142.919999999925494
20190701,2752879.000000000000000,2715889.600000000093132,2654727.439999999944121,2835535.969999999739230,10959032.009999997913837
20190702,2773152.000000000000000,2759067.520000000018626,2678513.180000000167638,2860656.309999999590218,11071389.009999997913837
20190703,2779554.000000000000000,2801587.239999999757856,2740980.780000000260770,2879112.069999999832362,11201234.089999999850988
20190705,2780087.500000000000000,2780919.760000000242144,2718636.600000000093132,2870396.850000000093132,11150040.709999999031425
20190708,2774219.000000000000000,2793030.639999999664724,2740260.000000000000000,2889365.269999999552965,11196874.910000000149012
20190709,2752345.500000000000000,2792109.160000000149012,2712870.360000000335276,2893466.549999999813735,11150791.570000000298023
20190710,2764616.000000000000000,2804088.399999999906868,2733052.200000000186265,2896029.850000000093132,11197786.450000001117587
20190711,2776353.000000000000000,2800007.560000000055879,2748188.580000000074506,2920124.869999999646097,11244674.009999999776483
20190712,2780621.000000000000000,2803956.760000000242144,2762844.439999999944121,2937555.309999999590218,11284977.509999997913837
20190715,2781154.500000000000000,2820016.839999999850988,2774617.180000000167638,2947295.850000000093132,11323084.369999999180436
20190716,2781688.000000000000000,2813566.479999999981374,2784467.840000000316650,2941656.589999999850988,11321378.910000000149012
20190717,2783822.000000000000000,2813434.839999999850988,2785669.140000000130385,2937555.309999999590218,11320481.289999999105930
20190718,2775819.500000000000000,2842395.639999999664724,2773656.140000000130385,2940631.269999999552965,11332502.549999998882413
20190719,2741675.500000000000000,2815541.080000000074506,2763324.960000000428408,2919612.209999999962747,11240153.750000000000000
20190722,2732606.000000000000000,2830416.399999999906868,2770292.500000000000000,2891928.569999999832362,11225243.470000000670552
20190723,2898524.500000000000000,2821333.239999999757856,2735454.800000000279397,2873216.479999999981374,11328529.020000001415610
20190724,2869182.000000000000000,2801192.319999999832362,2705422.300000000279397,2870909.509999999776483,11246706.130000000819564
20190725,2831303.500000000000000,2823044.560000000055879,2709506.720000000204891,2876548.769999999552965,11240403.550000000745058
20190726,2889988.500000000000000,2838051.520000000018626,2756597.680000000167638,2897055.169999999459833,11381692.869999999180436
20190729,2880385.500000000000000,2830153.119999999646097,2787110.700000000186265,2877830.419999999459833,11375479.740000000223517
20190730,2865981.000000000000000,2795400.160000000149012,2893065.360000000335276,2872447.489999999757856,11426894.009999999776483
20190731,2807829.500000000000000,2774074.479999999981374,2836123.740000000223517,2829384.049999999813735,11247411.769999999552965
20190801,2775819.500000000000000,2781051.399999999906868,2804649.680000000167638,2803751.049999999813735,11165271.629999998956919
20190802,2791824.500000000000000,2823571.119999999646097,2797682.140000000130385,2804263.709999999962747,11217341.469999998807907
20190805,2755546.500000000000000,2770520.199999999720603,2716954.780000000260770,2712497.569999999832362,10955519.049999998882413
20190806,2788623.500000000000000,2818305.520000000018626,2745785.979999999981374,2749665.419999999459833,11102380.419999999925494
20190807,2837172.000000000000000,2854506.520000000018626,2775578.220000000204891,2773504.109999999869615,11240760.849999999627471
20190808,2864380.500000000000000,2870040.039999999571592,2821708.140000000130385,2781706.669999999459833,11337835.349999999627471
20190809,2849976.000000000000000,2911375.000000000000000,2805850.979999999981374,2749921.750000000000000,11317123.730000000447035
20190812,2838239.000000000000000,2858850.639999999664724,2787831.479999999981374,2694554.469999999739230,11179475.589999999850988
20190813,2854244.000000000000000,2892682.119999999646097,2817143.200000000186265,2753254.039999999571592,11317323.359999999403954
