代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11586607.279999999329448
真實報酬,1586607.279999999329448

夏普值報酬,0.149960728000000
夏普值風險,0.042266611159471
夏普值,3.547971410203697

預期報酬,12283.552054668947676
風險,137676.678847853007028
趨勢值,0.089220281586278
找到最佳解世代,2443
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),PG[21](1),WMT[28](21),
Stock#,MCD[15](2),PG[21](1),WMT[28](21),
張數,33830,46334,51408,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,63.100000000093132,65.040000000037253,38.279999999795109,
20151001,3341790.500000000000000,3333796.340000000316650,3304030.439999999478459,9979618.279999999329448
20151002,3375958.800000000279397,3355573.320000000298023,3340530.120000000111759,10072063.240000002086163
20151005,3422644.200000000186265,3392640.520000000018626,3386283.240000000223517,10201568.960000000894070
20151006,3447340.100000000093132,3400980.640000000130385,3376515.720000000204891,10224837.460000000894070
20151007,3442942.200000000186265,3415807.520000000018626,3411473.159999999683350,10270223.880000000819564
20151008,3482861.600000000093132,3447314.640000000130385,3438205.319999999366701,10368382.559999998658895
20151009,3476433.900000000372529,3451021.360000000335276,3428437.799999999813735,10355894.060000000521541
20151012,3492672.299999999813735,3444071.259999999776483,3440775.720000000204891,10377520.279999999329448
20151013,3497408.500000000000000,3433877.779999999795109,3430494.120000000111759,10361781.399999998509884
20151014,3478463.699999999720603,3438511.179999999701977,3086060.520000000018626,10003036.399999998509884
20151015,3506880.899999999906868,3441291.219999999739230,3050074.919999999925494,9998248.039999999105930
20151016,3546123.699999999720603,3470481.640000000130385,3027455.399999999906868,10044061.740000000223517
20151019,3534959.799999999813735,3482528.479999999981374,3025399.080000000074506,10042888.359999999403954
20151020,3512970.300000000279397,3448704.660000000149012,3020258.279999999795109,9981934.240000000223517
20151021,3468991.300000000279397,3409784.100000000093132,3014603.399999999906868,9893379.800000000745058
20151022,3750795.200000000186265,3468164.939999999944121,3027969.479999999515712,10246930.620000001043081
20151023,3808982.800000000279397,3569173.060000000055879,2997124.679999999701977,10375281.539999999105930
20151026,3795112.500000000465661,3590486.699999999720603,2982730.439999999944121,10368330.640000000596046
20151027,3776844.300000000279397,3581219.900000000372529,2954970.119999999646097,10313035.320000000298023
20151028,3820823.299999999813735,3545079.380000000353903,2963195.399999999906868,10329099.080000000074506
20151029,3809997.700000000186265,3568709.719999999739230,2979645.959999999962747,10358354.379999998956919
20151030,3797480.600000000093132,3539055.959999999962747,2942632.199999999720603,10279169.759999999776483
20151102,3792744.399999999906868,3549249.439999999944121,2961653.159999999683350,10303648.000000000000000
20151103,3791729.500000000000000,3570099.739999999757856,2987357.159999999683350,10349187.400000000372529
20151104,3802555.100000000093132,3570563.080000000074506,3000723.239999999757856,10373842.419999999925494
20151105,3817778.600000000093132,3539519.300000000279397,3013061.159999999683350,10370360.060000000521541
20151106,3833340.400000000372529,3501525.419999999925494,3021800.520000000018626,10356667.339999999850988
20151109,3820485.000000000465661,3493648.640000000130385,3006892.199999999720603,10321026.839999999850988
20151110,3830295.700000000186265,3510792.219999999739230,3016659.719999999739230,10357748.640000000596046
20151111,3851608.600000000093132,3519595.679999999701977,2960110.919999999925494,10331316.199999999254942
20151112,3792744.399999999906868,3459361.479999999981374,2927723.879999999888241,10179830.759999999776483
20151113,3720348.200000000186265,3426927.679999999701977,2900477.639999999664724,10047754.519999999552965
20151116,3757222.900000000372529,3489015.239999999757856,2975019.239999999757856,10221258.380000000819564
20151117,3753163.299999999813735,3478358.419999999925494,3080405.639999999664724,10311928.359999999403954
20151118,3806953.000000000000000,3516815.640000000130385,3132327.719999999739230,10456097.359999999403954
20151119,3833002.100000000093132,3531642.520000000018626,3120503.879999999888241,10485149.500000000000000
20151120,3853638.399999999906868,3513108.919999999925494,3088116.839999999850988,10454865.160000000149012
20151123,3872583.200000000186265,3520059.020000000018626,3097884.359999999869615,10490527.580000000074506
20151124,3866155.500000000000000,3542299.340000000316650,3080405.639999999664724,10488861.480000000447035
20151125,3870215.100000000093132,3516815.640000000130385,3096856.199999999720603,10483887.939999999478459
20151127,3864464.000000000000000,3507548.840000000316650,3078863.399999999906868,10450877.240000000223517
20151130,3862095.899999999906868,3467701.600000000093132,3024885.000000000000000,10354683.500000000000000
20151201,3871906.600000000093132,3518669.000000000000000,3032596.199999999720603,10423172.799999998882413
20151202,3847210.700000000186265,3511718.900000000372529,2999695.080000000074506,10358625.679999999701977
20151203,3836046.800000000279397,3509402.199999999720603,3035166.599999999627471,10380616.599999999627471
20151204,3931109.100000000093132,3606240.259999999776483,3067039.559999999590218,10604389.919999998062849
20151207,3938551.700000000186265,3631260.620000000111759,3110222.279999999795109,10680035.599999999627471
20151208,3942273.000000000000000,3602533.540000000037253,3064469.159999999683350,10609276.699999999254942
20151209,3943964.500000000000000,3600216.840000000316650,3039793.319999999832362,10583975.660000000149012
20151210,3964939.100000000093132,3604386.900000000372529,3061898.759999999776483,10631225.759999999776483
20151211,3927049.500000000000000,3603923.560000000055879,3051617.159999999683350,10582591.220000000670552
20151214,3933138.900000000372529,3627553.900000000372529,3104567.399999999906868,10665261.200000001117587
20151215,3955805.000000000465661,3691958.160000000149012,3066011.399999999906868,10713775.560000000521541
20151216,3986590.300000000279397,3752655.699999999720603,3099940.679999999701977,10839187.679999999701977
20151217,3975088.100000000093132,3720221.900000000372529,3032082.119999999646097,10727393.119999999180436
20151218,3946670.899999999906868,3620140.459999999962747,3025399.080000000074506,10592211.439999999478459
20151221,3981515.799999999813735,3658134.340000000316650,3061384.679999999701977,10701035.820000000298023
20151222,3982530.700000000186265,3688251.439999999944121,3112278.599999999627471,10783061.740000000223517
20151223,4019067.100000000093132,3703078.320000000298023,3140553.000000000000000,10862699.419999999925494
20151224,4011286.199999999720603,3697054.900000000372529,3127186.919999999925494,10835529.019999999552965
20151228,4017375.600000000093132,3703078.320000000298023,3123074.279999999795109,10843529.199999999254942
20151229,4062031.199999999720603,3723465.279999999795109,3167285.159999999683350,10952782.639999998733401
20151230,4040380.000000000465661,3710028.419999999925494,3170883.719999999739230,10921293.140000000596046
20151231,3996739.300000000279397,3679447.979999999981374,3151348.679999999701977,10827536.960000000894070
20160104,3977794.500000000000000,3631260.620000000111759,3159573.959999999962747,10768630.080000000074506
20160105,4032599.100000000093132,3642844.120000000111759,3234629.639999999664724,10910073.859999999403954
20160106,4005535.100000000093132,3607630.279999999795109,3267016.679999999701977,10880183.059999998658895
20160107,3912840.899999999906868,3576123.160000000149012,3343100.520000000018626,10832065.580000000074506
20160108,3906751.500000000000000,3520059.020000000018626,3266502.599999999627471,10693314.119999999180436
20160111,3947685.799999999813735,3552492.820000000298023,3301460.039999999571592,10801639.660000000149012
20160112,3973058.299999999813735,3545079.380000000353903,3270615.239999999757856,10788753.919999999925494
20160113,3894572.700000000186265,3514498.939999999944121,3183221.639999999664724,10592294.280000001192093
20160114,3945317.700000000186265,3528399.140000000130385,3241826.759999999776483,10715544.599999999627471
20160115,3896602.500000000465661,3474188.360000000335276,3183735.719999999739230,10554527.580000001937151
20160119,3975088.100000000093132,3555272.860000000335276,3216122.759999999776483,10746484.720000000670552
20160120,3916900.500000000000000,3513572.259999999776483,3127701.000000000000000,10558174.759999999776483
