代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10578844.800000000745058
真實報酬,578844.800000000745058

夏普值報酬,0.049184480000000
夏普值風險,0.055700566898782
夏普值,0.883015788499554

預期報酬,12052.660036631546973
風險,316386.775870945188217
趨勢值,0.038094702294219
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](2),PG[21](1),
Stock#,NKE[19](2),PG[21](1),
張數,66560,52904,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.799999999813735,42.959999999962747,
20181203,5187699.199999999254942,4937044.239999999292195,10124743.439999997615814
20181204,5044595.200000000186265,4936515.200000000186265,9981110.400000000372529
20181206,5027955.200000000186265,4949212.160000000149012,9977167.359999999403954
20181207,4881523.200000000186265,4891017.759999999776483,9772540.960000000894070
20181210,4826278.400000000372529,4921702.080000000074506,9747980.480000000447035
20181211,4896831.999999999068677,4968257.599999999627471,9865089.599999997764826
20181212,4946751.999999999068677,4974606.080000000074506,9921358.079999998211861
20181213,4854233.600000000558794,5104749.919999999925494,9958983.519999999552965
20181214,4827609.599999999627471,5112685.519999999552965,9940295.119999999180436
20181217,4652556.799999999813735,4907947.040000000037253,9560503.839999999850988
20181218,4735756.799999999813735,4893133.919999999925494,9628890.719999998807907
20181219,4590656.000000000000000,4854514.000000000000000,9445170.000000000000000
20181220,4494809.599999999627471,4813248.879999999888241,9308058.480000000447035
20181221,4816960.000000000000000,4812719.839999999850988,9629679.839999999850988
20181224,4532748.799999999813735,4621736.400000000372529,9154485.199999999254942
20181226,4859558.400000000372529,4766164.320000000298023,9625722.720000000670552
20181227,4903488.000000000000000,4868269.040000000037253,9771757.039999999105930
20181228,4881523.200000000186265,4823829.680000000633299,9705352.880000000819564
20181231,4934771.200000000186265,4862978.639999999664724,9797749.839999999850988
20190102,4929446.400000000372529,4829120.080000000074506,9758566.480000000447035
20190103,4842252.799999999813735,4795261.519999999552965,9637514.320000000298023
20190104,4968716.799999999813735,4893133.919999999925494,9861850.719999998807907
20190107,5039936.000000000000000,4873559.440000000409782,9913495.440000001341105
20190108,5107161.599999999627471,4891546.799999999813735,9998708.399999998509884
20190109,5097843.200000000186265,4811661.759999999776483,9909504.960000000894070
20190110,5086528.000000000000000,4823300.639999999664724,9909828.640000000596046
20190111,5061235.200000000186265,4855043.040000000037253,9916278.240000000223517
20190114,5064563.200000000186265,4822242.560000000521541,9886805.760000001639128
20190115,5183705.599999999627471,4867740.000000000000000,10051445.599999999627471
20190116,5170393.600000000558794,4833881.440000000409782,10004275.040000000968575
20190117,5266905.599999999627471,4795261.519999999552965,10062167.119999999180436
20190118,5354764.799999999813735,4836526.639999999664724,10191291.439999999478459
20190122,5374732.799999999813735,4784680.719999999739230,10159413.519999999552965
20190123,5358092.799999999813735,5017458.320000000298023,10375551.120000001043081
20190124,5354099.199999999254942,4988890.160000000149012,10342989.359999999403954
20190125,5365414.399999999441206,4951857.359999999403954,10317271.759999997913837
20190128,5346111.999999999068677,4947625.040000000037253,10293737.039999999105930
20190129,5339456.000000000000000,4948683.120000000111759,10288139.120000001043081
20190130,5410009.599999999627471,5000529.040000000037253,10410538.640000000596046
20190131,5449945.599999999627471,5103691.839999999850988,10553637.439999999478459
20190201,5425318.400000000372529,5156595.839999999850988,10581914.240000000223517
20190204,5457267.199999999254942,5186222.080000000074506,10643489.279999999329448
20190205,5515174.399999999441206,5155008.719999999739230,10670183.119999999180436
20190206,5505190.399999999441206,5180402.639999999664724,10685593.039999999105930
20190207,5483891.200000000186265,5139137.519999999552965,10623028.719999998807907
20190208,5481894.399999999441206,5169292.799999999813735,10651187.199999999254942
20190211,5569753.600000000558794,5198919.040000000037253,10768672.640000000596046
20190212,5638310.399999999441206,5251294.000000000000000,10889604.399999998509884
20190213,5684236.799999999813735,5250235.919999999925494,10934472.719999998807907
20190214,5636313.600000000558794,5208970.799999999813735,10845284.400000000372529
20190215,5682905.599999999627471,5210028.879999999888241,10892934.480000000447035
