代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12908829.739999998360872
真實報酬,2908829.739999998360872

夏普值報酬,0.282182974000000
夏普值風險,0.074901458517363
夏普值,3.767389575392382

預期報酬,26220.647247732111282
風險,236483.428961548459483
趨勢值,0.110877313319047
找到最佳解世代,2497
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),DD[7](15),UNH[23](1),
Stock#,BA[2](2),DD[7](15),UNH[23](1),
張數,43346,73795,62363,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,25.599999999627471,12.850000000093132,30.649999999906868,
20130301,3349804.479999999515712,3342926.350000000093132,3337698.410000000149012,10030430.240000000223517
20130304,3341568.739999999757856,3354733.550000000279397,3325225.810000000055879,10021529.099999999627471
20130305,3409621.959999999497086,3384251.550000000279397,3336451.149999999906868,10130325.660000000149012
20130306,3427827.279999999329448,3437383.950000000186265,3343311.080000000074506,10208523.309999998658895
20130307,3513218.899999999441206,3415245.450000000186265,3355160.049999999813735,10283625.399999998509884
20130308,3521021.179999999701977,3444025.500000000000000,3355783.680000000167638,10320831.359999999403954
20130311,3595142.839999999385327,3466901.949999999720603,3380728.879999999888241,10442774.669999998062849
20130312,3648024.959999999497086,3493468.150000000372529,3419393.939999999944121,10560888.049999998882413
20130313,3673599.099999999627471,3489778.399999999906868,3397566.889999999664724,10560945.390000000596046
20130314,3667964.119999999646097,3538483.100000000093132,3413157.639999999664724,10619605.859999999403954
20130315,3746420.379999999888241,3553242.100000000093132,3413157.639999999664724,10712821.120000001043081
20130318,3692237.879999999888241,3496419.950000000186265,3429995.649999999906868,10618654.480000000447035
20130319,3706542.060000000055879,3488302.500000000465661,3440597.359999999869615,10635442.919999999925494
20130320,3700473.619999999646097,3514130.750000000000000,3422512.089999999850988,10637117.459999999031425
20130321,3655393.779999999329448,3413031.600000000093132,3433737.430000000167638,10502163.809999998658895
20130322,3676633.319999999366701,3444763.450000000186265,3396319.629999999888241,10517717.399999998509884
20130325,3677933.699999999254942,3393106.949999999720603,3421264.830000000074506,10492306.479999998584390
20130326,3754656.119999999646097,3362851.000000000000000,3470531.599999999627471,10588039.719999998807907
20130327,3736450.799999999813735,3339974.549999999813735,3531023.709999999962747,10607450.059999998658895
20130328,3721279.699999999254942,3345878.150000000372529,3567817.879999999888241,10634976.730000000447035
20130401,3695272.099999999627471,3296435.500000000000000,3677576.759999999776483,10669285.359999999403954
20130402,3644990.739999999757856,3252896.450000000186265,3850322.270000000018626,10748210.459999999031425
20130403,3656694.159999999683350,3258062.100000000093132,3845956.859999999869615,10760714.119999999180436
20130404,3682268.299999999813735,3303077.049999999813735,3868407.540000000037253,10853753.890000000596046
20130405,3735150.419999999925494,3246992.850000000093132,3872772.950000000186265,10854917.219999998807907
20130408,3760291.099999999627471,3224116.399999999906868,3859676.719999999739230,10844085.219999998807907
20130409,3780230.259999999310821,3303815.000000000465661,3877761.989999999757856,10961808.250000000000000
20130410,3806671.319999999366701,3345140.200000000186265,3892105.479999999515712,11043918.000000000000000
20130411,3837446.979999999515712,3348092.000000000000000,3927652.389999999664724,11113192.369999999180436
20130412,3853051.539999999571592,3336284.800000000279397,3930770.540000000037253,11120107.879999998956919
20130415,3761158.019999999552965,3171721.949999999720603,3840967.820000000298023,10773848.789999999105930
