代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12251194.800000000745058
真實報酬,2251194.800000000745058

夏普值報酬,0.216419480000000
夏普值風險,0.061420491425782
夏普值,3.523571286652955

預期報酬,20693.384462631041970
風險,274493.979347901768051
趨勢值,0.075387389230871
找到最佳解世代,2301
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CSCO[4](1),INTC[11](9),NKE[19](2),
Stock#,CSCO[4](1),INTC[11](9),NKE[19](2),
張數,97608,73276,60617,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.800000000279397,7.759999999776483,4.169999999925494,
20171101,3379208.760000000242144,3422729.719999999739230,3338182.359999999869615,10140121.839999999850988
20171102,3339189.480000000447035,3451307.359999999869615,3341213.209999999962747,10131711.050000000745058
20171103,3364567.560000000055879,3395617.600000000093132,3376977.239999999757856,10137163.400000000372529
20171106,3358711.080000000074506,3421996.959999999962747,3396980.850000000093132,10177689.890000000596046
20171107,3357735.000000000000000,3427859.040000000037253,3343031.719999999739230,10128626.759999999776483
20171108,3367495.800000000279397,3421996.959999999962747,3380008.089999999850988,10169501.849999999627471
20171109,3323572.200000000186265,3392686.559999999590218,3402436.379999999888241,10118696.140000000596046
20171110,3317715.720000000670552,3339927.839999999850988,3400011.700000000186265,10057656.260000001639128
20171113,3313811.400000000372529,3352384.759999999776483,3389100.639999999664724,10055297.800000000745058
20171114,3322596.120000000111759,3360445.119999999646097,3393343.829999999608845,10076386.070000000298023
20171115,3329428.680000000167638,3331134.719999999739230,3432744.879999999888241,10093309.280000001192093
20171116,3502194.840000000316650,3345057.159999999683350,3469115.079999999608845,10316368.080000000074506
20171117,3504147.000000000000000,3270315.640000000130385,3587924.399999999906868,10362388.040000000968575
20171120,3562711.800000000279397,3269582.879999999422580,3591561.419999999925494,10423857.099999999627471
20171121,3577353.000000000000000,3293031.199999999720603,3600047.799999999813735,10470433.000000000000000
20171122,3557831.400000000372529,3271781.159999999683350,3580650.359999999869615,10410263.919999999925494
20171124,3561735.720000000670552,3279108.759999999776483,3595804.609999999869615,10436650.089999999850988
20171127,3598826.760000000242144,3260057.000000000000000,3614595.879999999888241,10473480.640000000596046
20171128,3682769.640000000130385,3277643.239999999757856,3611565.029999999795109,10571978.910000000149012
20171129,3658367.640000000130385,3220487.959999999962747,3658846.290000000037253,10537702.890000000596046
20171130,3640798.200000000186265,3285703.600000000093132,3662483.310000000055879,10588986.110000001266599
20171201,3670080.600000000558794,3273979.439999999944121,3629750.129999999888241,10573811.170000001788139
20171204,3681793.560000000055879,3260057.000000000000000,3643085.870000000111759,10584937.429999999701977
20171205,3641774.280000000726432,3183117.199999999720603,3662483.310000000055879,10487375.790000000968575
20171206,3651535.080000000074506,3183849.959999999962747,3620051.409999999683350,10455437.449999999254942
20171207,3650559.000000000000000,3156737.839999999850988,3673394.370000000111759,10480692.210000000894070
20171208,3671056.680000000167638,3176522.359999999869615,3715826.269999999552965,10563406.309999998658895
20171211,3705219.480000000447035,3199237.919999999459833,3752802.639999999664724,10657261.039999999105930
20171212,3700339.080000000074506,3175056.839999999850988,3768563.060000000055879,10643959.980000000447035
20171213,3723765.000000000000000,3175789.600000000093132,3897677.269999999552965,10797232.869999999180436
20171214,3699363.000000000000000,3169927.519999999552965,3911619.180000000167638,10780910.699999999254942
20171215,3727669.319999999832362,3265186.319999999832362,3927379.600000000093132,10920236.240000000223517
20171218,3755975.640000000130385,3389755.519999999552965,3928591.939999999944121,11074324.099999999627471
20171219,3738406.200000000186265,3446910.799999999813735,3894040.249999999534339,11079358.250000000000000
20171220,3781353.720000000670552,3485014.319999999832362,3854639.200000000186265,11121008.240000002086163
20171221,3760856.040000000502914,3426393.519999999552965,3926167.259999999776483,11113417.820000000298023
20171222,3762808.200000000186265,3421996.959999999962747,3836454.100000000093132,11021260.259999999776483
20171226,3755975.640000000130385,3376565.839999999850988,3858276.219999999739230,10990818.699999999254942
20171227,3763784.280000000726432,3378764.119999999646097,3815844.320000000298023,10958393.720000000670552
20171228,3766712.520000000484288,3386824.479999999515712,3815844.320000000298023,10969382.320000000298023
20171229,3738406.200000000186265,3382427.919999999459833,3791597.519999999552965,10912432.639999998733401
20180102,3793066.680000000167638,3432988.359999999869615,3848577.500000000000000,11074633.539999999105930
20180103,3823325.160000000614673,3316479.519999999552965,3847971.329999999608845,10987777.009999999776483
