代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12205295.160000000149012
真實報酬,2205295.160000000149012

夏普值報酬,0.211829516000000
夏普值風險,0.061553245860902
夏普值,3.441402854346476

預期報酬,17541.845432245823758
風險,119214.704019688389963
趨勢值,0.147144981623649
找到最佳解世代,1396
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](3),INTC[11](4),JNJ[12](6),PG[21](16),
Stock#,AAPL[0](1),CSCO[4](3),INTC[11](4),JNJ[12](6),PG[21](16),
張數,26602,91743,80775,21710,25425,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,61.639999999897555,2.599999999860302,10.999999999767169,74.799999999813735,69.500000000000000,
20140303,2005586.419999999925494,1978899.109999999869615,1978998.499999999767169,1987842.399999999906868,1969998.500000000000000,9921324.929999999701977
20140304,2018887.419999999925494,2001834.859999999869615,1987883.749999999767169,2026486.199999999953434,1994660.750000000000000,10029752.980000000447035
20140305,2023143.739999999757856,2006422.010000000009313,1978998.499999999767169,2010203.699999999953434,1978642.999999999767169,9997410.949999999254942
20140306,2017025.279999999795109,2001834.859999999869615,1989499.249999999767169,2016716.699999999720603,1984745.000000000000000,10009821.089999999850988
20140307,2015961.199999999953434,1993577.989999999990687,1990306.999999999767169,2026051.999999999767169,1992881.000000000000000,10018779.189999999478459
20140310,2017823.339999999850988,1989908.270000000018626,2006461.999999999767169,2028874.299999999813735,1996694.750000000000000,10039762.660000000149012
20140311,2037242.799999999813735,1982568.829999999841675,1997576.749999999767169,2029742.699999999720603,2007373.250000000000000,10054504.330000000074506
20140312,2039370.959999999729916,2001834.859999999869615,2000000.000000000000000,2032130.799999999580905,2014746.499999999767169,10088083.119999999180436
20140313,2016759.260000000009313,1974311.959999999729916,1984652.749999999767169,2019104.799999999813735,2013475.250000000000000,10008304.019999999552965
20140314,1994147.559999999823049,1958715.649999999906868,1978998.499999999767169,2014979.899999999906868,2008136.000000000000000,9954977.609999999403954
20140317,2001862.139999999897555,1973394.530000000027940,1995153.499999999767169,2039295.099999999860302,2030001.500000000000000,10039706.769999999552965
20140318,2019419.459999999729916,1984403.689999999711290,2004846.499999999767169,2039512.199999999720603,2028221.750000000000000,10076403.599999999627471
20140319,2018887.419999999925494,1984403.689999999711290,2021001.499999999767169,2031913.699999999953434,2003051.000000000000000,10059257.309999998658895
20140320,2009310.699999999953434,2002752.289999999804422,2054119.249999999767169,2043420.000000000000000,1991355.499999999767169,10100957.739999998360872
20140321,2025005.880000000121072,1985321.119999999878928,2033117.750000000000000,2082715.099999999860302,1980168.500000000000000,10106328.349999999627471
20140324,2049213.699999999953434,1978899.109999999869615,2029078.999999999767169,2066866.799999999813735,2016272.000000000000000,10140330.609999999403954
20140325,2071293.359999999869615,2049541.219999999739230,2056542.499999999767169,2114194.599999999627471,2029238.750000000000000,10320810.429999999701977
20140326,2051341.859999999869615,2047706.359999999869615,2050080.499999999767169,2107030.299999999813735,2021357.000000000000000,10277516.019999999552965
20140327,2042563.199999999953434,2020183.459999999729916,2044426.249999999767169,2112023.599999999627471,2025170.750000000232831,10244367.259999999776483
20140328,2040169.019999999785796,2048623.789999999804422,2069466.499999999767169,2115497.199999999720603,2027967.500000000232831,10301724.009999999776483
20140331,2039903.000000000000000,2056880.659999999916181,2084813.749999999767169,2132648.100000000093132,2049324.499999999767169,10363570.009999999776483
20140401,2058524.399999999674037,2119265.900000000372529,2099353.250000000000000,2126352.199999999720603,2042714.000000000000000,10446209.750000000000000
20140402,2061982.660000000149012,2109174.169999999925494,2091275.749999999767169,2132648.100000000093132,2037374.750000000000000,10432455.429999999701977
20140403,2047617.579999999841675,2118348.469999999739230,2133278.750000000000000,2133299.399999999906868,2036611.999999999767169,10469156.199999999254942
20140404,2021015.579999999841675,2083486.129999999888241,2113085.000000000000000,2136773.000000000000000,2028221.750000000000000,10382581.460000000894070
20140407,1989359.199999999953434,2096330.149999999906868,2139740.750000000000000,2125266.699999999720603,2046527.749999999767169,10397224.549999998882413
20140408,1989359.199999999953434,2104587.019999999552965,2173666.250000000000000,2128957.399999999906868,2068393.249999999767169,10464963.119999999180436
20140409,2015429.160000000149012,2121100.759999999776483,2179320.500000000000000,2148279.299999999813735,2071952.749999999767169,10536082.469999998807907
20140410,1989359.199999999953434,2077981.549999999813735,2134894.250000000000000,2095958.199999999953434,2061782.750000000000000,10359975.949999999254942
20140411,1974728.100000000093132,2060550.379999999888241,2114700.500000000000000,2103122.500000000000000,2053392.500000000232831,10306493.980000000447035
20140414,1982708.699999999953434,2096330.149999999906868,2145395.000000000000000,2108984.199999999720603,2054663.750000000000000,10388081.799999998882413
20140415,1968343.619999999646097,2099999.870000000111759,2162357.750000000000000,2153706.799999999813735,2055426.500000000000000,10439834.539999999105930
20140416,1972333.919999999925494,2112843.889999999664724,2175281.750000000000000,2143937.299999999813735,2076020.750000000232831,10480417.609999999403954
20140417,1994945.619999999646097,2129357.629999999888241,2184167.000000000000000,2148496.399999999906868,2078817.500000000232831,10535784.150000000372529
20140421,2018621.399999999674037,2146788.799999999813735,2176897.250000000000000,2171074.799999999813735,2073732.500000000000000,10587114.750000000000000
20140422,2020749.559999999823049,2157797.959999999962747,2168012.000000000000000,2174982.600000000093132,2065850.750000000000000,10587392.869999999180436
20140423,1994147.559999999823049,2155963.099999999627471,2160742.250000000000000,2175851.000000000000000,2043222.500000000000000,10529926.410000000149012
20140424,2157749.860000000335276,2140366.790000000037253,2160742.250000000000000,2170206.399999999906868,2063308.250000000232831,10692373.550000000745058
20140425,2173711.059999999590218,2110091.599999999627471,2121162.500000000000000,2166515.699999999720603,2069918.750000000000000,10641399.609999999403954
