代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11509476.939999999478459
真實報酬,1509476.939999999478459

夏普值報酬,0.142247694000000
夏普值風險,0.049899398461873
夏普值,2.850689555079298

預期報酬,14438.542862523159783
風險,107448.061465142149245
趨勢值,0.134376950739193
找到最佳解世代,2845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),PG[21](10),TRV[22](12),WMT[28](2),
Stock#,DIS[6](1),PG[21](10),TRV[22](12),WMT[28](2),
張數,57991,39283,38868,42437,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.990000000223517,29.879999999888241,10.240000000223517,36.330000000074506,
20120501,2539433.880000000353903,2497250.189999999944121,2510883.040000000037253,2506789.919999999925494,10054357.030000001192093
20120502,2524936.130000000353903,2513356.219999999739230,2516324.560000000055879,2504243.700000000186265,10058860.609999999403954
20120503,2540593.700000000186265,2534176.209999999962747,2516713.240000000223517,2503394.959999999962747,10094878.109999999403954
20120504,2489561.620000000111759,2525141.120000000111759,2506996.240000000223517,2491088.229999999981374,10012787.210000000894070
20120507,2541173.610000000335276,2523962.629999999888241,2510494.360000000335276,2511882.359999999869615,10087512.960000000894070
20120508,2569009.290000000037253,2520427.159999999683350,2502720.760000000242144,2505941.180000000167638,10098098.389999998733401
20120509,2610762.810000000521541,2501178.489999999757856,2484452.800000000279397,2505092.439999999944121,10101486.540000000968575
20120510,2625840.470000000204891,2519641.500000000000000,2512437.760000000242144,2511882.359999999869615,10169802.089999999850988
20120511,2642077.950000000186265,2501571.319999999832362,2511660.400000000372529,2521642.870000000111759,10176952.539999999105930
20120514,2619461.460000000428408,2497643.020000000018626,2506218.880000000353903,2506789.919999999925494,10130113.280000001192093
20120515,2610182.899999999906868,2503142.639999999664724,2493392.440000000409782,2518672.280000000260770,10125390.259999999776483
20120516,2614242.270000000018626,2525533.950000000186265,2472403.720000000204891,2511882.359999999869615,10124062.300000000745058
20120517,2570749.020000000018626,2512570.560000000055879,2437033.840000000316650,2617550.490000000223517,10137903.910000000149012
20120518,2540593.700000000186265,2495286.040000000037253,2416822.479999999981374,2649378.240000000223517,10102080.460000000894070
20120521,2574228.480000000447035,2490179.250000000000000,2437033.840000000316650,2675264.810000000055879,10176706.380000000819564
20120522,2574228.480000000447035,2480751.329999999608845,2441698.000000000465661,2704546.339999999850988,10201224.150000000372529
20120523,2574228.480000000447035,2450896.250000000000000,2441698.000000000465661,2704546.339999999850988,10171369.070000000298023
20120524,2577128.030000000260770,2457967.189999999944121,2456079.160000000149012,2761411.919999999925494,10252586.300000000745058
20120525,2580607.490000000223517,2454824.549999999813735,2433147.040000000502914,2771596.800000000279397,10240175.880000000819564
20120529,2637438.669999999925494,2472894.729999999981374,2444030.080000000540167,2787298.490000000223517,10341661.970000000670552
20120530,2621201.190000000409782,2448146.439999999944121,2405550.760000000242144,2777113.609999999869615,10252012.000000000000000
20120531,2650776.600000000093132,2446967.949999999720603,2428871.560000000521541,2793239.669999999925494,10319855.780000001192093
20120601,2574808.390000000130385,2417898.529999999795109,2354633.680000000167638,2781781.680000000167638,10129122.279999999329448
20120604,2575388.299999999813735,2412006.079999999608845,2346860.080000000540167,2800453.959999999962747,10134708.419999998062849
20120605,2600324.430000000633299,2402970.989999999757856,2363184.640000000130385,2779659.830000000074506,10146139.890000000596046
20120606,2640338.220000000204891,2427719.279999999795109,2395833.760000000242144,2797907.740000000223517,10261799.000000000000000
20120607,2646137.320000000298023,2465430.959999999962747,2406328.120000000111759,2795361.520000000484288,10313257.920000001788139
20120608,2681511.830000000540167,2465038.129999999888241,2415267.760000000242144,2895088.470000000204891,10456906.190000001341105
20120611,2655995.790000000037253,2456788.699999999720603,2392724.320000000298023,2865806.939999999944121,10371315.750000000000000
20120612,2689630.570000000298023,2465430.959999999962747,2407494.160000000149012,2873869.970000000204891,10436425.660000000149012
20120613,2680931.919999999925494,2457967.189999999944121,2396222.439999999944121,2846285.919999999925494,10381407.469999998807907
