代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14597066.740000000223517
真實報酬,4597066.740000000223517

夏普值報酬,0.451006674000000
夏普值風險,0.108128467422891
夏普值,4.171026231566866

預期報酬,38643.992243451219110
風險,322951.734888423990924
趨勢值,0.119658723173611
找到最佳解世代,1564
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),HD[9](2),
Stock#,BA[2](1),HD[9](2),
張數,104602,199282,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,24.400000000372529,14.620000000111759,
20091102,5049162.940000000409782,4994021.540000000037253,10043184.480000000447035
20091103,5031380.600000000558794,4982064.620000000111759,10013445.220000000670552
20091104,5028242.540000000037253,4974093.339999999850988,10002335.879999998956919
20091105,5206065.940000000409782,5107612.280000000260770,10313678.220000000670552
20091106,5196651.760000000707805,5197289.179999999701977,10393940.940000001341105
20091109,5371337.100000000558794,5342765.040000000037253,10714102.140000000596046
20091110,5263597.040000000037253,5344757.860000000335276,10608354.900000000372529
20091111,5301253.760000000707805,5442406.040000000037253,10743659.800000000745058
20091112,5259412.960000000894070,5428456.299999999813735,10687869.260000001639128
20091113,5301253.760000000707805,5448384.500000000000000,10749638.260000001639128
20091116,5489537.360000000335276,5510161.919999999925494,10999699.280000001192093
20091117,5494767.460000000894070,5378635.799999999813735,10873403.260000001639128
20091118,5441420.440000000409782,5438420.400000000372529,10879840.839999999850988
20091119,5379705.260000000707805,5402549.639999999664724,10782254.900000000372529
20091120,5407947.800000000745058,5416499.379999999888241,10824447.179999999701977
20091123,5505227.660000001080334,5482262.440000000409782,10987490.100000001490116
20091124,5436190.339999999850988,5492226.540000000037253,10928416.879999998956919
20091125,5536608.260000000707805,5550018.320000000298023,11086626.580000001937151
20091127,5486399.300000000745058,5502190.639999999664724,10988589.940000001341105
20091130,5482215.219999999739230,5452370.139999999664724,10934585.359999999403954
20091201,5619243.839999999850988,5579910.620000000111759,11199154.460000000894070
20091202,5625519.960000000894070,5645673.679999999701977,11271193.640000000596046
20091203,5624473.940000000409782,5565960.879999999888241,11190434.820000000298023
20091204,5719661.760000000707805,5595853.179999999701977,11315514.940000001341105
20091207,5838908.040000000037253,5623752.660000000149012,11462660.699999999254942
20091208,5822171.719999999739230,5514147.560000000521541,11336319.280000001192093
