代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12065218.269999999552965
真實報酬,2065218.269999999552965

夏普值報酬,0.197821827000000
夏普值風險,0.056776647635698
夏普值,3.484211119143637

預期報酬,15925.174782188831159
風險,100772.566953152490896
趨勢值,0.158030853670644
找到最佳解世代,2398
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),PG[21](3),
Stock#,KO[14](2),MCD[15](1),PG[21](3),
張數,73518,18131,33823,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,26.879999999888241,129.959999999962747,76.350000000093132,
20190301,3336273.720000000204891,3355271.510000000242144,3329612.470000000204891,10021158.700000001117587
20190304,3356123.579999999608845,3274407.250000000000000,3344156.360000000335276,9974688.190000001341105
20190305,3352447.680000000167638,3288186.810000000055879,3351597.420000000391155,9992232.910000000149012
20190306,3341419.979999999981374,3300515.890000000130385,3346185.740000000223517,9988122.609999999403954
20190307,3328921.919999999925494,3273138.080000000074506,3333333.000000000000000,9935394.000000000000000
20190308,3296574.000000000000000,3254644.459999999962747,3328597.779999999795109,9879817.240000000223517
20190311,3395088.119999999646097,3283291.440000000409782,3368170.689999999944121,10046551.250000000000000
20190312,3385530.779999999795109,3296889.690000000409782,3384067.500000000000000,10066488.970000000670552
20190313,3398028.839999999850988,3301059.819999999832362,3422287.490000000223517,10121377.150000000372529
20190314,3359799.479999999981374,3313388.899999999906868,3427022.709999999962747,10100212.089999999850988
20190315,3330392.279999999795109,3360348.190000000409782,3464904.470000000204891,10155645.940000001341105
20190318,3338479.259999999776483,3335327.409999999683350,3433449.080000000074506,10107256.750000000000000
20190319,3349506.959999999962747,3320097.370000000111759,3446640.050000000279397,10116245.380000000819564
20190320,3347301.419999999925494,3353821.029999999795109,3440551.910000000149012,10141675.359999999403954
20190321,3345831.059999999590218,3379204.430000000167638,3466595.620000000111759,10191632.109999999403954
20190322,3376708.619999999646097,3387182.069999999832362,3438522.529999999795109,10202414.219999998807907
20190325,3384060.419999999925494,3367419.279999999795109,3448669.429999999701977,10200150.129999998956919
20190326,3428906.399999999906868,3399329.839999999850988,3484521.810000000055879,10312759.050000000745058
20190327,3426700.859999999869615,3399873.770000000018626,3480463.050000000279397,10307038.679999999701977
20190328,3424495.319999999832362,3433960.049999999813735,3502448.000000000000000,10360904.369999999180436
20190329,3445080.359999999869615,3443206.859999999869615,3519359.500000000000000,10407647.719999998807907
20190401,3434787.839999999850988,3415829.049999999813735,3505492.070000000298023,10356109.960000000894070
20190402,3423760.140000000130385,3415103.810000000055879,3509212.600000000093132,10348077.550000000745058
20190403,3395088.119999999646097,3415103.810000000055879,3507183.220000000204891,10317376.150000000372529
20190404,3417143.519999999552965,3442662.930000000167638,3498389.240000000223517,10358196.689999999478459
20190405,3416408.339999999850988,3457892.970000000204891,3505830.300000000279397,10380132.610000001266599
20190408,3422289.779999999795109,3442300.310000000055879,3550476.660000000149012,10415067.750000000000000
