代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12490565.449999999254942
真實報酬,2490565.449999999254942

夏普值報酬,0.240356545000000
夏普值風險,0.063875920312926
夏普值,3.762866254176892

預期報酬,18665.519767925350607
風險,168673.724633483914658
趨勢值,0.110660506302829
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](13),BA[2](1),UNH[23](4),
Stock#,AAPL[0](13),BA[2](1),UNH[23](4),
張數,52700,36465,55620,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.000000000000000,67.350000000093132,26.399999999906868,
20130501,3307510.000000000000000,3324946.050000000279397,3321652.799999999813735,9954109.850000001490116
20130502,3354413.000000000000000,3362505.000000000000000,3308303.999999999534339,10025223.000000000000000
20130503,3387614.000000000000000,3418296.449999999720603,3277156.799999999813735,10083068.250000000000000
20130506,3468771.999999999534339,3434705.700000000186265,3348350.399999999906868,10251829.099999999627471
20130507,3452962.000000000000000,3456584.700000000186265,3365036.399999999906868,10274584.099999999627471
20130508,3491960.000000000465661,3429235.950000000186265,3476832.599999999627471,10398029.550000000745058
20130509,3438733.000000000000000,3450021.000000000000000,3449022.599999999627471,10337777.599999999627471
20130510,3410274.999999999534339,3436528.949999999720603,3499080.599999999627471,10345885.549999998882413
20130513,3423449.999999999534339,3455490.750000000465661,3470158.199999999720603,10349099.949999999254942
20130514,3341765.000000000000000,3504718.500000000000000,3433448.999999999534339,10279933.500000000000000
20130515,3228460.000000000000000,3537901.649999999906868,3426774.600000000093132,10193137.250000000000000
20130516,3271674.000000000000000,3521857.049999999813735,3456253.199999999720603,10249785.250000000000000
20130517,3261661.000000000000000,3607185.150000000372529,3495187.200000000186265,10364034.350000001490116
20130520,3334914.000000000000000,3599892.149999999906868,3479613.600000000093132,10414420.750000000000000
20130521,3310145.000000000000000,3600986.100000000093132,3496855.799999999813735,10407987.899999998509884
20130522,3322793.000000000000000,3571084.800000000279397,3464040.000000000000000,10357918.800000000745058
20130523,3328590.000000000000000,3637451.100000000093132,3468489.600000000093132,10434531.699999999254942
20130524,3351251.000000000000000,3646567.350000000093132,3451803.600000000093132,10449622.949999999254942
20130528,3323320.000000000000000,3650578.500000000000000,3522997.200000000186265,10496896.699999999254942
20130529,3349670.000000000000000,3613384.200000000186265,3523553.399999999906868,10486608.599999999627471
20130530,3399735.000000000465661,3666258.450000000186265,3596415.599999999627471,10662410.050000000745058
20130531,3386033.000000000000000,3610831.649999999906868,3483507.000000000000000,10480372.650000000372529
20130603,3393411.000000000000000,3673551.449999999720603,3492962.399999999906868,10559925.849999999627471
20130604,3382871.000000000000000,3632346.000000000000000,3468489.600000000093132,10483707.599999999627471
20130605,3351251.000000000000000,3591505.199999999720603,3434561.399999999906868,10377318.599999999627471
20130606,3301186.000000000000000,3637815.750000000465661,3444016.799999999813735,10383019.550000000745058
20130607,3326482.000000000000000,3737365.199999999720603,3480169.799999999813735,10544018.000000000000000
20130610,3304348.000000000000000,3728248.949999999720603,3541908.000000000000000,10574505.949999999254942
20130611,3294335.000000000000000,3710381.100000000093132,3555813.000000000000000,10560530.099999999627471
20130612,3253756.000000000000000,3678656.549999999813735,3550251.000000000000000,10482664.550000000745058
20130613,3282214.000000000000000,3725331.750000000000000,3568049.400000000372529,10575596.150000000372529
20130614,3237946.000000000000000,3713298.299999999813735,3548582.399999999906868,10499827.699999999254942
20130617,3252175.000000000000000,3757056.300000000279397,3580285.800000000279397,10589518.100000001490116
20130618,3250594.000000000000000,3795344.549999999813735,3653148.000000000465661,10699087.550000000745058
20130619,3184719.000000000000000,3728613.600000000093132,3629787.600000000093132,10543121.199999999254942
20130620,3138343.000000000000000,3633439.950000000186265,3548582.399999999906868,10320366.349999999627471
20130621,3113047.000000000000000,3645838.050000000279397,3554144.399999999906868,10313030.450000001117587
20130624,3030835.000000000000000,3568167.600000000093132,3595859.400000000372529,10194863.000000000000000
20130625,3031362.000000000000000,3598068.900000000372529,3544688.999999999534339,10174120.900000000372529
20130626,2997107.000000000000000,3673916.100000000093132,3603090.000000000000000,10274114.099999999627471
20130627,2964433.000000000000000,3761432.100000000093132,3675952.200000000186265,10401818.300000000745058
20130628,2985513.000000000000000,3735541.950000000186265,3642024.000000000000000,10363079.949999999254942
20130701,3080900.000000000000000,3764713.949999999720603,3650366.999999999534339,10495981.949999999254942
20130702,3150464.000000000000000,3700170.899999999906868,3630343.799999999813735,10480979.699999999254942
20130703,3167855.000000000000000,3751951.200000000186265,3645361.200000000186265,10565168.400000000372529
20130705,3142559.000000000000000,3799720.350000000093132,3680401.799999999813735,10622682.149999998509884
20130708,3124641.000000000000000,3805919.400000000372529,3757713.600000000093132,10688275.000000000000000
20130709,3179976.000000000000000,3817223.550000000279397,3780517.799999999813735,10777718.350000001490116
20130710,3167328.000000000000000,3847124.850000000093132,3764944.199999999720603,10779398.049999998882413
20130711,3216866.000000000000000,3897446.549999999813735,3802209.600000000093132,10916523.150000000372529
20130712,3211069.000000000000000,3714756.900000000372529,3782186.399999999906868,10708013.300000000745058
20130715,3217920.000000000000000,3852959.250000000000000,3761050.800000000279397,10831931.050000000745058
20130716,3239000.000000000000000,3800814.300000000279397,3721560.599999999627471,10761375.900000000372529
20130717,3239527.000000000000000,3821234.700000000186265,3683739.000000000000000,10744501.699999999254942
20130718,3250594.000000000000000,3924795.299999999813735,3924017.399999999906868,11099407.699999999254942
20130719,3199475.000000000000000,3900363.750000000000000,3974075.399999999906868,11073915.150000000372529
20130722,3209488.000000000000000,3896717.250000000000000,4014678.000000000465661,11120884.250000000000000
20130723,3154680.000000000000000,3930629.700000000186265,4043044.199999999720603,11128354.900000000372529
20130724,3316469.000000000000000,3899999.100000000093132,4034145.000000000000000,11250614.099999999627471
20130725,3301186.000000000000000,3890882.850000000093132,4039150.800000000279397,11231220.650000000372529
20130726,3320158.000000000000000,3850771.350000000093132,4016346.599999999627471,11187276.949999999254942
20130729,3371277.000000000000000,3821964.000000000000000,4048606.200000000186265,11241848.199999999254942
20130730,3412910.000000000465661,3855511.800000000279397,4019683.799999999813735,11288106.600000001490116
20130731,3407113.000000000465661,3832538.850000000093132,4051943.399999999441206,11291596.250000000000000
20130801,3438205.999999999534339,3890882.850000000093132,4069185.599999999627471,11398275.449999999254942
20130802,3482474.000000000000000,3934640.850000000093132,4019127.600000000093132,11436243.449999999254942
20130805,3534120.000000000000000,3920054.850000000093132,4079197.200000000186265,11533373.050000000745058
20130806,3502499.999999999534339,3903280.950000000186265,4073635.199999999720603,11479417.149999998509884
