代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12829577.730000000447035
真實報酬,2829577.730000000447035

夏普值報酬,0.274257773000000
夏普值風險,0.077653231113934
夏普值,3.531826931935464

預期報酬,23480.535858546769305
風險,208425.003251402435126
趨勢值,0.112657001282253
找到最佳解世代,1968
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](18),MCD[15](3),UNH[23](1),V[25](2),
Stock#,BA[2](18),MCD[15](3),UNH[23](1),V[25](2),
張數,46168,43805,99840,144675,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.800000000279397,48.649999999906868,6.399999999906868,16.000000000000000,
20091001,2405817.280000000260770,2485544.350000000093132,2475040.000000000000000,2500000.000000000000000,9866401.630000000819564
20091002,2373038.000000000000000,2484230.199999999720603,2424121.600000000093132,2452257.250000000000000,9733647.049999998882413
20091005,2413665.840000000316650,2479849.699999999720603,2400160.000000000000000,2465278.000000000000000,9758953.539999999105930
20091006,2414127.520000000018626,2516207.849999999627471,2434105.599999999627471,2469618.250000000000000,9834059.219999998807907
20091007,2391043.520000000018626,2503066.350000000093132,2500998.399999999906868,2563657.000000000000000,9958765.269999999552965
20091008,2414589.200000000186265,2491239.000000000000000,2412140.799999999813735,2594038.750000000000000,9912007.750000000000000
20091009,2432594.720000000204891,2483792.149999999906868,2463059.200000000186265,2638888.000000000000000,10018334.070000000298023
20091012,2385041.680000000167638,2482916.049999999813735,2518969.600000000093132,2666376.250000000000000,10053303.580000000074506
20091013,2396122.000000000000000,2499123.899999999906868,2425120.000000000000000,2701098.250000000465661,10021464.150000000372529
20091014,2424284.479999999981374,2518836.149999999906868,2483027.200000000186265,2705438.500000000000000,10131586.330000000074506
20091015,2389658.479999999981374,2549499.649999999906868,2451078.399999999906868,2715565.750000000000000,10105802.279999999329448
20091016,2455678.720000000204891,2574906.549999999813735,2441094.399999999906868,2686630.750000000000000,10158310.419999999925494
20091019,2467682.400000000372529,2596809.049999999813735,2488019.200000000186265,2711225.500000000000000,10263736.150000000372529
20091020,2395660.320000000298023,2581039.250000000000000,2591852.799999999813735,2714119.000000000000000,10282671.370000001043081
20091021,2337488.640000000596046,2555194.299999999813735,2507987.200000000186265,2719906.000000000000000,10120576.140000000596046
20091022,2357802.560000000521541,2606446.149999999906868,2566892.799999999813735,2737267.000000000465661,10268408.510000001639128
20091023,2303324.320000000298023,2603379.799999999813735,2580870.399999999906868,2680843.750000000000000,10168418.269999999552965
20091026,2229455.520000000018626,2593304.649999999906868,2526956.799999999813735,2633101.000000000000000,9982817.969999998807907
20091027,2204524.800000000279397,2585419.750000000000000,2645766.399999999906868,2673610.000000000000000,10109320.950000001117587
20091028,2180055.760000000242144,2568773.850000000093132,2583865.599999999627471,2769095.500000000000000,10101790.710000000894070
20091029,2253462.880000000353903,2590676.350000000093132,2642771.199999999720603,2795137.000000000000000,10282047.429999999701977
20091030,2206833.200000000186265,2567459.699999999720603,2590854.399999999906868,2740160.500000000000000,10105307.800000000745058
20091102,2228532.160000000614673,2591552.449999999720603,2637779.200000000186265,2795137.000000000000000,10253000.810000000521541
20091103,2220683.600000000558794,2595056.850000000093132,2686700.799999999813735,2808157.750000000000000,10310599.000000000000000
20091104,2219298.560000000521541,2641052.100000000093132,2782547.200000000186265,2832752.499999999534339,10475650.359999999403954
20091105,2297784.160000000614673,2693180.049999999813735,2816492.799999999813735,2879048.500000000000000,10686505.510000001639128
20091106,2293629.040000000037253,2703693.250000000000000,2862419.200000000186265,2881942.000000000465661,10741683.490000000223517
20091109,2370729.600000000558794,2743993.850000000093132,2908345.599999999627471,2935471.750000000000000,10958540.800000000745058
20091110,2323176.560000000521541,2728224.049999999813735,2892371.199999999720603,2932578.250000000000000,10876350.060000000521541
20091111,2339797.040000000037253,2752316.799999999813735,2932307.200000000186265,2922451.000000000000000,10946872.039999999105930
20091112,2321329.840000000316650,2723405.500000000000000,2871404.800000000279397,2890622.500000000000000,10806762.640000000596046
20091113,2339797.040000000037253,2785170.549999999813735,2903353.599999999627471,2893516.000000000000000,10921837.189999999478459
20091116,2422899.439999999944121,2826785.299999999813735,2910342.399999999906868,2877601.750000000000000,11037628.890000000596046
20091117,2425207.840000000316650,2784732.500000000000000,2892371.199999999720603,2913770.500000000000000,11016082.039999999105930
20091118,2401662.160000000614673,2802692.549999999813735,2882387.200000000186265,2907983.500000000000000,10994725.410000000149012
20091119,2374423.040000000037253,2777723.699999999720603,2858425.599999999627471,2900749.750000000000000,10911322.089999999850988
20091120,2386888.400000000372529,2802254.500000000000000,2851436.799999999813735,2893516.000000000000000,10934095.699999999254942
20091123,2429824.640000000596046,2803130.600000000093132,2903353.599999999627471,2909430.250000000000000,11045739.089999999850988
20091124,2399353.760000000242144,2813205.750000000000000,2951276.799999999813735,2916664.000000000000000,11080500.309999998658895
20091125,2443675.040000000037253,2823280.899999999906868,2949280.000000000000000,2958619.750000000000000,11174855.689999999478459
20091127,2421514.400000000372529,2786046.649999999906868,2939296.000000000000000,2905089.999999999534339,11051947.050000000745058
20091130,2419667.680000000167638,2770714.899999999906868,2862419.200000000186265,2929684.750000000000000,10982486.530000001192093
20091201,2480147.760000000242144,2783418.350000000093132,2865414.399999999906868,3000575.500000000000000,11129556.009999999776483
20091202,2482917.840000000316650,2737861.149999999906868,2824480.000000000000000,2974534.000000000000000,11019792.990000000223517
20091203,2482456.160000000614673,2714644.500000000000000,2728633.599999999627471,2894962.750000000000000,10820697.009999999776483
20091204,2524469.040000000037253,2697998.600000000093132,2741612.799999999813735,2903643.250000000000000,10867723.690000001341105
20091207,2577100.560000000521541,2712892.299999999813735,2825478.399999999906868,2890622.500000000000000,11006093.759999999776483
20091208,2569713.680000000167638,2655069.699999999720603,2841452.799999999813735,2893516.000000000000000,10959752.179999999701977
20091209,2560941.760000000242144,2654631.649999999906868,2845446.399999999906868,2957173.000000000000000,11018192.810000000521541
20091210,2539704.479999999981374,2674343.899999999906868,3026156.799999999813735,2977427.499999999534339,11217632.679999999701977
20091211,2566943.600000000558794,2701064.949999999720603,3043129.600000000093132,2942705.500000000000000,11253843.650000000372529
20091214,2587719.200000000186265,2722091.350000000093132,3090054.399999999906868,3065679.250000000000000,11465544.200000001117587
20091215,2570175.360000000335276,2715958.649999999906868,3126995.199999999720603,3116315.500000000000000,11529444.709999999031425
20091216,2545244.640000000596046,2734356.750000000000000,3214854.400000000372529,3148144.000000000000000,11642599.790000000968575
20091217,2514773.760000000242144,2712454.250000000000000,3176915.199999999720603,3148144.000000000000000,11552287.209999999031425
20091218,2467220.720000000204891,2723405.500000000000000,3148960.000000000000000,3217588.000000000000000,11557174.220000000670552
20091221,2506925.200000000186265,2744869.949999999720603,3211859.200000000186265,3165505.000000000000000,11629159.350000001490116
20091222,2543859.600000000558794,2758449.500000000000000,3226835.199999999720603,3122102.499999999534339,11651246.800000000745058
