代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12157893.059999998658895
真實報酬,2157893.059999998658895

夏普值報酬,0.207089306000000
夏普值風險,0.053413180996435
夏普值,3.877119881959852

預期報酬,17696.318387516519579
風險,98950.618472552407184
趨勢值,0.178839896714999
找到最佳解世代,1859
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](13),KO[14](7),MCD[15](10),
Stock#,AAPL[0](1),DIS[6](13),KO[14](7),MCD[15](10),
張數,22620,25221,61957,20960,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.600000000093132,94.479999999981374,35.049999999813735,100.800000000279397,
20161201,2476701.399999999906868,2495460.219999999739230,2488847.739999999757856,2483232.000000000465661,9944241.359999999403954
20161202,2485975.600000000093132,2484362.979999999981374,2500619.569999999832362,2478411.200000000186265,9949369.350000001490116
20161205,2468105.800000000279397,2521185.639999999664724,2516728.389999999664724,2500419.200000000186265,10006439.029999999329448
20161206,2487106.600000000093132,2538840.339999999850988,2513630.540000000037253,2499580.800000000279397,10039158.279999999329448
20161207,2511536.200000000186265,2572384.270000000018626,2558239.579999999608845,2513624.000000000465661,10155784.050000000745058
20161208,2536192.000000000000000,2607441.459999999962747,2539032.909999999683350,2524732.800000000279397,10207399.169999999925494
20161209,2577586.600000000093132,2644768.540000000037253,2602229.049999999813735,2541710.400000000372529,10366294.589999999850988
20161212,2562883.600000000093132,2624591.740000000223517,2596033.349999999627471,2551771.200000000186265,10335279.890000000596046
20161213,2605635.399999999906868,2619295.329999999608845,2587359.369999999646097,2571473.600000000558794,10383763.699999999254942
20161214,2605635.399999999906868,2624339.529999999795109,2553283.020000000018626,2574827.200000000186265,10358085.149999998509884
20161215,2619886.000000000000000,2632914.669999999925494,2574348.399999999441206,2564766.400000000372529,10391915.469999998807907
20161216,2623279.000000000000000,2620808.589999999850988,2586120.229999999981374,2583211.200000000186265,10413419.019999999552965
20161219,2638434.399999999906868,2655865.779999999795109,2581783.239999999757856,2577971.200000000186265,10454054.620000001043081
20161220,2645446.600000000093132,2659901.139999999664724,2581163.669999999459833,2585097.600000000093132,10471609.009999999776483
20161221,2647934.800000000279397,2662423.240000000223517,2575587.540000000037253,2581953.600000000558794,10467899.180000001564622
20161222,2630517.400000000372529,2658892.299999999813735,2574348.399999999441206,2593272.000000000465661,10457030.099999999627471
20161223,2635720.000000000000000,2652082.630000000353903,2577446.250000000000000,2581115.200000000186265,10446364.080000001937151
20161227,2652458.800000000279397,2652587.049999999813735,2578065.819999999832362,2579648.000000000000000,10462759.669999999925494
20161228,2641148.800000000279397,2630644.779999999795109,2564435.279999999795109,2571473.600000000558794,10407702.460000000894070
20161229,2640470.200000000186265,2637202.240000000223517,2577446.250000000000000,2573779.200000000186265,10428897.890000000596046
20161230,2619886.000000000000000,2628627.100000000093132,2568772.270000000018626,2551352.000000000465661,10368637.369999999180436
20170103,2627350.600000000093132,2675538.160000000149012,2589837.649999999441206,2507336.000000000465661,10400062.410000000149012
20170104,2624410.000000000000000,2709838.719999999739230,2580544.099999999627471,2504401.600000000558794,10419194.419999999925494
20170105,2637755.800000000279397,2708325.459999999962747,2586739.799999999813735,2509012.800000000279397,10441833.859999999403954
20170106,2667161.799999999813735,2748679.060000000055879,2586120.229999999981374,2531230.400000000372529,10533191.490000000223517
20170109,2691591.399999999906868,2733042.040000000037253,2560098.290000000037253,2524313.600000000558794,10509045.330000000074506
20170110,2694305.800000000279397,2733546.459999999962747,2542750.329999999608845,2520540.800000000279397,10491143.390000000596046
20170111,2708782.600000000093132,2760280.719999999739230,2543369.899999999441206,2533745.600000000093132,10546178.820000000298023
20170112,2697472.600000000093132,2712108.609999999869615,2537174.200000000186265,2559316.800000000279397,10506072.210000000894070
20170113,2692722.400000000372529,2725475.740000000223517,2532837.209999999962747,2546740.800000000279397,10497776.150000000372529
20170117,2714437.600000000093132,2723205.850000000093132,2553902.589999999850988,2572940.800000000279397,10564486.839999999850988
20170118,2714211.399999999906868,2727997.839999999850988,2558239.579999999608845,2572102.400000000372529,10572551.220000000670552
20170119,2709461.200000000186265,2705803.359999999869615,2548946.029999999795109,2560993.600000000558794,10525204.190000001341105
20170120,2714437.600000000093132,2715387.339999999850988,2560098.290000000037253,2562670.400000000372529,10552593.629999998956919
20170123,2716247.200000000186265,2701768.000000000000000,2566913.559999999590218,2544225.600000000093132,10529154.359999999403954
20170124,2713759.000000000000000,2721440.380000000353903,2596033.349999999627471,2537308.800000000279397,10568541.530000001192093
20170125,2756963.200000000186265,2724971.320000000298023,2609663.889999999664724,2552819.200000000186265,10644417.609999999403954
20170126,2758320.399999999906868,2725475.740000000223517,2590457.219999999739230,2554705.600000000093132,10628958.960000000894070
20170127,2758546.600000000093132,2756749.779999999795109,2568152.700000000186265,2575246.400000000372529,10658695.480000000447035
20170130,2751308.200000000186265,2798112.219999999739230,2563815.709999999962747,2578600.000000000000000,10691836.129999998956919
20170131,2744974.600000000093132,2790798.130000000353903,2575587.540000000037253,2569168.000000000000000,10680528.269999999552965
20170201,2912362.600000000093132,2807191.779999999795109,2556380.869999999646097,2566024.000000000465661,10841959.250000000000000
20170202,2907386.200000000186265,2789789.290000000037253,2565054.849999999627471,2582792.000000000465661,10845022.339999999850988
20170203,2919827.200000000186265,2781970.779999999795109,2573728.829999999608845,2604171.200000000186265,10879698.010000001639128
20170206,2947197.399999999906868,2763559.449999999720603,2574967.969999999739230,2608572.800000000279397,10894297.619999999180436
20170207,2975246.200000000186265,2749183.479999999981374,2596033.349999999627471,2611507.200000000186265,10931970.230000000447035
20170208,2986782.399999999906868,2749183.479999999981374,2603468.189999999944121,2613184.000000000465661,10952618.070000000298023
20170209,2995378.000000000000000,2761541.770000000018626,2555761.299999999813735,2609201.600000000558794,10921882.669999999925494
20170210,2988592.000000000000000,2755740.939999999944121,2514250.109999999869615,2637288.000000000000000,10895871.049999998882413
20170213,3015057.399999999906868,2765577.130000000353903,2516728.389999999664724,2631419.200000000186265,10928782.120000001043081
20170214,3054190.000000000465661,2782727.410000000149012,2511152.259999999776483,2637078.400000000372529,10985148.070000000298023
20170215,3065273.799999999813735,2778944.260000000242144,2505576.129999999888241,2651121.600000000558794,11000915.790000000968575
20170216,3061654.600000000093132,2792311.389999999664724,2552663.450000000186265,2655732.800000000279397,11062362.240000002086163
20170217,3070024.000000000000000,2775917.740000000223517,2554522.159999999683350,2678788.800000000279397,11079252.700000001117587
20170221,3092191.599999999627471,2774656.689999999944121,2568772.270000000018626,2683819.200000000186265,11119439.759999997913837
20170222,3101465.800000000279397,2777431.000000000000000,2577446.250000000000000,2679836.800000000279397,11136179.850000001490116
