代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11314377.089999999850988
真實報酬,1314377.089999999850988

夏普值報酬,0.122737709000000
夏普值風險,0.044430736771261
夏普值,2.762450454780459

預期報酬,11717.258847835206325
風險,148961.380897592724068
趨勢值,0.078659708826750
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](2),WMT[28](23),
Stock#,MCD[15](1),PG[21](2),WMT[28](23),
張數,35080,47167,51495,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,31.399999999906868,41.109999999869615,61.649999999906868,
20150901,3278959.000000000000000,3249847.410000000149012,3286472.549999999813735,9815279.960000000894070
20150902,3369114.600000000093132,3292769.379999999888241,3318399.449999999720603,9980284.429999999701977
20150903,3368062.200000000186265,3298429.420000000391155,3340027.350000000093132,10006519.970000000670552
20150904,3327369.399999999906868,3243244.030000000260770,3290077.199999999720603,9860691.629999998956919
20150908,3395073.799999999813735,3300787.770000000018626,3418299.749999999534339,10114162.320000000298023
20150909,3347715.800000000279397,3230037.270000000018626,3353416.050000000279397,9931170.120000001043081
20150910,3341401.399999999906868,3222490.549999999348074,3301921.050000000279397,9865814.000000000000000
20150911,3417174.199999999720603,3227207.250000000000000,3329213.400000000372529,9973595.849999999627471
20150914,3401739.000000000000000,3210227.129999999888241,3310160.250000000000000,9922127.379999998956919
20150915,3444536.599999999627471,3275789.259999999776483,3312220.049999999348074,10032546.909999998286366
20150916,3462076.599999999627471,3306447.809999999590218,3331273.199999999720603,10099798.609999999403954
20150917,3432258.600000000093132,3313051.189999999478459,3319944.299999999813735,10065255.089999999850988
20150918,3404545.399999999906868,3298901.089999999850988,3261754.950000000186265,9965202.440000001341105
20150921,3434363.399999999906868,3332389.660000000149012,3281323.049999999813735,10048077.109999999403954
20150922,3409807.399999999906868,3310692.839999999850988,3274628.700000000186265,9995129.940000001341105
20150923,3416121.799999999813735,3313994.530000000260770,3281323.049999999813735,10011440.379999998956919
20150924,3412964.600000000093132,3365878.229999999981374,3286987.500000000000000,10065831.330000000074506
20150925,3423488.600000000093132,3427667.000000000000000,3284412.750000000000000,10135569.349999999627471
20150928,3366308.199999999720603,3385216.699999999720603,3278233.349999999627471,10029759.250000000000000
20150929,3419629.799999999813735,3409271.870000000111759,3284412.750000000000000,10113315.419999999925494
20150930,3456463.799999999813735,3393235.089999999850988,3338997.450000000186265,10188697.339999999850988
20151001,3465233.799999999813735,3393706.759999999776483,3309645.299999999813735,10168586.859999999403954
20151002,3500664.600000000093132,3415875.250000000000000,3346206.750000000000000,10262747.599999999627471
20151005,3549075.000000000000000,3453608.849999999627471,3392037.300000000279397,10394722.150000000372529
20151006,3574683.399999999906868,3462098.910000000149012,3382253.250000000465661,10419036.560000000521541
20151007,3570123.000000000000000,3477192.349999999627471,3417269.850000000093132,10464586.199999999254942
20151008,3611517.399999999906868,3509265.910000000149012,3444047.249999999534339,10564831.560000000521541
20151009,3604852.200000000186265,3513039.270000000018626,3434263.199999999720603,10552155.669999999925494
20151012,3621690.599999999627471,3505964.219999999739230,3446622.000000000465661,10574277.820000000298023
20151013,3626601.799999999813735,3495587.479999999981374,3436323.000000000000000,10558513.279999999329448
20151014,3606956.999999999534339,3500304.179999999701977,3091306.500000000000000,10198568.679999999701977
20151015,3636424.199999999720603,3503134.199999999720603,3055260.000000000000000,10194819.399999998509884
20151016,3677116.999999999534339,3532849.410000000149012,3032602.199999999720603,10242569.609999999403954
20151019,3665540.599999999627471,3545112.829999999608845,3030542.399999999906868,10241196.830000000074506
20151020,3642738.600000000093132,3510680.920000000391155,3025392.899999999906868,10178813.419999999925494
20151021,3597134.600000000093132,3471060.640000000130385,3019728.449999999720603,10087924.689999999478459
20151022,3889351.000000000000000,3530491.059999999590218,3033117.149999999906868,10452960.209999999031425
20151023,3949688.600000000093132,3633315.120000000111759,3002220.149999999906868,10585224.870000001043081
20151026,3935305.800000000279397,3655011.939999999478459,2987801.550000000279397,10578120.290000000968575
20151027,3916362.600000000093132,3645578.540000000037253,2959994.249999999534339,10521936.390000000596046
20151028,3961966.599999999627471,3608788.280000000260770,2968233.449999999720603,10538989.330000000074506
20151029,3950741.000000000000000,3632843.449999999720603,2984711.850000000093132,10568297.299999998882413
20151030,3937761.399999999906868,3602656.569999999832362,2947635.450000000186265,10488054.419999999925494
20151102,3932850.199999999720603,3613033.309999999590218,2966688.600000000093132,10512573.109999999403954
20151103,3931797.799999999813735,3634258.459999999962747,2992436.100000000093132,10558493.359999999403954
20151104,3943023.399999999906868,3634730.129999999888241,3005824.799999999813735,10583579.329999998211861
20151105,3958809.399999999906868,3603128.239999999757856,3018183.600000000093132,10580122.240000000223517
20151106,3974946.200000000186265,3564451.299999999348074,3026937.750000000000000,10566336.250000000000000
20151109,3961615.800000000279397,3556432.910000000149012,3012004.200000000186265,10530053.910000000149012
20151110,3971789.000000000000000,3573884.699999999720603,3021788.250000000000000,10567462.949999999254942
20151111,3993889.399999999906868,3582846.429999999701977,2965143.750000000000000,10541880.580000000074506
20151112,3932850.199999999720603,3521529.329999999608845,2932701.899999999906868,10387082.429999999701977
20151113,3857779.000000000000000,3488512.429999999701977,2905409.549999999813735,10251701.980000000447035
20151116,3896016.200000000186265,3551716.209999999962747,2980077.299999999813735,10427810.710000000894070
20151117,3891806.599999999627471,3540867.799999999348074,3085642.049999999813735,10518317.449999999254942
20151118,3947583.799999999813735,3580016.410000000149012,3137652.000000000000000,10665253.210000000894070
20151119,3974595.399999999906868,3595109.849999999627471,3125808.149999999906868,10695514.400000000372529
20151120,3995994.199999999720603,3576243.049999999348074,3093366.299999999813735,10665604.549999998882413
20151123,4015639.000000000000000,3583318.099999999627471,3103150.349999999627471,10702108.449999999254942
20151124,4008973.799999999813735,3605958.259999999776483,3085642.049999999813735,10700575.109999999403954
20151125,4013183.399999999906868,3580016.410000000149012,3102120.450000000186265,10695321.260000001639128
20151127,4007219.799999999813735,3570583.009999999776483,3084097.199999999720603,10661901.009999999776483
20151130,4004764.199999999720603,3530019.390000000130385,3030027.450000000186265,10564812.039999999105930
20151201,4014937.399999999906868,3581903.089999999850988,3037751.700000000186265,10634593.190000001341105
20151202,3989329.000000000000000,3574828.040000000037253,3004794.899999999906868,10568952.939999999478459
20151203,3977752.600000000093132,3572469.689999999478459,3040326.449999999720603,10590549.739999998360872
20151204,4076327.399999999906868,3671048.719999999739230,3072253.349999999627471,10819630.469999998807907
20151207,4084045.000000000000000,3696518.899999999906868,3115509.149999999906868,10896074.050000000745058
20151208,4087903.799999999813735,3667275.359999999869615,3069678.600000000093132,10824858.759999999776483
20151209,4089657.799999999813735,3664917.009999999776483,3044961.000000000000000,10799536.809999998658895
20151210,4111407.399999999906868,3669162.040000000037253,3067103.850000000093132,10847674.289999999105930
20151211,4072117.799999999813735,3668690.370000000111759,3056804.850000000093132,10797614.019999999552965
20151214,4078432.200000000186265,3692745.540000000037253,3109844.699999999720603,10881023.439999999478459
20151215,4101935.800000000279397,3758307.670000000391155,3071223.449999999720603,10931467.919999999925494
20151216,4133858.600000000093132,3820096.439999999478459,3105210.149999999906868,11059166.189999999478459
20151217,4121931.399999999906868,3787079.540000000037253,3037236.749999999534339,10946248.689999999478459
20151218,4092464.199999999720603,3685198.819999999832362,3030542.399999999906868,10808206.419999999925494
20151221,4128596.599999999627471,3723875.759999999776483,3066588.899999999906868,10919062.259999999776483
20151222,4129649.000000000000000,3754534.309999999590218,3117568.949999999720603,11001753.259999999776483
20151223,4167535.399999999906868,3769627.750000000000000,3145891.200000000186265,11083055.350000001490116
20151224,4159466.999999999534339,3763496.040000000037253,3132502.500000000000000,11055466.539999999105930
20151228,4165781.399999999906868,3769627.750000000000000,3128382.899999999906868,11063793.050000000745058
20151229,4212087.000000000000000,3790381.229999999981374,3172668.600000000093132,11175137.830000000074506
20151230,4189635.800000000279397,3776702.799999999348074,3176273.250000000000000,11142612.849999999627471
20151231,4144382.600000000093132,3745572.579999999608845,3156705.149999999906868,11046661.330000000074506
20160104,4124737.799999999813735,3696518.899999999906868,3164944.350000000093132,10986202.049999998882413
20160105,4181567.399999999906868,3708310.649999999906868,3240127.049999999813735,11130006.099999999627471
20160106,4153503.399999999906868,3672463.729999999981374,3272568.899999999906868,11098537.029999999329448
20160107,4057384.199999999720603,3640390.170000000391155,3348781.500000000000000,11046556.870000001043081
20160108,4051069.799999999813735,3583318.099999999627471,3272053.949999999720603,10906442.849999999627471
20160111,4093516.599999999627471,3616335.000000000000000,3307070.549999999813735,11016923.149999998509884
20160112,4119826.599999999627471,3608788.280000000260770,3276173.549999999813735,11004789.429999999701977
20160113,4038441.000000000000000,3577658.059999999590218,3188632.049999999813735,10804732.109999999403954
20160114,4091061.000000000000000,3591808.160000000149012,3247336.350000000093132,10930206.509999999776483
20160115,4040545.800000000279397,3536622.770000000018626,3189147.000000000000000,10766316.570000000298023
20160119,4121931.399999999906868,3619165.020000000018626,3221588.850000000093132,10962686.269999999552965
20160120,4061593.799999999813735,3576714.719999999739230,3133017.450000000186265,10771326.969999998807907
20160121,4133858.600000000093132,3618693.349999999627471,3186572.250000000000000,10939125.199999999254942
20160122,4153503.399999999906868,3648880.229999999981374,3228283.199999999720603,11030667.830000000074506
20160125,4181567.399999999906868,3624825.059999999590218,3267419.399999999906868,11073812.859999999403954
20160126,4224715.800000000745058,3717272.379999999888241,3295741.649999999906868,11237730.830000000074506
20160127,4240151.000000000000000,3716800.709999999962747,3293166.899999999906868,11250119.609999999403954
20160128,4293121.799999998882413,3764911.049999999348074,3307070.549999999813735,11365104.399999998509884
20160129,4342233.800000000745058,3853113.339999999850988,3417269.850000000093132,11612617.990000000223517
20160201,4371350.199999999254942,3826228.149999999906868,3475974.149999999906868,11673553.500000000000000
20160202,4348197.400000000372529,3783777.849999999627471,3443017.350000000093132,11574993.599999999627471
20160203,4261199.000000000000000,3825284.809999999590218,3412635.299999999813735,11499120.109999999403954
20160204,4232784.199999999254942,3806418.009999999776483,3420359.549999999813735,11459562.759999997913837
20160205,4048263.399999999906868,3830001.509999999776483,3450226.649999999906868,11328492.560000000521541
20160208,4071065.399999999906868,3896978.649999999906868,3445077.150000000372529,11413122.199999999254942
20160209,4104742.200000000186265,3897921.989999999757856,3388947.600000000093132,11391612.789999999105930
20160210,4123334.600000000093132,3849811.649999999906868,3387917.700000000186265,11361064.949999999254942
20160211,4094919.799999999813735,3768684.410000000149012,3363715.049999999348074,11227320.259999999776483
20160212,4137015.800000000279397,3820096.439999999478459,3408000.750000000465661,11365113.990000000223517
