代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13563082.699999999254942
真實報酬,3563082.699999999254942

夏普值報酬,0.347608270000000
夏普值風險,0.070939162696080
夏普值,4.900089834570468

預期報酬,29112.633012795271497
風險,336522.176799180393573
趨勢值,0.086510295665204
找到最佳解世代,2169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),PG[21](5),
Stock#,AAPL[0](1),PG[21](5),
張數,28560,48586,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.799999999813735,14.740000000223517,
20190603,4949448.799999999813735,5043241.540000000037253,9992690.339999999850988
20190604,5130519.199999999254942,5085997.220000000670552,10216516.419999999925494
20190605,5213343.199999999254942,5185598.520000000484288,10398941.719999998807907
20190606,5289884.000000000000000,5217179.419999999925494,10507063.419999999925494
20190607,5430684.799999999813735,5284713.959999999962747,10715398.759999999776483
20190610,5500085.600000000558794,5282284.660000000149012,10782370.260000001639128
20190611,5563774.399999999441206,5314351.419999999925494,10878125.820000000298023
20190612,5546067.200000000186265,5328927.220000000670552,10874994.420000001788139
20190613,5544924.799999999813735,5388688.000000000000000,10933612.800000000745058
20190614,5504655.200000000186265,5402777.940000000409782,10907433.140000000596046
20190617,5537499.199999999254942,5392574.879999999888241,10930074.079999998211861
20190618,5667732.799999999813735,5325040.339999999850988,10992773.140000000596046
20190619,5651168.000000000000000,5364880.860000000335276,11016048.859999999403954
20190620,5696578.400000000372529,5429014.379999999888241,11125592.780000001192093
20190621,5677157.599999999627471,5402777.940000000409782,11079935.539999999105930
20190624,5671445.600000000558794,5457680.120000000111759,11129125.720000000670552
20190625,5585480.000000000000000,5428042.660000000149012,11013522.660000000149012
20190626,5706288.799999999813735,5331356.520000000484288,11037645.320000000298023
20190627,5704575.200000000186265,5333785.820000000298023,11038361.019999999552965
20190628,5652595.999999999068677,5327469.640000000596046,10980065.640000000596046
20190701,5756268.799999999813735,5368281.879999999888241,11124550.679999999701977
20190702,5789969.599999999627471,5416382.020000000484288,11206351.620000001043081
