Q2M
1
rank 1,1,MSFT[18](1) ,二次平均趨勢值,0.193152166705275,二次平均預期報酬,36023.069213522176142,風險,186500.984317140042549
rank 2,1,V[25](2) ,二次平均趨勢值,0.171642431584752,二次平均預期報酬,40424.123997529401095,風險,235513.582651438890025
rank 3,1,UTX[24](3) ,二次平均趨勢值,0.125177296808263,二次平均預期報酬,25653.503670488160424,風險,204937.351457447686698
rank 4,1,DIS[6](4) ,二次平均趨勢值,0.120805270027813,二次平均預期報酬,30393.269586792877817,風險,251588.937964341661427
rank 5,1,AXP[1](5) ,二次平均趨勢值,0.116381458104441,二次平均預期報酬,41320.852295114913431,風險,355046.697026544832624
rank 6,1,UNH[23](6) ,二次平均趨勢值,0.116259082402851,二次平均預期報酬,45608.432477656067931,風險,392299.952270548616070
rank 7,1,MMM[16](7) ,二次平均趨勢值,0.114479584583425,二次平均預期報酬,22209.294385389701347,風險,194002.227263544133166
rank 8,1,JNJ[12](8) ,二次平均趨勢值,0.111652838919465,二次平均預期報酬,15936.302252649544243,風險,142730.828941522806417
rank 9,1,MRK[17](9) ,二次平均趨勢值,0.111115607090054,二次平均預期報酬,36313.970796118308499,風險,326812.513085470593069
rank 10,1,VZ[26](10) ,二次平均趨勢值,0.106054945305258,二次平均預期報酬,25103.104652528661973,風險,236699.048594804742606
rank 11,1,PFE[20](11) ,二次平均趨勢值,0.094774517417294,二次平均預期報酬,20902.454218980874430,風險,220549.307858219486661
rank 12,1,HD[9](12) ,二次平均趨勢值,0.083740808365759,二次平均預期報酬,20160.671026846346649,風險,240750.852783623064170
rank 13,1,WMT[28](13) ,二次平均趨勢值,0.083493406397938,二次平均預期報酬,16548.391674425460224,風險,198199.982350152160507
rank 14,1,CVX[5](14) ,二次平均趨勢值,0.081732125905967,二次平均預期報酬,14308.053339535599662,風險,175060.334977670019725
rank 15,1,KO[14](15) ,二次平均趨勢值,0.081525184879709,二次平均預期報酬,15405.609491027091281,風險,188967.489172312518349
rank 16,1,IBM[10](16) ,二次平均趨勢值,0.078166548603774,二次平均預期報酬,16295.152590039913775,風險,208467.085743288305821
rank 17,1,PG[21](17) ,二次平均趨勢值,0.077883896887389,二次平均預期報酬,14629.168423873683423,風險,187833.031069640564965
rank 18,1,MCD[15](18) ,二次平均趨勢值,0.076690533577867,二次平均預期報酬,16214.959304337760841,風險,211433.648298641142901
rank 19,1,CAT[3](19) ,二次平均趨勢值,0.067902280349039,二次平均預期報酬,19686.916647691316030,風險,289930.125269641401246
rank 20,1,BA[2](20) ,二次平均趨勢值,0.053365814186853,二次平均預期報酬,15378.807797935420240,風險,288177.141720139421523
rank 21,1,AAPL[0](21) ,二次平均趨勢值,0.044090295055150,二次平均預期報酬,15424.339331647977815,風險,349835.248604131804314
rank 22,1,DD[7](22) ,二次平均趨勢值,0.043100317954065,二次平均預期報酬,21177.269613463489804,風險,491348.338451549760066
rank 23,1,NKE[19](23) ,二次平均趨勢值,0.032102304748631,二次平均預期報酬,5336.546509387808328,風險,166235.619254577817628
rank 24,1,INTC[11](24) ,二次平均趨勢值,0.026615936097657,二次平均預期報酬,8638.277888540455024,風險,324552.848971598723438
rank 25,1,CSCO[4](25) ,二次平均趨勢值,0.020956792671345,二次平均預期報酬,3726.981801548824023,風險,177841.230764518200886
rank 26,1,TRV[22](26) ,二次平均趨勢值,0.001247870830655,二次平均預期報酬,320.819962382750873,風險,257093.887044563773088
rank 27,1,XOM[29](27) ,二次平均趨勢值,-320900496.173648953437805,二次平均預期報酬,-1495.480390869084204,風險,214580.209899750450859
rank 28,1,WBA[27](28) ,二次平均趨勢值,-1227978876.406227827072144,二次平均預期報酬,-7065.931725174357780,風險,173788.669940187741304
rank 29,1,JPM[13](29) ,二次平均趨勢值,-3239653795.197091579437256,二次平均預期報酬,-7776.178057088441165,風險,416612.604728611826431
rank 30,1,GS[8](30) ,二次平均趨勢值,-5068415569.794010162353516,二次平均預期報酬,-17318.990479100248194,風險,292650.750972485286184
2
rank 1,1,BA[2](1) ,二次平均趨勢值,0.139559027785200,二次平均預期報酬,43170.751128166513809,風險,309336.857767539680935
rank 2,1,MRK[17](2) ,二次平均趨勢值,0.133876255226423,二次平均預期報酬,36737.446887265643454,風險,274413.463575987610966
rank 3,1,JNJ[12](3) ,二次平均趨勢值,0.130741956979366,二次平均預期報酬,9822.503183577220625,風險,75128.928849729709327
rank 4,1,UNH[23](4) ,二次平均趨勢值,0.118144608714608,二次平均預期報酬,44645.992572888171708,風險,377892.762595167034306
rank 5,1,MMM[16](5) ,二次平均趨勢值,0.108683193325257,二次平均預期報酬,19065.982150529613136,風險,175427.143490996822948
rank 6,1,HD[9](6) ,二次平均趨勢值,0.100632082490828,二次平均預期報酬,15624.645943861145497,風險,155265.056203971413197
rank 7,1,PFE[20](7) ,二次平均趨勢值,0.091512788051598,二次平均預期報酬,18915.386699618124112,風險,206696.649750774929998
rank 8,1,UTX[24](8) ,二次平均趨勢值,0.073167101496787,二次平均預期報酬,15356.623461534378293,風險,209884.266936672793236
rank 9,1,DIS[6](9) ,二次平均趨勢值,0.067653655101179,二次平均預期報酬,11505.186929870445965,風險,170060.093762324104318
rank 10,1,V[25](10) ,二次平均趨勢值,0.060295550947472,二次平均預期報酬,15433.365480077727625,風險,255961.928161545220064
rank 11,1,INTC[11](11) ,二次平均趨勢值,0.053140277589109,二次平均預期報酬,12861.013991220859680,風險,242020.075443805253599
rank 12,1,DD[7](12) ,二次平均趨勢值,0.051044007356114,二次平均預期報酬,30599.427686944338348,風險,599471.500610525603406
