代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13073030.810500000000
真實報酬,3073030.810499999700

夏普值報酬,0.298603081050
夏普值風險,0.081490586001
夏普值,3.664264741546

預期報酬,26271.267456579641
風險,160323.025991380420
起點值,0.163864593337
找到最佳解世代,4001
找到最佳解實驗#,3
找到最佳解次數,18

投資組合檔數,4
2325(18),2330(19),2382(22),2474(26),
Stock#,2325(18),2330(19),2382(22),2474(26),
張數,87,27,45,14,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,16966.712500000001,5971.066000000000,6601.963750000000,19169.847500000466,
FS( 1 ),2496466.712499999900,2496451.066000000100,2496451.963750000100,2496469.847500000100,9985839.589749999300
FS( 2 ),2523605.535999999800,2438120.968000000300,2452729.738750000000,2460419.305000000600,9874875.547749999900
FS( 3 ),2475101.121999999500,2438120.968000000300,2532475.296250000100,2404109.583000000600,9849806.969250001000
FS( 4 ),2499353.328999999900,2426024.731749999800,2514106.937500000000,2454147.182500000100,9893632.180750001200
FS( 5 ),2530534.737999999900,2473603.261000000400,2532475.296250000100,2454147.182500000100,9990760.477749999600
FS( 6 ),2533999.338999999700,2402369.869750000100,2532475.296250000100,2516729.027000000700,9985573.532000001500
FS( 7 ),2575574.551000000000,2426024.731749999800,2536059.366250000000,2560633.884500000600,10098292.533500001000
FS( 8 ),2613685.162000000000,2449948.399000000200,2608188.774999999900,2573038.749000000300,10244861.085000001000
FS( 9 ),2589432.954999999600,2461775.830000000100,2701822.603750000200,2516729.027000000700,10269760.415750001000
FS( 10 ),2617149.762999999800,2497258.123000000100,2813824.791250000200,2579310.871500000400,10507543.548750000000
FS( 11 ),2648331.171999999800,2544836.652249999800,2752447.592500000300,2560633.884500000600,10506249.301250000000
FS( 12 ),2613685.162000000000,2556664.083250000100,2777536.082500000000,2560633.884500000600,10508519.212250000000
FS( 13 ),2648331.171999999800,2556664.083250000100,2864449.780000000300,2616943.606500000200,10686388.641750000000
FS( 14 ),2637937.369000000400,2533009.221249999900,2781120.152500000300,2610671.484000000600,10562738.226750001000
FS( 15 ),2634472.768000000200,2556664.083250000100,2803072.581249999800,2654436.961000000600,10648646.393500000000
FS( 16 ),2613685.162000000000,2556664.083250000100,2806656.651250000100,2604399.361500000600,10581405.258000001000
FS( 17 ),2613685.162000000000,2568491.514250000000,2784704.222500000100,2585582.994000000400,10552463.892750001000
FS( 18 ),2582503.753000000000,2497258.123000000100,2712574.813750000200,2548089.639500000500,10340426.329250000000
FS( 19 ),2468171.919999999900,2390542.438749999700,2691070.393749999800,2535545.394500000400,10085330.147000000000
FS( 20 ),2565180.747999999700,2426024.731749999800,2683902.253750000100,2623215.729000001200,10298323.462500002000
FS( 21 ),2530534.737999999900,2473603.261000000400,2705406.673750000100,2773328.527500000300,10482873.200250000000
