代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11363374.510249998000
真實報酬,1363374.510249998400

夏普值報酬,0.127637451025
夏普值風險,0.037785280607
夏普值,3.377967530591

預期報酬,11339.278682175289
風險,131275.341982416490
起點值,0.086377826261
找到最佳解世代,4145
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,5
1102(1),2105(10),2382(25),3045(43),4904(46),
Stock#,1102(1),2105(10),2382(25),3045(43),4904(46),
張數,85,50,43,28,47,
FS( 46 ),2112736.583750000200,2227765.037500000100,2195335.508750000000,1880830.396999999600,2082856.511499999800,10499524.038499998000
FS( 47 ),2100889.241250000000,2209346.899999999900,2210747.009750000200,1860202.082999999900,2065543.462249999900,10446728.696249999000
FS( 48 ),2094965.570000000100,2193915.487499999800,2185917.369250000500,1839852.530000000000,2040743.688999999800,10355394.645750001000
FS( 49 ),2094965.570000000100,2196902.212499999900,2195335.508750000000,1850166.687000000200,2033724.885250000100,10371094.863499999000
FS( 50 ),2089041.898749999900,2175497.350000000100,2217168.468500000000,1858250.755999999800,2006117.590499999900,10346076.063750001000
FS( 51 ),2100889.241250000000,2184457.524999999900,2198332.189500000300,1866334.825000000200,2072562.266000000300,10422576.046750000000
FS( 52 ),2169434.579999999600,2193915.487499999800,2259978.193500000100,1874697.655000000000,2121225.972000000100,10619251.888000000000
FS( 53 ),2175358.251250000200,2224778.312500000000,2247991.470500000300,1874697.655000000000,2065543.462249999900,10588369.151500000000
FS( 54 ),2122045.210000000000,2196902.212499999900,2189342.147249999900,1876648.982000000100,2086131.953249999800,10471070.504999999000
FS( 55 ),2145739.895000000000,2212333.625000000000,2247991.470500000300,1888914.465999999800,2065543.462249999900,10560522.918749999000
FS( 56 ),2157587.237499999800,2187942.037500000100,2256981.512750000200,1909264.018999999900,2082856.511499999800,10594631.318249999000
FS( 57 ),2143201.178750000000,2178484.075000000200,2272393.013750000900,1890865.793000000100,2047762.492749999700,10532706.553250002000
FS( 58 ),2139816.223749999900,2178484.075000000200,2426508.023750000200,1898949.862000000200,2117950.530249999800,10761708.714749999000
FS( 59 ),2175358.251250000200,2123229.662500000100,2423511.343000000300,1923480.830000000100,2121225.972000000100,10766806.058750000000
FS( 60 ),2175358.251250000200,2067975.250000000000,2377276.839999999900,1925432.157000000100,2121225.972000000100,10667268.470249999000
FS( 61 ),2143201.178750000000,2073948.700000000000,2364862.019750000000,1880830.396999999600,2093150.757000000000,10555993.052499998000
FS( 62 ),2143201.178750000000,2104811.524999999900,2358868.658250000300,1872467.567000000000,2058524.658500000400,10537873.587500000000
FS( 63 ),2133892.552500000200,2092366.837499999900,2294225.973500000300,1895047.207999999900,2047762.492749999700,10463295.064250002000
FS( 64 ),2155048.521250000200,2089380.112500000000,2364862.019750000000,1874697.655000000000,2100169.560750000200,10584157.869250000000
FS( 65 ),2155048.521250000200,2089380.112500000000,2343457.157250000200,1870516.240000000000,2187670.647500000000,10646072.678500000000
FS( 66 ),2143201.178750000000,2092366.837499999900,2337463.795750000000,1870516.240000000000,2170357.598250000300,10613905.650249999000
FS( 67 ),2175358.251250000200,2135674.350000000100,2337463.795750000000,1870516.240000000000,2173633.040000000000,10692645.677000001000
