代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12573456.445000000000
真實報酬,2573456.445000000300

夏普值報酬,0.248645644500
夏普值風險,0.065369342317
夏普值,3.803704239445

預期報酬,19076.025350435135
風險,136668.687222015350
起點值,0.139578609689
找到最佳解世代,3665
找到最佳解實驗#,1
找到最佳解次數,10

投資組合檔數,5
1101(0),2317(16),2454(27),2801(30),2882(33),
Stock#,1101(0),2317(16),2454(27),2801(30),2882(33),
張數,69,45,7,171,66,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,3749.390750000000,6363.109999999767,8746.501500000000,10148.496500000234,17178.500000000000,
FS( 1 ),1997159.390750000000,1997163.110000000100,1997166.501500000000,1997168.496499999900,1997178.500000000000,9985835.998749999300
FS( 2 ),1912774.409000000000,1966849.399999999400,1968296.950999999900,1988375.932999999700,1976589.569000000100,9812886.262000000100
FS( 3 ),1937504.492000000100,1964161.347500000100,1933869.967500000000,1976458.900250000400,1918109.493499999900,9730104.200750000800
FS( 4 ),1950556.480250000000,1948033.032500000200,1902300.284249999800,1983268.633250000000,1947678.071000000000,9731836.501250000700
FS( 5 ),1956052.054250000000,2001794.082500000000,1991225.043250000100,2000292.965750000200,1966733.376500000000,9916097.522250000400
FS( 6 ),1942313.119249999800,1969537.452499999900,2011295.835250000200,2019019.731500000500,1956877.184000000100,9899043.322499999800
FS( 7 ),1950556.480250000000,1999106.029999999800,2037150.918000000100,2030936.764249999800,2035069.644500000200,10052819.836999999000
FS( 8 ),1985590.764500000000,2036290.756249999900,2025652.026750000200,2047961.096750000300,2042297.519000000100,10137792.163250001000
FS( 9 ),1998642.752750000000,2092739.858749999900,2017010.435749999900,2083712.194999999800,2098149.276500000600,10290254.518750001000
FS( 10 ),2033677.037000000000,2092739.858749999900,2074435.201750000200,2083712.194999999800,2124432.456500000300,10408996.749000002000
FS( 11 ),2041920.398000000000,2105732.112499999800,2062936.310499999900,2078604.895250000100,2107348.389500000000,10396542.105750000000
FS( 12 ),2047415.972000000100,2103492.068750000100,2065863.301000000200,2066687.862499999800,2127060.774499999800,10410519.978750000000
FS( 13 ),2054972.386250000200,2076611.543749999500,2009971.720500000100,2083712.194999999800,2173056.339500000200,10398324.185000001000
FS( 14 ),2060467.960250000200,2092739.858749999900,1957007.130500000000,2083712.194999999800,2173056.339500000200,10366983.484000001000
FS( 15 ),2074206.895249999800,2076611.543749999500,1906969.530999999700,2071795.162250000300,2135602.808000000200,10265185.940249998000
FS( 16 ),2084511.096499999800,2081987.648749999900,1954080.140000000100,2078604.895250000100,2198025.360500000000,10397209.141000001000
FS( 17 ),2100997.818500000100,2090051.806249999400,2030600.034500000300,2090521.928000000100,2185540.850000000100,10497712.437249999000
FS( 18 ),2068711.321249999800,2119172.375000000000,2048231.667749999800,2083712.194999999800,2163200.146999999900,10483027.706000000000
FS( 19 ),2079702.469249999800,2124548.480000000000,2098269.267250000000,2083712.194999999800,2128374.933500000300,10514607.344999999000
FS( 20 ),2076954.682250000100,2116484.322499999800,2115900.900499999500,2071795.162250000300,2131003.251500000200,10512138.319000000000
FS( 21 ),2054285.439500000100,2108420.164999999600,2133602.223999999500,2047961.096750000300,2148087.318500000100,10492356.243749999000
FS( 22 ),2099623.924999999800,2111108.217500000300,2101196.257749999900,2059878.129499999800,2192768.724499999500,10564575.254249999000
FS( 23 ),2071459.108250000000,2087363.753749999900,2127678.552749999800,2059878.129499999800,2178312.975500000200,10524692.519749999000
FS( 24 ),2091380.563999999800,2055107.123749999800,2139456.205000000100,2066687.862499999800,2135602.808000000200,10488234.563250000000
FS( 25 ),2102371.712000000300,2063171.281249999500,2145310.185999999800,2083712.194999999800,2185540.850000000100,10580106.224250000000
FS( 26 ),2088632.777000000000,2119172.375000000000,2118827.890999999800,2083712.194999999800,2188169.168000000100,10598514.405999999000
FS( 27 ),2057033.226499999900,2095427.911249999900,2074713.962749999900,2047961.096750000300,2138231.126000000200,10413367.323249999000
FS( 28 ),2085884.989999999800,2068547.386249999700,2068859.981750000000,2000292.965750000200,2098806.356000000100,10322391.679750001000
FS( 29 ),2091380.563999999800,2065859.333750000000,2092345.596000000100,2012209.998500000200,2098806.356000000100,10360601.848250000000
FS( 30 ),2065963.534250000000,2047042.966249999800,2074713.962749999900,1995185.666000000200,2061352.824499999600,10244258.953749999000
FS( 31 ),2167631.653250000000,2079299.596249999900,2083564.624499999900,2007102.698750000400,2086321.845499999800,10423920.418250000000
FS( 32 ),2198544.256999999300,2121860.427499999800,2163011.509499999700,2019019.731500000500,2083693.527499999600,10586129.453000000000
FS( 33 ),2181370.588249999600,2121860.427499999800,2145310.185999999800,2019019.731500000500,2093549.720000000000,10561110.653250000000
FS( 34 ),2186866.162250000100,2105732.112499999800,2127678.552749999800,2007102.698750000400,2071209.017000000200,10498588.543250002000
FS( 35 ),2201292.043999999800,2121860.427499999800,2127678.552749999800,2019019.731500000500,2079093.970999999900,10548944.726750001000
FS( 36 ),2193048.682999999700,2129924.585000000000,2215976.099499999500,2012209.998500000200,2063981.142500000100,10615140.508499999000
FS( 37 ),2164883.866250000000,2148740.952499999700,2186566.813999999800,2007102.698750000400,2061352.824499999600,10568647.155999999000
FS( 38 ),2204039.830999999800,2164869.267500000100,2174789.161750000000,2049663.530000000000,2024556.372500000100,10617918.162750000000
FS( 39 ),2189613.949249999600,2159493.162500000100,2168865.490499999800,2088819.494750000300,2037040.882999999900,10643832.979999999000
