代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 54 ),2623579.999999999500,2906640.000000000000,2457770.000000000000,2760010.000000000000,10748000.000000000000
FS( 55 ),2604339.999999999500,2875360.000000000000,2480320.000000000500,2771080.000000000000,10731100.000000000000
FS( 56 ),2615439.999999999500,2937920.000000000000,2473760.000000000500,2694940.000000000500,10722060.000000000000
FS( 57 ),2596199.999999999500,2952640.000000000000,2467200.000000000500,2760010.000000000000,10776050.000000000000
FS( 58 ),2623579.999999999500,2921360.000000000000,2486880.000000000500,2706010.000000000000,10737830.000000000000
FS( 59 ),2670199.999999999500,2868000.000000000000,2490160.000000000500,2771080.000000000000,10799440.000000000000
FS( 60 ),2664649.999999999500,2930560.000000000000,2490160.000000000500,2760010.000000000000,10845380.000000000000
FS( 61 ),2714229.999999999500,2945279.999999999500,2493440.000000000900,2684140.000000000000,10837090.000000000000
FS( 62 ),2683889.999999999500,3013360.000000000000,2493440.000000000900,2684140.000000000000,10874830.000000000000
FS( 63 ),2659469.999999999100,3068560.000000000500,2493440.000000000900,2814279.999999999500,11035750.000000000000
FS( 64 ),2656509.999999999100,3068560.000000000500,2490160.000000000500,2814279.999999999500,11029510.000000000000
FS( 65 ),2650959.999999999500,3068560.000000000500,2451210.000000000900,2738410.000000000000,10909140.000000000000
FS( 66 ),2631719.999999999100,3052000.000000000500,2490160.000000000500,2738410.000000000000,10912290.000000000000
FS( 67 ),2692399.999999999500,3052000.000000000500,2493440.000000000900,2760010.000000000000,10997850.000000000000
FS( 68 ),2650959.999999999500,3037279.999999999500,2461050.000000000500,2694940.000000000500,10844230.000000000000
FS( 69 ),2667609.999999999500,3059360.000000000000,2490160.000000000500,2673340.000000000000,10890470.000000000000
FS( 70 ),2719779.999999999500,3075920.000000000000,2496720.000000000500,2857750.000000000000,11150170.000000000000
FS( 71 ),2739019.999999999500,3090640.000000000000,2490160.000000000500,2836150.000000000000,11155970.000000000000
FS( 72 ),2788229.999999999500,3075920.000000000000,2493440.000000000900,2781880.000000000000,11139470.000000000000
