代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13143420.000000000000
真實報酬,3143420.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11268.482400983965
風險,274603.102833165730
起點值,0.041035524671
找到最佳解世代,1371
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1326(5)[6],2912(39)[1],8046(47)[25],9999(49)[23],
Stock#,1326(5)[6],2912(39)[1],8046(47)[25],9999(49)[23],
張數,52,41,25,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,38319.999999999534,28110.000000000000,30250.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2524959.999999999500,2509840.000000000000,2650750.000000000000,2500000.000000000000,10185550.000000000000
FS( 3 ),2692919.999999999500,2513119.999999999500,2721000.000000000000,2500000.000000000000,10427040.000000000000
FS( 4 ),2671599.999999999500,2522550.000000000000,2670750.000000000000,2500000.000000000000,10364900.000000000000
FS( 5 ),2610759.999999999500,2532389.999999999500,2761250.000000000000,2500000.000000000000,10404400.000000000000
FS( 6 ),2646639.999999999100,2535670.000000000000,2861500.000000000000,2500000.000000000000,10543810.000000000000
FS( 7 ),2610759.999999999500,2503280.000000000000,2931750.000000000000,2500000.000000000000,10545790.000000000000
FS( 8 ),2564479.999999999500,2500000.000000000000,2861500.000000000000,2500000.000000000000,10425980.000000000000
FS( 9 ),2560839.999999999500,2513119.999999999500,2911750.000000000000,2500000.000000000000,10485710.000000000000
FS( 10 ),2574879.999999999500,2493440.000000000000,2821500.000000000000,2500000.000000000000,10389820.000000000000
FS( 11 ),2549919.999999999500,2500000.000000000000,2821500.000000000000,2500000.000000000000,10371420.000000000000
FS( 12 ),2539000.000000000000,2486880.000000000000,2761250.000000000000,2500000.000000000000,10287130.000000000000
FS( 13 ),2539000.000000000000,2480320.000000000000,2711000.000000000000,2500000.000000000000,10230320.000000000000
FS( 14 ),2549919.999999999500,2470889.999999999500,2821500.000000000000,2500000.000000000000,10342310.000000000000
FS( 15 ),2542639.999999999100,2461050.000000000000,2691000.000000000000,2500000.000000000000,10194690.000000000000
FS( 16 ),2524959.999999999500,2454490.000000000000,2640750.000000000000,2500000.000000000000,10120200.000000000000
FS( 17 ),2489079.999999999500,2379460.000000000000,2520250.000000000000,2500000.000000000000,9888790.000000000000
FS( 18 ),2521319.999999999500,2402420.000000000000,2691000.000000000000,2500000.000000000000,10114740.000000000000
FS( 19 ),2500000.000000000000,2402420.000000000000,2680750.000000000000,2500000.000000000000,10083170.000000000000
FS( 20 ),2514039.999999999500,2418820.000000000000,2751000.000000000000,2500000.000000000000,10183860.000000000000
FS( 21 ),2467759.999999999500,2441369.999999999500,2580500.000000000000,2500000.000000000000,9989630.000000000000
FS( 22 ),2450079.999999999500,2467610.000000000000,2530250.000000000000,2500000.000000000000,9947940.000000000000
FS( 23 ),2446439.999999999500,2467610.000000000000,2550250.000000000000,2500000.000000000000,9964300.000000000000
FS( 24 ),2500000.000000000000,2457770.000000000000,2560250.000000000000,2500000.000000000000,10018020.000000000000
FS( 25 ),2467759.999999999500,2389300.000000000000,2500000.000000000000,2500000.000000000000,9857060.000000000000
FS( 26 ),2471399.999999999500,2405700.000000000000,2470000.000000000000,2500000.000000000000,9847100.000000000000
FS( 27 ),2435520.000000000000,2386020.000000000000,2480000.000000000000,2500000.000000000000,9801540.000000000000
FS( 28 ),2456839.999999999500,2386020.000000000000,2510250.000000000000,2500000.000000000000,9853110.000000000000
FS( 29 ),2467759.999999999500,2386020.000000000000,2500000.000000000000,2500000.000000000000,9853780.000000000000
FS( 30 ),2532239.999999999500,2490159.999999999500,2530250.000000000000,2500000.000000000000,10052650.000000000000
FS( 31 ),2610759.999999999500,2470889.999999999500,2560250.000000000000,2500000.000000000000,10141900.000000000000
