代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14389960.000000000000
真實報酬,4389960.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15790.954598850109
風險,323542.753796432520
起點值,0.048806392397
找到最佳解世代,1567
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,4
1326(5)[3],2912(40)[8],4904(44)[7],8046(47)[13],
Stock#,1326(5)[3],2912(40)[8],4904(44)[7],8046(47)[13],
張數,59,42,102,30,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,10790.000000000000,27880.000000000000,18340.000000000000,54100.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2487609.999999999500,2543260.000000000000,2500000.000000000000,2422899.999999999500,9953770.000000000000
FS( 3 ),2556640.000000000000,2553340.000000000000,2520400.000000000000,2415399.999999999500,10045780.000000000000
FS( 4 ),2532450.000000000500,2560060.000000000000,2527540.000000000500,2427700.000000000500,10047750.000000000000
FS( 5 ),2589090.000000000000,2563420.000000000000,2530599.999999999500,2415399.999999999500,10098510.000000000000
FS( 6 ),2625670.000000000000,2589880.000000000000,2533660.000000000000,2475700.000000000000,10224910.000000000000
FS( 7 ),2661660.000000000000,2576860.000000000000,2533660.000000000000,2439700.000000000000,10211880.000000000000
FS( 8 ),2686440.000000000000,2576860.000000000000,2523460.000000000000,2454100.000000000000,10240860.000000000000
FS( 9 ),2747210.000000000000,2580220.000000000000,2530599.999999999500,2458899.999999999500,10316930.000000000000
FS( 10 ),2722430.000000000000,2576860.000000000000,2530599.999999999500,2475700.000000000000,10305590.000000000000
FS( 11 ),2840430.000000000000,2586520.000000000000,2537740.000000000000,2536000.000000000000,10500690.000000000000
FS( 12 ),2799720.000000000500,2593240.000000000000,2547940.000000000000,2620300.000000000500,10561200.000000000000
FS( 13 ),2767270.000000000000,2583160.000000000000,2537740.000000000000,2608300.000000000000,10496470.000000000000
FS( 14 ),2730690.000000000000,2576860.000000000000,2540800.000000000000,2632300.000000000000,10480650.000000000000
FS( 15 ),2714760.000000000000,2576860.000000000000,2540800.000000000000,2608300.000000000000,10440720.000000000000
FS( 16 ),2706500.000000000000,2580220.000000000000,2543860.000000000000,2584300.000000000500,10414880.000000000000
FS( 17 ),2767270.000000000000,2589880.000000000000,2543860.000000000000,2608300.000000000000,10509310.000000000000
FS( 18 ),2791460.000000000000,2599960.000000000000,2551000.000000000000,2620300.000000000500,10562720.000000000000
FS( 19 ),2767270.000000000000,2599960.000000000000,2547940.000000000000,2776900.000000000000,10692070.000000000000
FS( 20 ),2674050.000000000000,2549980.000000000000,2527540.000000000500,2776900.000000000000,10528470.000000000000
FS( 21 ),2702370.000000000000,2543260.000000000000,2527540.000000000500,2813200.000000000000,10586370.000000000000
FS( 22 ),2767270.000000000000,2573500.000000000000,2554060.000000000000,2801200.000000000000,10696030.000000000000
FS( 23 ),2759010.000000000000,2599960.000000000000,2547940.000000000000,2861200.000000000000,10768110.000000000000
FS( 24 ),2751340.000000000000,2583160.000000000000,2558139.999999999500,2849200.000000000000,10741840.000000000000
FS( 25 ),2759010.000000000000,2560060.000000000000,2547940.000000000000,2752899.999999999500,10619910.000000000000
FS( 26 ),2787330.000000000000,2560060.000000000000,2554060.000000000000,2764900.000000000000,10666350.000000000000
FS( 27 ),2759010.000000000000,2553340.000000000000,2558139.999999999500,2704600.000000000000,10575090.000000000000
FS( 28 ),2751340.000000000000,2543260.000000000000,2568340.000000000000,2885499.999999999500,10748440.000000000000
FS( 29 ),2722430.000000000000,2523520.000000000000,2568340.000000000000,2969800.000000000000,10784090.000000000000
FS( 30 ),2767270.000000000000,2523520.000000000000,2574460.000000000000,3005800.000000000000,10871050.000000000000
FS( 31 ),2767270.000000000000,2533600.000000000000,2578540.000000000500,2993800.000000000000,10873210.000000000000
FS( 32 ),2787330.000000000000,2526880.000000000000,2578540.000000000500,2969800.000000000000,10862550.000000000000
FS( 33 ),2759010.000000000000,2506720.000000000000,2578540.000000000500,2945499.999999999500,10789770.000000000000
FS( 34 ),2791460.000000000000,2506720.000000000000,2564260.000000000000,2897500.000000000000,10759940.000000000000
FS( 35 ),2767270.000000000000,2493280.000000000000,2578540.000000000500,2849200.000000000000,10688290.000000000000
FS( 36 ),2795590.000000000000,2510080.000000000500,2578540.000000000500,2945499.999999999500,10829710.000000000000
FS( 37 ),2816240.000000000000,2536540.000000000000,2578540.000000000500,3017800.000000000500,10949120.000000000000
FS( 38 ),2807979.999999999500,2539900.000000000000,2568340.000000000000,3017800.000000000500,10934020.000000000000
FS( 39 ),2840430.000000000000,2543260.000000000000,2584660.000000000000,2981800.000000000500,10950150.000000000000
FS( 40 ),2840430.000000000000,2546620.000000000000,2602000.000000000000,2969800.000000000000,10958850.000000000000
FS( 41 ),2840430.000000000000,2553340.000000000000,2608120.000000000000,2993800.000000000000,10995690.000000000000
FS( 42 ),2832170.000000000000,2549980.000000000000,2588740.000000000000,2993800.000000000000,10964690.000000000000
FS( 43 ),2816240.000000000000,2549980.000000000000,2588740.000000000000,3017800.000000000500,10972760.000000000000
FS( 44 ),2823910.000000000000,2563420.000000000000,2605060.000000000000,3005800.000000000000,10998190.000000000000
FS( 45 ),2803850.000000000500,2560060.000000000000,2602000.000000000000,3017800.000000000500,10983710.000000000000
FS( 46 ),2832170.000000000000,2570140.000000000000,2594860.000000000000,3198700.000000000000,11195870.000000000000
FS( 47 ),3022740.000000000000,2573500.000000000000,2594860.000000000000,3282999.999999999500,11474100.000000000000
FS( 48 ),2998550.000000000000,2583160.000000000000,2543860.000000000000,3222700.000000000500,11348270.000000000000
FS( 49 ),2929520.000000000000,2593240.000000000000,2561200.000000000000,3331300.000000000000,11415260.000000000000
FS( 50 ),2970229.999999999500,2596600.000000000000,2612200.000000000000,3451600.000000000000,11630630.000000000000
FS( 51 ),2929520.000000000000,2563420.000000000000,2598940.000000000000,3535900.000000000000,11627780.000000000000
FS( 52 ),2877010.000000000000,2560060.000000000000,2571400.000000000000,3451600.000000000000,11460070.000000000000
FS( 53 ),2872879.999999999500,2573500.000000000000,2571400.000000000000,3511900.000000000000,11529680.000000000000
FS( 54 ),2888810.000000000000,2553340.000000000000,2594860.000000000000,3403600.000000000000,11440610.000000000000
FS( 55 ),2860490.000000000000,2560060.000000000000,2594860.000000000000,3403600.000000000000,11419010.000000000000
FS( 56 ),2848100.000000000500,2546620.000000000000,2588740.000000000000,3331300.000000000000,11314760.000000000000
FS( 57 ),2848100.000000000500,2539900.000000000000,2588740.000000000000,3271000.000000000000,11247740.000000000000
FS( 58 ),2860490.000000000000,2530240.000000000000,2578540.000000000500,3403600.000000000000,11372870.000000000000
FS( 59 ),2852229.999999999500,2520160.000000000000,2605060.000000000000,3247000.000000000000,11224450.000000000000
FS( 60 ),2832170.000000000000,2513440.000000000000,2594860.000000000000,3186700.000000000000,11127170.000000000000
FS( 61 ),2791460.000000000000,2436580.000000000500,2581599.999999999500,3042100.000000000000,10851740.000000000000
FS( 62 ),2828040.000000000000,2460100.000000000000,2622400.000000000000,3247000.000000000000,11157540.000000000000
FS( 63 ),2803850.000000000500,2460100.000000000000,2618320.000000000000,3234700.000000000000,11116970.000000000000
FS( 64 ),2819780.000000000000,2476900.000000000000,2648920.000000000000,3319000.000000000000,11264600.000000000000
FS( 65 ),2767270.000000000000,2500000.000000000000,2612200.000000000000,3114400.000000000000,10993870.000000000000
FS( 66 ),2747210.000000000000,2526880.000000000000,2622400.000000000000,3054100.000000000000,10950590.000000000000
FS( 67 ),2743080.000000000000,2526880.000000000000,2663200.000000000000,3078100.000000000000,11011260.000000000000
FS( 68 ),2803850.000000000500,2516800.000000000000,2618320.000000000000,3090100.000000000000,11029070.000000000000
FS( 69 ),2767270.000000000000,2446660.000000000000,2540800.000000000000,3017800.000000000500,10772530.000000000000
FS( 70 ),2771400.000000000000,2463460.000000000000,2594860.000000000000,2981800.000000000500,10811520.000000000000
FS( 71 ),2730690.000000000000,2443300.000000000000,2547940.000000000000,2993800.000000000000,10715730.000000000000
FS( 72 ),2754879.999999999500,2443300.000000000000,2551000.000000000000,3030100.000000000000,10779280.000000000000
FS( 73 ),2767270.000000000000,2443300.000000000000,2554060.000000000000,3017800.000000000500,10782430.000000000000
FS( 74 ),2840430.000000000000,2549980.000000000000,2564260.000000000000,3054100.000000000000,11008770.000000000000
FS( 75 ),2929520.000000000000,2530240.000000000000,2568340.000000000000,3090100.000000000000,11118200.000000000000
FS( 76 ),2880550.000000000000,2553340.000000000000,2568340.000000000000,3102400.000000000000,11104630.000000000000
FS( 77 ),2913000.000000000000,2546620.000000000000,2568340.000000000000,3017800.000000000500,11045760.000000000000
FS( 78 ),2949580.000000000000,2539900.000000000000,2608120.000000000000,3090100.000000000000,11187700.000000000000
FS( 79 ),2957840.000000000000,2560060.000000000000,2605060.000000000000,3030100.000000000000,11153060.000000000000
FS( 80 ),2945450.000000000500,2563420.000000000000,2581599.999999999500,3102400.000000000000,11192870.000000000000
FS( 81 ),2957840.000000000000,2563420.000000000000,2574460.000000000000,3090100.000000000000,11185820.000000000000
FS( 82 ),2986160.000000000000,2566780.000000000000,2581599.999999999500,3005800.000000000000,11140340.000000000000
FS( 83 ),3010350.000000000500,2566780.000000000000,2605060.000000000000,3005800.000000000000,11187990.000000000000
FS( 84 ),3042800.000000000000,2566780.000000000000,2584660.000000000000,3150399.999999999500,11344640.000000000000
FS( 85 ),3042800.000000000000,2563420.000000000000,2588740.000000000000,3150399.999999999500,11345360.000000000000
FS( 86 ),3022740.000000000000,2523520.000000000000,2591800.000000000000,3066100.000000000000,11204160.000000000000
FS( 87 ),3018609.999999999500,2563420.000000000000,2581599.999999999500,3066100.000000000000,11229730.000000000000
FS( 88 ),3014479.999999999500,2566780.000000000000,2588740.000000000000,3090100.000000000000,11260100.000000000000
FS( 89 ),2977900.000000000000,2533600.000000000000,2588740.000000000000,3017800.000000000500,11118040.000000000000
FS( 90 ),2977900.000000000000,2563420.000000000000,2605060.000000000000,2993800.000000000000,11140180.000000000000
FS( 91 ),3031000.000000000000,2570140.000000000000,2612200.000000000000,3198700.000000000000,11412040.000000000000
FS( 92 ),3067580.000000000000,2563420.000000000000,2591800.000000000000,3174700.000000000000,11397500.000000000000
FS( 93 ),3059320.000000000000,2566780.000000000000,2615260.000000000000,3114400.000000000000,11355760.000000000000
FS( 94 ),3006220.000000000500,2580220.000000000000,2591800.000000000000,3066100.000000000000,11244340.000000000000
FS( 95 ),2994420.000000000000,2576860.000000000000,2591800.000000000000,3054100.000000000000,11217180.000000000000
FS( 96 ),3018609.999999999500,2603320.000000000000,2605060.000000000000,3078100.000000000000,11305090.000000000000
FS( 97 ),3002680.000000000000,2596600.000000000000,2594860.000000000000,3054100.000000000000,11248240.000000000000
FS( 98 ),3014479.999999999500,2616760.000000000000,2594860.000000000000,3042100.000000000000,11268200.000000000000
FS( 99 ),3026870.000000000000,2649940.000000000000,2594860.000000000000,3078100.000000000000,11349770.000000000000
FS( 100 ),3051060.000000000000,2666740.000000000000,2598940.000000000000,3090100.000000000000,11406840.000000000000
FS( 101 ),3022740.000000000000,2666740.000000000000,2594860.000000000000,3090100.000000000000,11374440.000000000000
FS( 102 ),3046930.000000000000,2673460.000000000000,2615260.000000000000,3126399.999999999500,11462050.000000000000
FS( 103 ),3038670.000000000000,2660020.000000000000,2598940.000000000000,3162400.000000000000,11460030.000000000000
FS( 104 ),3063450.000000000500,2666740.000000000000,2608120.000000000000,3234700.000000000000,11573010.000000000000
FS( 105 ),3091770.000000000000,2680179.999999999500,2615260.000000000000,3198700.000000000000,11585910.000000000000
FS( 106 ),3079379.999999999500,2646580.000000000500,2615260.000000000000,3138400.000000000000,11479620.000000000000
