代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12995890.000000000000
真實報酬,2995890.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12271.124372186770
風險,227608.560543425640
起點值,0.053913281394
找到最佳解世代,1510
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
1216(2)[5],2325(16)[1],2412(24)[4],6505(47)[2],
Stock#,1216(2)[5],2325(16)[1],2412(24)[4],6505(47)[2],
張數,51,78,28,37,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,17830.000000000000,17260.000000000000,1840.000000000000,13970.000000000466,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2527030.000000000500,2475820.000000000000,2528280.000000000000,2556980.000000000500,10088110.000000000000
FS( 3 ),2567320.000000000500,2402500.000000000000,2538360.000000000000,2570670.000000000500,10078850.000000000000
FS( 4 ),2549980.000000000000,2367400.000000000000,2520440.000000000000,2533670.000000000500,9971490.000000000000
FS( 5 ),2535700.000000000000,2343220.000000000000,2505040.000000000500,2486680.000000000500,9870640.000000000000
FS( 6 ),2664730.000000000000,2409520.000000000000,2510360.000000000000,2446350.000000000000,10030960.000000000000
FS( 7 ),2592820.000000000500,2440720.000000000000,2522960.000000000500,2352370.000000000500,9908870.000000000000
FS( 8 ),2659629.999999999500,2447740.000000000000,2530800.000000000000,2419340.000000000900,10057510.000000000000
FS( 9 ),2679010.000000000000,2500000.000000000000,2515400.000000000000,2429700.000000000500,10124110.000000000000
FS( 10 ),2731540.000000000000,2528079.999999999500,2492440.000000000000,2436360.000000000500,10188420.000000000000
FS( 11 ),2740720.000000000000,2478940.000000000000,2489920.000000000000,2412680.000000000500,10122260.000000000000
FS( 12 ),2841190.000000000000,2388460.000000000000,2515400.000000000000,2355700.000000000500,10100750.000000000000
FS( 13 ),2802940.000000000000,2325280.000000000000,2515400.000000000000,2352370.000000000500,9995990.000000000000
FS( 14 ),2812120.000000000000,2374420.000000000000,2502520.000000000500,2396030.000000000500,10085090.000000000000
FS( 15 ),2731540.000000000000,2353360.000000000000,2492440.000000000000,2392700.000000000500,9970040.000000000000
FS( 16 ),2650450.000000000000,2587360.000000000500,2431120.000000000000,2198080.000000000500,9867010.000000000000
FS( 17 ),2655040.000000000000,2813560.000000000000,2436159.999999999500,2231750.000000000000,10136510.000000000000
FS( 18 ),2707570.000000000500,2666920.000000000000,2431120.000000000000,2261720.000000000500,10067330.000000000000
FS( 19 ),2707570.000000000500,2792500.000000000000,2456600.000000000000,2241740.000000000500,10198410.000000000000
FS( 20 ),2702470.000000000000,2772220.000000000000,2456600.000000000000,2386040.000000000500,10317330.000000000000
FS( 21 ),2783560.000000000000,2806539.999999999500,2525480.000000000000,2459670.000000000500,10575250.000000000000
FS( 22 ),2669320.000000000500,2768320.000000000500,2489920.000000000000,2446350.000000000000,10373910.000000000000
FS( 23 ),2712160.000000000000,2779239.999999999500,2479560.000000000000,2402690.000000000900,10373650.000000000000
FS( 24 ),2760100.000000000000,2858800.000000000000,2487400.000000000000,2426370.000000000500,10532670.000000000000
FS( 25 ),2693290.000000000000,2841640.000000000000,2492440.000000000000,2473360.000000000500,10500730.000000000000
FS( 26 ),2616790.000000000000,2876739.999999999500,2492440.000000000000,2436360.000000000500,10422330.000000000000
FS( 27 ),2616790.000000000000,2925100.000000000000,2466960.000000000500,2439690.000000000900,10448540.000000000000
FS( 28 ),2702470.000000000000,2974239.999999999500,2492440.000000000000,2513320.000000000500,10682470.000000000000
FS( 29 ),2745820.000000000500,2995300.000000000000,2492440.000000000000,2530340.000000000900,10763900.000000000000
FS( 30 ),2760100.000000000000,2998420.000000000000,2505040.000000000500,2503330.000000000500,10766890.000000000000
FS( 31 ),2716750.000000000000,2943039.999999999500,2505040.000000000500,2496670.000000000500,10661500.000000000000
FS( 32 ),2707570.000000000500,2953180.000000000000,2515400.000000000000,2523680.000000000500,10699830.000000000000
FS( 33 ),2712160.000000000000,2984380.000000000000,2515400.000000000000,2530340.000000000900,10742280.000000000000
FS( 34 ),2764690.000000000000,2957079.999999999500,2517920.000000000000,2597310.000000000000,10837000.000000000000
FS( 35 ),2726440.000000000000,3026500.000000000000,2517920.000000000000,2537000.000000000000,10807860.000000000000
FS( 36 ),2693290.000000000000,2907940.000000000500,2492440.000000000000,2530340.000000000900,10624010.000000000000
FS( 37 ),2740720.000000000000,2890780.000000000500,2512880.000000000000,2610630.000000000900,10755010.000000000000
