代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12882720.000000000000
真實報酬,2882720.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11326.989034395028
風險,165700.391786764520
起點值,0.068358251373
找到最佳解世代,1813
找到最佳解實驗#,49
找到最佳解次數,1

投資組合檔數,5
2002(7)[28],2311(15)[14],2354(20)[5],2881(30)[10],3045(42)[4],
Stock#,2002(7)[28],2311(15)[14],2354(20)[5],2881(30)[10],3045(42)[4],
張數,90,79,35,57,27,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,8300.000000000233,13150.000000000000,31250.000000000000,3290.000000000000,46009.999999999767,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1983800.000000000200,1970770.000000000200,2002800.000000000000,1983470.000000000000,1991359.999999999800,9932200.000000000000
FS( 3 ),1980200.000000000200,1996840.000000000000,2011550.000000000000,1990310.000000000000,1997840.000000000000,9976740.000000000000
FS( 4 ),1995500.000000000000,2016590.000000000000,2095900.000000000000,2002280.000000000000,2004319.999999999800,10114590.000000000000
FS( 5 ),2010800.000000000200,2155630.000000000000,2110250.000000000000,2016530.000000000000,2013229.999999999800,10306440.000000000000
FS( 6 ),1988300.000000000200,2099540.000000000000,2119000.000000000000,1978910.000000000000,2019709.999999999500,10205460.000000000000
FS( 7 ),2010800.000000000200,2119290.000000000000,2072450.000000000000,1978910.000000000000,2032939.999999999800,10214390.000000000000
FS( 8 ),1995500.000000000000,2119290.000000000000,2093100.000000000000,1978910.000000000000,2028350.000000000000,10215150.000000000000
FS( 9 ),2003600.000000000500,2149310.000000000000,2130900.000000000000,1978910.000000000000,2032939.999999999800,10295660.000000000000
FS( 10 ),1976600.000000000500,2162740.000000000000,2130900.000000000000,1971500.000000000000,2028350.000000000000,10270090.000000000000
FS( 11 ),1968500.000000000200,2135880.000000000000,2122150.000000000000,1988030.000000000000,2043739.999999999500,10258300.000000000000
FS( 12 ),2000000.000000000000,2119290.000000000000,2119000.000000000000,1993160.000000000000,2080729.999999999800,10312180.000000000000
FS( 13 ),1980200.000000000200,2119290.000000000000,2101500.000000000000,1971500.000000000000,2098280.000000000000,10270770.000000000000
FS( 14 ),1995500.000000000000,2082949.999999999800,2069650.000000000000,1931030.000000000000,2080729.999999999800,10159860.000000000000
FS( 15 ),1964900.000000000200,2046609.999999999800,2087150.000000000000,1933310.000000000000,2048060.000000000000,10080030.000000000000
FS( 16 ),1988300.000000000200,2056880.000000000000,2093100.000000000000,1933310.000000000000,2072090.000000000000,10143680.000000000000
FS( 17 ),1995500.000000000000,2112969.999999999500,2095900.000000000000,1954970.000000000000,2074250.000000000000,10233590.000000000000
