代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11989402.220799999000
真實報酬,1989402.220799999300

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,9433.071934968857
風險,166350.352690412520
起點值,0.056706053113
找到最佳解世代,1480
找到最佳解實驗#,1
找到最佳解次數,16

投資組合檔數,9
2330(19)[4],2354(20)[5],2412(24)[7],2884(33)[6],2891(38)[12],3008(41)[13],3045(42)[2],4938(46)[1],9999(50)[28],
Stock#,2330(19)[4],2354(20)[5],2412(24)[7],2884(33)[6],2891(38)[12],3008(41)[13],3045(42)[2],4938(46)[1],9999(50)[28],
張數,10,18,13,85,73,0,14,23,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,28111.000000000000,4471.000000000233,73970.999999999884,9510.999999999767,14651.000000000000,1111111.000000000000,4831.000000000000,16311.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1142711.000000000000,1112551.000000000200,1105521.000000000000,1102610.999999999800,1119141.000000000000,1111111.000000000000,1114751.000000000000,1133421.000000000000,1111111.000000000000,10052930.000000000000
FS( 3 ),1106611.000000000000,1087171.000000000200,1100971.000000000000,1080510.999999999800,1087751.000000000000,1111111.000000000000,1097951.000000000000,1086731.000000000000,1111111.000000000000,9869920.000000000000
FS( 4 ),1115611.000000000000,1081231.000000000200,1100971.000000000000,1089010.999999999800,1095781.000000000000,1111111.000000000000,1099071.000000000000,1077301.000000000000,1111111.000000000000,9881200.000000000000
FS( 5 ),1124711.000000000000,1087171.000000000200,1108901.000000000000,1100060.999999999800,1124251.000000000000,1111111.000000000000,1120770.999999999800,1066261.000000000000,1111111.000000000000,9954350.000000000000
FS( 6 ),1115611.000000000000,1081231.000000000200,1105521.000000000000,1089010.999999999800,1111111.000000000000,1111111.000000000000,1123151.000000000000,1077301.000000000000,1111111.000000000000,9925160.000000000000
FS( 7 ),1115611.000000000000,1078171.000000000200,1108901.000000000000,1094110.999999999800,1132281.000000000000,1111111.000000000000,1131551.000000000000,1099841.000000000000,1111111.000000000000,9982690.000000000000
FS( 8 ),1124711.000000000000,1087171.000000000200,1108901.000000000000,1097510.999999999800,1127171.000000000000,1111111.000000000000,1124270.999999999800,1127901.000000000000,1111111.000000000000,10019860.000000000000
FS( 9 ),1133711.000000000000,1127671.000000000200,1113321.000000000000,1111111.000000000000,1143231.000000000200,1111111.000000000000,1126791.000000000000,1138941.000000000000,1111111.000000000000,10117000.000000000000
