代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12503700.000000000000
真實報酬,2503700.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10444.835442712352
風險,194272.155155168000
起點值,0.053763934592
找到最佳解世代,1745
找到最佳解實驗#,12
找到最佳解次數,5

投資組合檔數,4
2002(8)[32],2317(16)[1],2357(23)[5],3045(42)[37],
Stock#,2002(8)[32],2317(16)[1],2357(23)[5],3045(42)[37],
張數,112,50,13,31,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,12480.000000000000,12000.000000000000,113980.000000000000,70840.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2476480.000000000000,2486500.000000000000,2525350.000000000000,2467139.999999999500,9955470.000000000000
FS( 3 ),2461920.000000000000,2473000.000000000000,2489860.000000000000,2452259.999999999500,9877040.000000000000
FS( 4 ),2480960.000000000000,2500000.000000000000,2489860.000000000000,2514880.000000000000,9985700.000000000000
FS( 5 ),2485440.000000000000,2503500.000000000000,2428890.000000000000,2517360.000000000000,9935190.000000000000
FS( 6 ),2470880.000000000000,2483000.000000000000,2398470.000000000000,2524800.000000000000,9877150.000000000000
FS( 7 ),2456320.000000000000,2516500.000000000000,2408610.000000000000,2502480.000000000000,9883910.000000000000
FS( 8 ),2470880.000000000000,2503500.000000000000,2418750.000000000000,2502480.000000000000,9895610.000000000000
FS( 9 ),2432799.999999999500,2500000.000000000000,2378190.000000000000,2477369.999999999500,9788360.000000000000
FS( 10 ),2418240.000000000000,2533500.000000000000,2398470.000000000000,2502480.000000000000,9852690.000000000000
FS( 11 ),2432799.999999999500,2530000.000000000000,2428890.000000000000,2479849.999999999500,9871540.000000000000
FS( 12 ),2432799.999999999500,2540000.000000000000,2494930.000000000500,2479849.999999999500,9947580.000000000000
FS( 13 ),2456320.000000000000,2547000.000000000000,2520279.999999999500,2487290.000000000500,10010890.000000000000
FS( 14 ),2437279.999999999500,2547000.000000000000,2525350.000000000000,2517360.000000000000,10026990.000000000000
FS( 15 ),2422720.000000000000,2520000.000000000000,2520279.999999999500,2489770.000000000000,9952770.000000000000
FS( 16 ),2432799.999999999500,2506500.000000000000,2586320.000000000000,2482330.000000000500,10007950.000000000000
FS( 17 ),2441760.000000000000,2523500.000000000000,2606600.000000000000,2477369.999999999500,10049230.000000000000
FS( 18 ),2466400.000000000000,2537000.000000000000,2606600.000000000000,2457220.000000000000,10067220.000000000000
FS( 19 ),2441760.000000000000,2533500.000000000000,2647160.000000000500,2477369.999999999500,10099790.000000000000
FS( 20 ),2451840.000000000000,2550000.000000000000,2687850.000000000000,2479849.999999999500,10169540.000000000000
FS( 21 ),2476480.000000000000,2620500.000000000000,2758830.000000000000,2500000.000000000000,10355810.000000000000
FS( 22 ),2480960.000000000000,2627000.000000000000,2743620.000000000000,2502480.000000000000,10354060.000000000000
FS( 23 ),2461920.000000000000,2623500.000000000000,2860490.000000000000,2457220.000000000000,10403130.000000000000
FS( 24 ),2476480.000000000000,2654000.000000000000,2794450.000000000000,2474889.999999999500,10399820.000000000000
FS( 25 ),2470880.000000000000,2633500.000000000000,2799520.000000000000,2464660.000000000000,10368560.000000000000
FS( 26 ),2447359.999999999500,2637000.000000000000,2814730.000000000000,2452259.999999999500,10351350.000000000000
FS( 27 ),2470880.000000000000,2674000.000000000000,2819799.999999999500,2472410.000000000000,10437090.000000000000
FS( 28 ),2480960.000000000000,2684000.000000000000,2809660.000000000500,2464660.000000000000,10439280.000000000000
