代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12032373.324800000000
真實報酬,2032373.324799999600

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,9035.125557763662
風險,83723.600493087404
起點值,0.107916113313
找到最佳解世代,1321
找到最佳解實驗#,1
找到最佳解次數,34

投資組合檔數,15
1102(1)[39],2227(11)[19],2408(23)[15],2801(28)[25],2882(31)[16],2884(33)[9],2886(35)[8],2891(38)[3],2892(39)[1],2912(40)[24],3008(41)[5],3045(42)[29],3481(43)[13],5880(46)[2],9999(49)[41],
Stock#,1102(1)[39],2227(11)[19],2408(23)[15],2801(28)[25],2882(31)[16],2884(33)[9],2886(35)[8],2891(38)[3],2892(39)[1],2912(40)[24],3008(41)[5],3045(42)[29],3481(43)[13],5880(46)[2],9999(49)[41],
張數,25,3,16,44,17,41,32,40,44,2,0,6,60,51,-1,
分配資金,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,
剩餘資金,1666.000000000000,111936.000000000000,33706.000000000000,3586.000000000000,776.000000000000,10666.000000000000,15146.000000000000,15866.000000000000,505.999999999884,209226.000000000000,666666.000000000000,45066.000000000116,7865.999999999884,12336.000000000000,666666.000000000000,
FS( 1 ),666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,10000000.000000000000
FS( 2 ),659416.000000000000,659766.000000000000,652746.000000000000,664466.000000000000,657656.000000000000,662976.000000000120,665066.000000000000,665066.000000000000,666666.000000000000,667646.000000000000,666666.000000000000,666666.000000000000,669665.999999999880,666666.000000000000,666666.000000000000,9957810.000000000000
FS( 3 ),654416.000000000000,655596.000000000000,655786.000000000000,662706.000000000000,650346.000000000000,660926.000000000000,680106.000000000000,659065.999999999880,664905.999999999880,668606.000000000000,666666.000000000000,666666.000000000000,660666.000000000000,664116.000000000000,666666.000000000000,9937250.000000000000
FS( 4 ),654416.000000000000,652836.000000000120,654986.000000000000,664466.000000000000,660206.000000000000,657235.999999999880,677226.000000000000,659065.999999999880,668865.999999999880,667646.000000000000,666666.000000000000,660966.000000000230,672665.999999999880,659525.999999999880,666666.000000000000,9943450.000000000000
FS( 5 ),656916.000000000000,657005.999999999880,655786.000000000000,668866.000000000000,665136.000000000000,660926.000000000000,678826.000000000000,659065.999999999880,668865.999999999880,665706.000000000000,666666.000000000000,669486.000000000120,675666.000000000000,662076.000000000000,666666.000000000000,9977670.000000000000
FS( 6 ),662916.000000000000,659766.000000000000,658186.000000000000,670626.000000000000,665816.000000000000,666666.000000000000,696746.000000000000,666666.000000000000,675025.999999999880,671526.000000000000,666666.000000000000,672366.000000000120,678665.999999999880,669216.000000000000,666666.000000000000,10047530.000000000000
FS( 7 ),648416.000000000000,648696.000000000000,630986.000000000000,664466.000000000000,638956.000000000000,653546.000000000000,680106.000000000000,651466.000000000000,664905.999999999880,676366.000000000000,666666.000000000000,663786.000000000120,645666.000000000000,657486.000000000000,666666.000000000000,9858190.000000000000
FS( 8 ),661666.000000000000,654216.000000000000,658986.000000000000,668866.000000000000,677375.999999999880,660926.000000000000,707306.000000000000,665066.000000000000,672825.999999999770,686066.000000000000,666666.000000000000,663786.000000000120,666666.000000000000,662076.000000000000,666666.000000000000,10039170.000000000000
FS( 9 ),647166.000000000000,650076.000000000000,644106.000000000000,662706.000000000000,714776.000000000000,657235.999999999880,707306.000000000000,655466.000000000000,664905.999999999880,674426.000000000000,666666.000000000000,646686.000000000120,660666.000000000000,657486.000000000000,666666.000000000000,9976350.000000000000
FS( 10 ),645916.000000000000,648696.000000000000,643466.000000000000,662706.000000000000,750816.000000000000,662976.000000000120,718186.000000000000,659065.999999999880,666666.000000000000,664746.000000000000,666666.000000000000,646686.000000000120,648665.999999999880,654936.000000000000,666666.000000000000,10006870.000000000000
FS( 11 ),644916.000000000000,651456.000000000000,636426.000000000000,664466.000000000000,733646.000000000000,671995.999999999880,718186.000000000000,666666.000000000000,664905.999999999880,673466.000000000000,666666.000000000000,638166.000000000000,651666.000000000000,657486.000000000000,666666.000000000000,10006790.000000000000
FS( 12 ),643666.000000000000,651456.000000000000,638666.000000000000,666666.000000000000,742656.000000000000,679375.999999999880,712106.000000000000,665066.000000000000,666666.000000000000,674426.000000000000,666666.000000000000,643866.000000000120,651666.000000000000,657486.000000000000,666666.000000000000,10027110.000000000000
FS( 13 ),631416.000000000000,655596.000000000000,640266.000000000000,668866.000000000000,732796.000000000000,679375.999999999880,710506.000000000000,674266.000000000120,672825.999999999770,677326.000000000000,666666.000000000000,649566.000000000120,660666.000000000000,659525.999999999880,666666.000000000000,10046340.000000000000
FS( 14 ),631416.000000000000,655596.000000000000,653546.000000000000,662706.000000000000,735176.000000000120,677326.000000000120,701546.000000000000,666666.000000000000,668865.999999999880,668606.000000000000,666666.000000000000,649566.000000000120,660666.000000000000,659525.999999999880,666666.000000000000,10024550.000000000000
FS( 15 ),638666.000000000000,654216.000000000000,657386.000000000000,666666.000000000000,745886.000000000000,679375.999999999880,713386.000000000000,668666.000000000000,671066.000000000000,665706.000000000000,666666.000000000000,649566.000000000120,672665.999999999880,664116.000000000000,666666.000000000000,10080710.000000000000
FS( 16 ),647166.000000000000,658386.000000000000,662826.000000000000,670626.000000000000,742656.000000000000,681016.000000000000,718186.000000000000,670666.000000000120,676785.999999999880,677326.000000000000,666666.000000000000,649566.000000000120,663665.999999999880,659525.999999999880,666666.000000000000,10111740.000000000000
FS( 17 ),649666.000000000000,657005.999999999880,679946.000000000000,676786.000000000000,752346.000000000000,681016.000000000000,706026.000000000000,672666.000000000120,678985.999999999880,682186.000000000000,666666.000000000000,658086.000000000120,663665.999999999880,664116.000000000000,666666.000000000000,10155840.000000000000
FS( 18 ),652166.000000000000,657005.999999999880,733546.000000000000,676786.000000000000,760506.000000000000,679375.999999999880,716586.000000000000,676266.000000000120,681186.000000000000,676366.000000000000,666666.000000000000,655266.000000000120,657665.999999999880,664116.000000000000,666666.000000000000,10220180.000000000000
FS( 19 ),638666.000000000000,658386.000000000000,707946.000000000000,678986.000000000000,791616.000000000000,679375.999999999880,712106.000000000000,676266.000000000120,681186.000000000000,679266.000000000000,666666.000000000000,658086.000000000120,651666.000000000000,666666.000000000000,666666.000000000000,10213560.000000000000
FS( 20 ),658166.000000000000,658386.000000000000,725866.000000000000,689106.000000000000,791616.000000000000,688396.000000000000,716586.000000000000,681866.000000000000,682945.999999999770,674426.000000000000,666666.000000000000,660966.000000000230,651666.000000000000,676356.000000000000,666666.000000000000,10289690.000000000000
FS( 21 ),654416.000000000000,659766.000000000000,725866.000000000000,685146.000000000120,772745.999999999880,681016.000000000000,710506.000000000000,672666.000000000120,678985.999999999880,674426.000000000000,666666.000000000000,658086.000000000120,660666.000000000000,671256.000000000000,666666.000000000000,10238890.000000000000
FS( 22 ),679916.000000000000,665285.999999999880,725866.000000000000,701425.999999999880,766286.000000000000,688396.000000000000,702826.000000000000,681866.000000000000,682945.999999999770,673466.000000000000,666666.000000000000,658086.000000000120,663665.999999999880,676356.000000000000,666666.000000000000,10299730.000000000000
FS( 23 ),677416.000000000000,662526.000000000000,737546.000000000000,695266.000000000120,789066.000000000000,684706.000000000120,707306.000000000000,683866.000000000000,682945.999999999770,676366.000000000000,666666.000000000000,646686.000000000120,660666.000000000000,673806.000000000000,666666.000000000000,10311510.000000000000
FS( 24 ),675166.000000000000,657005.999999999880,729706.000000000000,691306.000000000000,784136.000000000000,681016.000000000000,712106.000000000000,685866.000000000000,687345.999999999770,671526.000000000000,666666.000000000000,646686.000000000120,651666.000000000000,673806.000000000000,666666.000000000000,10280680.000000000000
