代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11905700.000000000000
真實報酬,1905700.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,7619.412864330909
風險,206137.911142482190
起點值,0.036962695615
找到最佳解世代,2373
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,1
2412(24)[1],
Stock#,2412(24)[1],
張數,118,
分配資金,10000000.000000000000,
剩餘資金,64400.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),9979940.000000000000,9979940.000000000000
FS( 3 ),9949259.999999998100,9949259.999999998100
FS( 4 ),9866659.999999998100,9866659.999999998100
FS( 5 ),9887900.000000000000,9887900.000000000000
FS( 6 ),10061360.000000000000,10061360.000000000000
FS( 7 ),9990560.000000000000,9990560.000000000000
FS( 8 ),9990560.000000000000,9990560.000000000000
FS( 9 ),10041300.000000000000,10041300.000000000000
FS( 10 ),9990560.000000000000,9990560.000000000000
FS( 11 ),9949259.999999998100,9949259.999999998100
FS( 12 ),9887900.000000000000,9887900.000000000000
FS( 13 ),9857220.000000000000,9857220.000000000000
FS( 14 ),9877280.000000000000,9877280.000000000000
FS( 15 ),9959880.000000000000,9959880.000000000000
FS( 16 ),9990560.000000000000,9990560.000000000000
FS( 17 ),10010620.000000002000,10010620.000000002000
FS( 18 ),10041300.000000000000,10041300.000000000000
FS( 19 ),10041300.000000000000,10041300.000000000000
FS( 20 ),10041300.000000000000,10041300.000000000000
FS( 21 ),10133340.000000000000,10133340.000000000000
FS( 22 ),10092040.000000002000,10092040.000000002000
FS( 23 ),10102659.999999998000,10102659.999999998000
FS( 24 ),10122720.000000000000,10122720.000000000000
FS( 25 ),10122720.000000000000,10122720.000000000000
FS( 26 ),10164020.000000000000,10164020.000000000000
FS( 27 ),10092040.000000002000,10092040.000000002000
FS( 28 ),10061360.000000000000,10061360.000000000000
FS( 29 ),10113280.000000000000,10113280.000000000000
FS( 30 ),10113280.000000000000,10113280.000000000000
FS( 31 ),10113280.000000000000,10113280.000000000000
FS( 32 ),10280840.000000000000,10280840.000000000000
FS( 33 ),10302080.000000000000,10302080.000000000000
FS( 34 ),10291460.000000000000,10291460.000000000000
FS( 35 ),10302080.000000000000,10302080.000000000000
FS( 36 ),10323320.000000000000,10323320.000000000000
FS( 37 ),10333940.000000000000,10333940.000000000000
