代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12736120.000000000000
真實報酬,2736120.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12555.034219051937
風險,313585.151439220350
起點值,0.040037081352
找到最佳解世代,2571
找到最佳解實驗#,5
找到最佳解次數,9

投資組合檔數,2
2347(18)[5],4904(45)[1],
Stock#,2347(18)[5],4904(45)[1],
張數,109,155,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,39410.000000000000,2799.999999999069,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4949860.000000000000,5032549.999999999100,9982410.000000000000
FS( 3 ),4912800.000000000000,5054250.000000000000,9967050.000000000000
FS( 4 ),5043600.000000000000,5032549.999999999100,10076150.000000000000
FS( 5 ),4928060.000000000900,5043399.999999999100,9971460.000000000000
FS( 6 ),4964030.000000000000,5038750.000000000000,10002780.000000000000
FS( 7 ),4985830.000000000000,4911649.999999999100,9897480.000000000000
FS( 8 ),4847400.000000000000,4956599.999999999100,9804000.000000000000
FS( 9 ),4876830.000000000000,4967450.000000000000,9844280.000000000000
FS( 10 ),4920430.000000000000,5043399.999999999100,9963830.000000000000
FS( 11 ),4862660.000000000000,4978299.999999999100,9840960.000000000000
FS( 12 ),4825600.000000000000,4945749.999999999100,9771350.000000000000
FS( 13 ),4825600.000000000000,4896149.999999999100,9721750.000000000000
FS( 14 ),4840860.000000000000,4911649.999999999100,9752510.000000000000
FS( 15 ),4847400.000000000000,4885299.999999999100,9732700.000000000000
FS( 16 ),4811430.000000000000,4889950.000000000000,9701380.000000000000
FS( 17 ),4912800.000000000000,4961249.999999999100,9874050.000000000000
FS( 18 ),4884460.000000000000,4978299.999999999100,9862760.000000000000
FS( 19 ),4920430.000000000000,4972099.999999999100,9892530.000000000000
FS( 20 ),5007630.000000000000,4978299.999999999100,9985930.000000000000
FS( 21 ),5109000.000000000000,5032549.999999999100,10141550.000000000000
FS( 22 ),5116630.000000000000,5192199.999999999100,10308830.000000000000
FS( 23 ),5130800.000000000000,5192199.999999999100,10323000.000000000000
FS( 24 ),5146060.000000000900,5164299.999999999100,10310360.000000000000
FS( 25 ),5094830.000000000000,5164299.999999999100,10259130.000000000000
FS( 26 ),5015259.999999999100,5252649.999999998100,10267909.999999996000
FS( 27 ),5073030.000000000000,5291399.999999998100,10364429.999999998000
FS( 28 ),5124259.999999999100,5285199.999999999100,10409459.999999998000
FS( 29 ),5058860.000000000000,5220099.999999998100,10278959.999999998000
FS( 30 ),5073030.000000000000,5319299.999999999100,10392330.000000000000
FS( 31 ),5197290.000000000000,5313099.999999998100,10510389.999999998000
FS( 32 ),5240890.000000000000,5362699.999999999100,10603590.000000000000
FS( 33 ),5276860.000000000000,5356499.999999999100,10633360.000000000000
FS( 34 ),5240890.000000000000,5385949.999999999100,10626840.000000000000
FS( 35 ),5320460.000000000000,5478949.999999999100,10799410.000000000000
FS( 36 ),5518840.000000000000,5455699.999999999100,10974540.000000000000
FS( 37 ),5497040.000000000000,5438649.999999999100,10935690.000000000000
FS( 38 ),5466520.000000000000,5316200.000000000000,10782720.000000000000
FS( 39 ),5444720.000000000000,5345649.999999998100,10790369.999999998000
FS( 40 ),5474150.000000000000,5345649.999999998100,10819799.999999998000
FS( 41 ),5729210.000000000000,5571949.999999999100,11301160.000000000000
FS( 42 ),5594050.000000000000,5519250.000000000000,11113300.000000000000
FS( 43 ),5752100.000000000000,5502199.999999999100,11254300.000000000000
FS( 44 ),5827310.000000000900,5506849.999999998100,11334160.000000000000
FS( 45 ),5834940.000000000000,5472749.999999999100,11307690.000000000000
FS( 46 ),5632200.000000000000,5559549.999999999100,11191750.000000000000
FS( 47 ),5256150.000000000000,5269699.999999999100,10525850.000000000000
FS( 48 ),5143880.000000000000,5068199.999999999100,10212080.000000000000
FS( 49 ),5263780.000000000000,5021700.000000000000,10285480.000000000000
FS( 50 ),5316100.000000000000,5125549.999999999100,10441650.000000000000
FS( 51 ),5361880.000000000000,5155000.000000000000,10516880.000000000000
FS( 52 ),5437090.000000000000,5201499.999999999100,10638590.000000000000
FS( 53 ),5549360.000000000000,5305349.999999999100,10854710.000000000000
FS( 54 ),5654000.000000000000,5292950.000000000000,10946950.000000000000
FS( 55 ),5549360.000000000000,5235599.999999998100,10784959.999999998000
FS( 56 ),5601680.000000000000,5235599.999999998100,10837279.999999998000
FS( 57 ),5301930.000000000000,5195299.999999999100,10497230.000000000000
FS( 58 ),5083930.000000000000,5178249.999999999100,10262180.000000000000
FS( 59 ),5338990.000000000000,5159649.999999999100,10498640.000000000000
FS( 60 ),5406570.000000000000,5206149.999999999100,10612720.000000000000
FS( 61 ),5369509.999999999100,5403000.000000000000,10772510.000000000000
FS( 62 ),5429460.000000000000,5362699.999999999100,10792160.000000000000
FS( 63 ),5466520.000000000000,5362699.999999999100,10829220.000000000000
FS( 64 ),5534100.000000000000,5292950.000000000000,10827050.000000000000
FS( 65 ),5556990.000000000000,5375099.999999998100,10932089.999999998000
FS( 66 ),5541730.000000000000,5385949.999999999100,10927680.000000000000
FS( 67 ),5526470.000000000000,5328599.999999999100,10855070.000000000000
FS( 68 ),5458890.000000000000,5282099.999999999100,10740990.000000000000
FS( 69 ),5511210.000000000000,5212349.999999999100,10723560.000000000000
FS( 70 ),5594050.000000000000,5502199.999999999100,11096250.000000000000
FS( 71 ),5518840.000000000000,5455699.999999999100,10974540.000000000000
FS( 72 ),5511210.000000000000,5478949.999999999100,10990160.000000000000
FS( 73 ),5406570.000000000000,5269699.999999999100,10676270.000000000000
FS( 74 ),5248520.000000000000,5351849.999999998100,10600369.999999998000
FS( 75 ),5316100.000000000000,5483599.999999999100,10799700.000000000000
FS( 76 ),5444720.000000000000,5483599.999999999100,10928320.000000000000
FS( 77 ),5541730.000000000000,5322399.999999999100,10864130.000000000000
FS( 78 ),5564620.000000000000,5310000.000000000000,10874620.000000000000
FS( 79 ),5594050.000000000000,5310000.000000000000,10904050.000000000000
FS( 80 ),5369509.999999999100,5246449.999999999100,10615959.999999998000
FS( 81 ),5001090.000000000000,5201499.999999999100,10202590.000000000000
FS( 82 ),4655560.000000000900,5432450.000000000000,10088010.000000000000
FS( 83 ),4979290.000000000000,5432450.000000000000,10411740.000000000000
FS( 84 ),5068670.000000000000,5438649.999999999100,10507320.000000000000
FS( 85 ),5023980.000000000000,5345649.999999998100,10369629.999999998000
