代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13212170.000000000000
真實報酬,3212170.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13332.909775012296
風險,258008.402299071870
起點值,0.051676261921
找到最佳解世代,1655
找到最佳解實驗#,1
找到最佳解次數,24

投資組合檔數,8
1101(0)[26],2207(10)[22],2311(15)[6],2317(16)[7],2330(19)[2],2354(20)[15],4938(46)[1],9999(50)[37],
Stock#,1101(0)[26],2207(10)[22],2311(15)[6],2317(16)[7],2330(19)[2],2354(20)[15],4938(46)[1],9999(50)[37],
張數,33,3,53,23,13,21,40,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,19430.000000000000,264260.000000000000,19340.000000000233,13290.000000000000,50880.000000000000,25280.000000000000,5600.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1226900.000000000000,1271210.000000000000,1223500.000000000000,1234590.000000000000,1227120.000000000000,1237820.000000000000,1240000.000000000000,1250000.000000000000,9911140.000000000000
FS( 3 ),1201160.000000000000,1251350.000000000000,1210250.000000000000,1228610.000000000200,1227120.000000000000,1223960.000000000000,1242000.000000000000,1250000.000000000000,9834450.000000000000
FS( 4 ),1216010.000000000000,1240730.000000000000,1210250.000000000000,1228610.000000000200,1221270.000000000000,1229210.000000000000,1254800.000000000000,1250000.000000000000,9850880.000000000000
FS( 5 ),1209079.999999999800,1261940.000000000000,1259010.000000000200,1236200.000000000000,1244279.999999999800,1239710.000000000000,1301999.999999999800,1250000.000000000000,10002220.000000000000
FS( 6 ),1182020.000000000000,1269890.000000000000,1234630.000000000200,1251610.000000000200,1209830.000000000000,1253570.000000000000,1274400.000000000000,1250000.000000000000,9925950.000000000000
FS( 7 ),1206440.000000000000,1260620.000000000000,1241520.000000000000,1262420.000000000000,1221270.000000000000,1250000.000000000000,1276000.000000000000,1250000.000000000000,9968270.000000000000
FS( 8 ),1206440.000000000000,1263260.000000000000,1238870.000000000200,1271620.000000000000,1232840.000000000000,1215140.000000000000,1274400.000000000000,1250000.000000000000,9952570.000000000000
FS( 9 ),1214690.000000000000,1264580.000000000000,1250000.000000000000,1279210.000000000000,1238560.000000000000,1218710.000000000000,1290400.000000000000,1250000.000000000000,10006150.000000000000
FS( 10 ),1232180.000000000000,1268570.000000000000,1312540.000000000000,1294620.000000000000,1255720.000000000200,1241390.000000000000,1314799.999999999800,1250000.000000000000,10169820.000000000000
FS( 11 ),1212050.000000000200,1263260.000000000000,1303530.000000000200,1303820.000000000000,1278730.000000000200,1257140.000000000000,1331200.000000000000,1250000.000000000000,10199730.000000000000
FS( 12 ),1206440.000000000000,1236770.000000000000,1294520.000000000000,1302439.999999999800,1284450.000000000000,1246640.000000000000,1314799.999999999800,1250000.000000000000,10136060.000000000000
FS( 13 ),1216010.000000000000,1260620.000000000000,1299290.000000000000,1323830.000000000000,1284450.000000000000,1248320.000000000000,1386400.000000000200,1250000.000000000000,10268920.000000000000
FS( 14 ),1236470.000000000200,1260620.000000000000,1286040.000000000000,1313020.000000000000,1273010.000000000000,1243070.000000000000,1354000.000000000000,1250000.000000000000,10216230.000000000000
FS( 15 ),1244389.999999999800,1265900.000000000000,1296640.000000000500,1308420.000000000000,1284450.000000000000,1237820.000000000000,1337600.000000000000,1250000.000000000000,10225220.000000000000
FS( 16 ),1251319.999999999800,1250000.000000000000,1283390.000000000500,1303820.000000000000,1284450.000000000000,1229210.000000000000,1331200.000000000000,1250000.000000000000,10183390.000000000000
FS( 17 ),1248680.000000000000,1256630.000000000000,1286040.000000000000,1320840.000000000000,1290170.000000000000,1230890.000000000000,1323200.000000000000,1250000.000000000000,10206450.000000000000
FS( 18 ),1219970.000000000200,1238090.000000000000,1265900.000000000200,1319230.000000000000,1255720.000000000200,1215140.000000000000,1300400.000000000000,1250000.000000000000,10064450.000000000000
FS( 19 ),1174100.000000000000,1193030.000000000000,1228270.000000000000,1263800.000000000000,1204110.000000000000,1180280.000000000000,1242000.000000000000,1250000.000000000000,9735590.000000000000
