代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11806210.000000000000
真實報酬,1806210.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,6370.101508588135
風險,230486.394447983620
起點值,0.027637646568
找到最佳解世代,2534
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1216(2)[3],2412(24)[1],6505(47)[2],
Stock#,1216(2)[3],2412(24)[1],6505(47)[2],
張數,72,39,54,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,24933.000000000000,19112.999999999534,53913.000000000466,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3314613.000000000000,3333333.000000000000,3313893.000000000500,9961840.000000000000
FS( 3 ),3384452.999999999500,3333333.000000000000,3333333.000000000000,10051120.000000000000
FS( 4 ),3327573.000000000000,3333333.000000000000,3299853.000000000500,9960760.000000000000
FS( 5 ),3314613.000000000000,3333333.000000000000,3328473.000000000500,9976420.000000000000
FS( 6 ),3333333.000000000000,3306423.000000000000,3338193.000000000500,9977950.000000000000
FS( 7 ),3308133.000000000500,3309932.999999999100,3343053.000000000500,9961120.000000000000
FS( 8 ),3308133.000000000500,3309932.999999999100,3304713.000000000500,9922780.000000000000
FS( 9 ),3314613.000000000000,3316562.999999999500,3338193.000000000500,9969370.000000000000
FS( 10 ),3282933.000000000000,3350492.999999999500,3318753.000000000500,9952180.000000000000
FS( 11 ),3251253.000000000000,3333333.000000000000,3309573.000000000500,9894160.000000000000
FS( 12 ),3245493.000000000000,3346982.999999999500,3323613.000000000500,9916090.000000000000
FS( 13 ),3264213.000000000000,3353612.999999999500,3357633.000000000500,9975460.000000000000
FS( 14 ),3277173.000000000500,3367262.999999999100,3396513.000000000500,10040950.000000000000
FS( 15 ),3277173.000000000500,3370772.999999999500,3372213.000000000500,10020160.000000000000
FS( 16 ),3308133.000000000500,3360633.000000000000,3347913.000000000500,10016680.000000000000
FS( 17 ),3308133.000000000500,3391052.999999999100,3313893.000000000500,10013080.000000000000
FS( 18 ),3295893.000000000000,3384032.999999999500,3318753.000000000500,9998680.000000000000
FS( 19 ),3359253.000000000000,3394173.000000000000,3386793.000000000500,10140220.000000000000
FS( 20 ),3321093.000000000000,3384032.999999999500,3406233.000000000000,10111360.000000000000
FS( 21 ),3321093.000000000000,3384032.999999999500,3411093.000000000900,10116220.000000000000
FS( 22 ),3333333.000000000000,3384032.999999999500,3372213.000000000500,10089580.000000000000
FS( 23 ),3282933.000000000000,3357122.999999999500,3328473.000000000500,9968530.000000000000
FS( 24 ),3339813.000000000000,3377402.999999999500,3343053.000000000500,10060270.000000000000
FS( 25 ),3359253.000000000000,3360633.000000000000,3469413.000000000500,10189300.000000000000
FS( 26 ),3339813.000000000000,3360633.000000000000,3541773.000000000500,10242220.000000000000
FS( 27 ),3359253.000000000000,3370772.999999999500,3522333.000000000500,10252360.000000000000
FS( 28 ),3377973.000000000000,3384032.999999999500,3570933.000000000000,10332940.000000000000
FS( 29 ),3365013.000000000000,3387543.000000000000,3595233.000000000000,10347790.000000000000
FS( 30 ),3277173.000000000500,3367262.999999999100,3556353.000000000500,10200790.000000000000
FS( 31 ),3232533.000000000000,3316562.999999999500,3522333.000000000500,10071430.000000000000
FS( 32 ),3277173.000000000500,3336842.999999999100,3643833.000000000500,10257850.000000000000
FS( 33 ),3232533.000000000000,3320072.999999999500,3657873.000000000000,10210480.000000000000
FS( 34 ),3213813.000000000000,3326702.999999999500,3687033.000000000500,10227550.000000000000
FS( 35 ),3226053.000000000000,3333333.000000000000,3691893.000000000900,10251280.000000000000
FS( 36 ),3207333.000000000000,3333333.000000000000,3764793.000000000500,10305460.000000000000
FS( 37 ),3226053.000000000000,3360633.000000000000,3861453.000000000900,10448140.000000000000
FS( 38 ),3232533.000000000000,3380912.999999999500,3910053.000000000500,10523500.000000000000
FS( 39 ),3257732.999999999500,3377402.999999999500,3996993.000000000500,10632130.000000000000
FS( 40 ),3245493.000000000000,3377402.999999999500,4001853.000000000500,10624750.000000000000
FS( 41 ),3245493.000000000000,3380912.999999999500,4021293.000000000500,10647700.000000000000
FS( 42 ),3200853.000000000000,3367262.999999999100,3880893.000000000900,10449010.000000000000
FS( 43 ),3200853.000000000000,3367262.999999999100,3953793.000000000500,10521910.000000000000
FS( 44 ),3200853.000000000000,3377402.999999999500,3992133.000000000900,10570390.000000000000
FS( 45 ),3195093.000000000000,3380912.999999999500,3992133.000000000900,10568140.000000000000
FS( 46 ),3175653.000000000000,3357122.999999999500,3948933.000000000000,10481710.000000000000
FS( 47 ),3182133.000000000500,3363753.000000000000,3905193.000000000000,10451080.000000000000
FS( 48 ),3182133.000000000500,3370772.999999999500,3914913.000000000500,10467820.000000000000
FS( 49 ),3314613.000000000000,3370772.999999999500,3978093.000000000900,10663480.000000000000
FS( 50 ),3371493.000000000000,3357122.999999999500,3953793.000000000500,10682410.000000000000
FS( 51 ),3453573.000000000000,3346982.999999999500,3910053.000000000500,10710610.000000000000
FS( 52 ),3441333.000000000000,3346982.999999999500,3740493.000000000500,10528810.000000000000
FS( 53 ),3497493.000000000000,3346982.999999999500,3779373.000000000000,10623850.000000000000
FS( 54 ),3460053.000000000000,3367262.999999999100,3934353.000000000500,10761670.000000000000
FS( 55 ),3472293.000000000000,3350492.999999999500,3871173.000000000000,10693960.000000000000
FS( 56 ),3441333.000000000000,3320072.999999999500,3837153.000000000900,10598560.000000000000
FS( 57 ),3441333.000000000000,3340352.999999999500,3861453.000000000900,10643140.000000000000
FS( 58 ),3434853.000000000000,3333333.000000000000,3784233.000000000000,10552420.000000000000
FS( 59 ),3421893.000000000000,3326702.999999999500,3813393.000000000900,10561990.000000000000
FS( 60 ),3447093.000000000000,3326702.999999999500,3759933.000000000000,10533730.000000000000
FS( 61 ),3485253.000000000000,3309932.999999999100,3696753.000000000000,10491940.000000000000
FS( 62 ),3478773.000000000000,3299793.000000000000,3691893.000000000900,10470460.000000000000
FS( 63 ),3428373.000000000000,3302912.999999999500,3677313.000000000000,10408600.000000000000
FS( 64 ),3485253.000000000000,3296282.999999999500,3730773.000000000500,10512310.000000000000
FS( 65 ),3441333.000000000000,3286142.999999999100,3682173.000000000000,10409650.000000000000
FS( 66 ),3415413.000000000500,3258842.999999999100,3575793.000000000500,10250050.000000000000
FS( 67 ),3384452.999999999500,3265862.999999999500,3648153.000000000900,10298470.000000000000
