代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13670350.000000000000
真實報酬,3670350.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14882.473400291052
風險,270148.335270821060
起點值,0.055090005961
找到最佳解世代,1496
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,5
1102(1)[4],1216(2)[8],2330(20)[7],2357(24)[5],4904(46)[3],
Stock#,1102(1)[4],1216(2)[8],2330(20)[7],2357(24)[5],4904(46)[3],
張數,85,67,32,13,47,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,6750.000000000000,26179.999999999767,12800.000000000000,91730.000000000000,6260.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2029750.000000000000,2016079.999999999500,2018560.000000000000,2013389.999999999800,2000000.000000000000,10077780.000000000000
FS( 3 ),2035700.000000000000,2022780.000000000000,2021120.000000000000,2035620.000000000000,2007050.000000000000,10122270.000000000000
FS( 4 ),2053550.000000000000,2029479.999999999800,2026560.000000000000,2159770.000000000000,2003760.000000000000,10273120.000000000000
FS( 5 ),2029750.000000000000,2050250.000000000000,2016000.000000000000,2133250.000000000000,1985899.999999999800,10215150.000000000000
FS( 6 ),2033150.000000000000,2054939.999999999800,2016000.000000000000,2155350.000000000000,1985899.999999999800,10245340.000000000000
FS( 7 ),2065449.999999999800,2100500.000000000000,2039680.000000000000,2128830.000000000000,1978850.000000000000,10313310.000000000000
FS( 8 ),2065449.999999999800,2107200.000000000000,2039680.000000000000,2128830.000000000000,1919630.000000000200,10260790.000000000000
FS( 9 ),2092650.000000000000,2109210.000000000000,2053120.000000000000,2128830.000000000000,1901770.000000000000,10285580.000000000000
FS( 10 ),2098600.000000000000,2109210.000000000000,2066240.000000000000,2128830.000000000000,1926210.000000000000,10329090.000000000000
FS( 11 ),2074799.999999999800,2097820.000000000000,2008000.000000000000,2066689.999999999800,1978850.000000000000,10226160.000000000000
FS( 12 ),2089250.000000000000,2091119.999999999800,2016000.000000000000,2079950.000000000000,1933260.000000000000,10209580.000000000000
FS( 13 ),2101150.000000000000,2104520.000000000000,2045120.000000000000,2133250.000000000000,1947360.000000000000,10331400.000000000000
FS( 14 ),2134300.000000000000,2056949.999999999800,2098240.000000000000,2106600.000000000000,1996710.000000000000,10392800.000000000000
FS( 15 ),2124950.000000000500,2018089.999999999800,2092800.000000000000,2168740.000000000000,2007050.000000000000,10411630.000000000000
FS( 16 ),2095199.999999999800,1995309.999999999800,2053120.000000000000,2182000.000000000000,1992950.000000000000,10318580.000000000000
FS( 17 ),2116450.000000000000,1990619.999999999800,2047680.000000000000,2293020.000000000000,1989660.000000000000,10437430.000000000000
FS( 18 ),2146200.000000000500,1956449.999999999800,2032000.000000000000,2266370.000000000000,2007050.000000000000,10408070.000000000000
