代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13015780.000000000000
真實報酬,3015780.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12506.065972278551
風險,293893.831833574690
起點值,0.042553005942
找到最佳解世代,1674
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1216(2)[2],2330(20)[7],4904(46)[3],
Stock#,1216(2)[2],2330(20)[7],4904(46)[3],
張數,110,50,74,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,2533.000000000000,16833.000000000000,17393.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3333333.000000000000,3328832.999999999500,3361453.000000000000,10023620.000000000000
FS( 3 ),3310233.000000000000,3299833.000000000000,3294853.000000000000,9904920.000000000000
FS( 4 ),3238733.000000000500,3283333.000000000000,3278573.000000000000,9800640.000000000000
FS( 5 ),3220033.000000000000,3308333.000000000000,3250453.000000000000,9778820.000000000000
FS( 6 ),3160633.000000000000,3291833.000000000000,3256373.000000000000,9708840.000000000000
FS( 7 ),3209033.000000000000,3316332.999999999500,3322232.999999999500,9847600.000000000000
FS( 8 ),3194733.000000000000,3328832.999999999500,3305953.000000000000,9829520.000000000000
FS( 9 ),3157333.000000000000,3328832.999999999500,3261553.000000000500,9747720.000000000000
FS( 10 ),3216733.000000000000,3382832.999999999500,3250453.000000000000,9850020.000000000000
FS( 11 ),3227733.000000000000,3461333.000000000000,3305953.000000000000,9995020.000000000000
FS( 12 ),3243133.000000000000,3461333.000000000000,3278573.000000000000,9983040.000000000000
FS( 13 ),3163932.999999999500,3374333.000000000500,3239353.000000000000,9777620.000000000000
FS( 14 ),3157333.000000000000,3482333.000000000000,3228253.000000000000,9867920.000000000000
FS( 15 ),3171633.000000000000,3461333.000000000000,3184593.000000000000,9817560.000000000000
FS( 16 ),3194733.000000000000,3531833.000000000000,3289672.999999999500,10016240.000000000000
FS( 17 ),3213433.000000000000,3544333.000000000000,3366633.000000000000,10124400.000000000000
FS( 18 ),3224433.000000000000,3552332.999999999500,3278573.000000000000,10055340.000000000000
FS( 19 ),3168333.000000000000,3477833.000000000000,3311133.000000000000,9957300.000000000000
