代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11997436.143999999000
真實報酬,1997436.143999999400

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8959.350237565943
風險,88669.538540355847
起點值,0.101042030725
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,10

投資組合檔數,13
1102(1)[45],2227(11)[20],2354(19)[23],2357(20)[35],2408(23)[21],2409(24)[26],2884(33)[16],2885(34)[8],2891(38)[4],2892(39)[2],3045(42)[17],5880(46)[1],9999(49)[43],
Stock#,1102(1)[45],2227(11)[20],2354(19)[23],2357(20)[35],2408(23)[21],2409(24)[26],2884(33)[16],2885(34)[8],2891(38)[4],2892(39)[2],3045(42)[17],5880(46)[1],9999(49)[43],
張數,28,4,9,3,17,69,46,68,46,49,7,59,-1,
分配資金,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,
剩餘資金,12390.000000000000,35110.000000000000,57960.000000000000,28049.999999999884,21400.000000000000,10919.999999999884,12990.000000000000,6270.000000000000,1030.000000000116,9240.000000000000,67340.000000000000,4000.000000000000,769230.000000000000,
FS( 1 ),769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10000000.000000000000
FS( 2 ),766710.000000000000,761870.000000000000,773550.000000000000,763589.999999999880,760900.000000000000,762330.000000000000,765090.000000000000,765830.000000000000,771530.000000000120,774130.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,9973230.000000000000
FS( 3 ),752990.000000000000,758150.000000000000,774360.000000000000,764999.999999999880,758350.000000000000,775439.999999999880,757270.000000000000,759710.000000000000,769230.000000000000,774130.000000000000,772590.000000000000,763920.000000000120,769230.000000000000,9950380.000000000000
FS( 4 ),761109.999999999880,759990.000000000000,772649.999999999880,769230.000000000000,753420.000000000000,772679.999999999880,759109.999999999880,765830.000000000000,771530.000000000120,778540.000000000000,772590.000000000000,769230.000000000000,769230.000000000000,9975150.000000000000
FS( 5 ),761109.999999999880,763710.000000000000,780390.000000000000,776279.999999999880,753420.000000000000,791999.999999999880,760950.000000000000,762430.000000000000,773830.000000000230,782949.999999999880,772590.000000000000,769230.000000000000,769230.000000000000,10018130.000000000000
FS( 6 ),772030.000000000000,767390.000000000000,796860.000000000000,780509.999999999880,753420.000000000000,805799.999999999880,777510.000000000120,782150.000000000000,784870.000000000000,794220.000000000000,779240.000000000000,782800.000000000000,769230.000000000000,10146040.000000000000
FS( 7 ),772030.000000000000,767390.000000000000,801180.000000000000,774869.999999999770,769910.000000000000,798899.999999999880,781650.000000000120,795750.000000000000,789010.000000000000,794220.000000000000,769230.000000000000,785750.000000000000,769230.000000000000,10169130.000000000000
FS( 8 ),773430.000000000000,761870.000000000000,797670.000000000000,779099.999999999880,798130.000000000000,789239.999999999770,777510.000000000120,788950.000000000000,784870.000000000000,791770.000000000120,765940.000000000000,785750.000000000000,769230.000000000000,10163470.000000000000
FS( 9 ),765310.000000000120,759990.000000000000,802890.000000000000,780509.999999999880,794730.000000000000,789239.999999999770,781650.000000000120,799150.000000000000,789010.000000000000,801080.000000000000,765940.000000000000,785750.000000000000,769230.000000000000,10184490.000000000000
FS( 10 ),769230.000000000000,761870.000000000000,807210.000000000000,777689.999999999880,804760.000000000000,785789.999999999880,771530.000000000000,795750.000000000000,782570.000000000120,794220.000000000000,759289.999999999880,780440.000000000000,769230.000000000000,10159590.000000000000
FS( 11 ),772030.000000000000,759990.000000000000,803790.000000000000,779099.999999999880,806290.000000000000,798899.999999999880,775670.000000000000,792350.000000000000,789010.000000000000,789809.999999999880,759289.999999999880,780440.000000000000,769230.000000000000,10175910.000000000000
FS( 12 ),758589.999999999880,763710.000000000000,795149.999999999880,774869.999999999770,822950.000000000000,798899.999999999880,771530.000000000000,795750.000000000000,789010.000000000000,787360.000000000000,752640.000000000120,772180.000000000000,769230.000000000000,10151880.000000000000
FS( 13 ),744870.000000000000,759990.000000000000,781290.000000000000,770639.999999999880,809690.000000000000,789239.999999999770,763250.000000000000,788950.000000000000,782570.000000000120,782949.999999999880,749280.000000000000,769230.000000000000,769230.000000000000,10061190.000000000000
FS( 14 ),747670.000000000120,756310.000000000000,780390.000000000000,770639.999999999880,809690.000000000000,795449.999999999880,765090.000000000000,788950.000000000000,780270.000000000120,780500.000000000000,755930.000000000000,769230.000000000000,769230.000000000000,10069360.000000000000
FS( 15 ),738150.000000000000,761870.000000000000,781290.000000000000,770639.999999999880,805440.000000000000,812009.999999999770,763250.000000000000,782150.000000000000,775670.000000000120,778540.000000000000,745990.000000000000,766280.000000000000,769230.000000000000,10050520.000000000000
FS( 16 ),727230.000000000000,759990.000000000000,775260.000000000120,769230.000000000000,822100.000000000000,808559.999999999880,759109.999999999880,776030.000000000000,769230.000000000000,771680.000000000000,749280.000000000000,763920.000000000120,769230.000000000000,10020860.000000000000
FS( 17 ),721910.000000000000,758150.000000000000,772649.999999999880,772049.999999999880,840290.000000000000,805799.999999999880,754969.999999999880,776030.000000000000,765090.000000000120,769230.000000000000,745990.000000000000,760970.000000000000,769230.000000000000,10012370.000000000000
FS( 18 ),723310.000000000120,759990.000000000000,775260.000000000120,772049.999999999880,827030.000000000000,798899.999999999880,760950.000000000000,779430.000000000000,769230.000000000000,776090.000000000000,745990.000000000000,766280.000000000000,769230.000000000000,10023750.000000000000
FS( 19 ),724710.000000000000,756310.000000000000,783899.999999999880,773459.999999999880,814619.999999999880,795449.999999999880,757270.000000000000,776030.000000000000,766930.000000000120,776090.000000000000,745990.000000000000,763920.000000000120,769230.000000000000,10003920.000000000000
FS( 20 ),728630.000000000000,759990.000000000000,792540.000000000000,772049.999999999880,827880.000000000000,798899.999999999880,763250.000000000000,785550.000000000120,771530.000000000120,785400.000000000000,742630.000000000000,772180.000000000000,769230.000000000000,10069770.000000000000
FS( 21 ),721910.000000000000,756310.000000000000,792540.000000000000,769230.000000000000,818700.000000000000,789239.999999999770,759109.999999999880,782150.000000000000,769230.000000000000,780500.000000000000,745990.000000000000,766280.000000000000,769230.000000000000,10020430.000000000000
FS( 22 ),725830.000000000000,759990.000000000000,795149.999999999880,774869.999999999770,819550.000000000120,791999.999999999880,767390.000000000000,795750.000000000000,773830.000000000230,787360.000000000000,759289.999999999880,772180.000000000000,769230.000000000000,10092430.000000000000
FS( 23 ),730030.000000000000,765550.000000000000,796860.000000000000,780509.999999999880,802210.000000000000,805799.999999999880,769230.000000000000,792350.000000000000,775670.000000000120,785400.000000000000,762580.000000000000,772180.000000000000,769230.000000000000,10107610.000000000000
FS( 24 ),725830.000000000000,767390.000000000000,796860.000000000000,780509.999999999880,808840.000000000000,802350.000000000000,769230.000000000000,792350.000000000000,780270.000000000120,789809.999999999880,775880.000000000000,772180.000000000000,769230.000000000000,10130740.000000000000
FS( 25 ),730030.000000000000,769230.000000000000,795149.999999999880,786149.999999999770,821249.999999999880,822359.999999999770,771530.000000000000,799150.000000000000,789010.000000000000,796670.000000000120,782530.000000000000,777490.000000000000,769230.000000000000,10209790.000000000000
FS( 26 ),730030.000000000000,769230.000000000000,792540.000000000000,788969.999999999880,827030.000000000000,841679.999999999880,773370.000000000120,799150.000000000000,789010.000000000000,796670.000000000120,772590.000000000000,777490.000000000000,769230.000000000000,10227000.000000000000
FS( 27 ),724710.000000000000,763710.000000000000,797670.000000000000,786149.999999999770,825330.000000000000,861689.999999999880,765090.000000000000,795750.000000000000,789010.000000000000,794220.000000000000,769230.000000000000,777490.000000000000,769230.000000000000,10219290.000000000000
