代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11293600.000000000000
真實報酬,1293600.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,4799.925548879331
風險,162420.515099383830
起點值,0.029552458604
找到最佳解世代,1562
找到最佳解實驗#,2
找到最佳解次數,3

投資組合檔數,1
2412(24)[1],
Stock#,2412(24)[1],
張數,120,
分配資金,10000000.000000000000,
剩餘資金,72400.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),10009600.000000000000,10009600.000000000000
FS( 3 ),10040800.000000000000,10040800.000000000000
FS( 4 ),10062400.000000000000,10062400.000000000000
FS( 5 ),10062400.000000000000,10062400.000000000000
FS( 6 ),10020400.000000000000,10020400.000000000000
FS( 7 ),10062400.000000000000,10062400.000000000000
FS( 8 ),10062400.000000000000,10062400.000000000000
FS( 9 ),10114000.000000000000,10114000.000000000000
FS( 10 ),10156000.000000000000,10156000.000000000000
FS( 11 ),10332400.000000000000,10332400.000000000000
FS( 12 ),10363600.000000000000,10363600.000000000000
FS( 13 ),10291599.999999998000,10291599.999999998000
FS( 14 ),10270000.000000000000,10270000.000000000000
FS( 15 ),10270000.000000000000,10270000.000000000000
FS( 16 ),10270000.000000000000,10270000.000000000000
FS( 17 ),10270000.000000000000,10270000.000000000000
FS( 18 ),10270000.000000000000,10270000.000000000000
FS( 19 ),10187200.000000002000,10187200.000000002000
FS( 20 ),10197999.999999998000,10197999.999999998000
FS( 21 ),10197999.999999998000,10197999.999999998000
FS( 22 ),10218400.000000000000,10218400.000000000000
FS( 23 ),10322800.000000000000,10322800.000000000000
FS( 24 ),10270000.000000000000,10270000.000000000000
FS( 25 ),10312000.000000000000,10312000.000000000000
FS( 26 ),10332400.000000000000,10332400.000000000000
FS( 27 ),10374400.000000000000,10374400.000000000000
FS( 28 ),10385200.000000000000,10385200.000000000000
FS( 29 ),10354000.000000000000,10354000.000000000000
FS( 30 ),10447599.999999998000,10447599.999999998000
FS( 31 ),10426000.000000000000,10426000.000000000000
FS( 32 ),10457200.000000002000,10457200.000000002000
FS( 33 ),10426000.000000000000,10426000.000000000000
FS( 34 ),10426000.000000000000,10426000.000000000000
FS( 35 ),10426000.000000000000,10426000.000000000000
FS( 36 ),10343200.000000002000,10343200.000000002000
FS( 37 ),10405600.000000000000,10405600.000000000000
FS( 38 ),10354000.000000000000,10354000.000000000000
FS( 39 ),10354000.000000000000,10354000.000000000000
FS( 40 ),10385200.000000000000,10385200.000000000000
FS( 41 ),10426000.000000000000,10426000.000000000000
FS( 42 ),10436800.000000002000,10436800.000000002000
FS( 43 ),10374400.000000000000,10374400.000000000000
FS( 44 ),10218400.000000000000,10218400.000000000000
FS( 45 ),10280800.000000000000,10280800.000000000000
FS( 46 ),10229200.000000000000,10229200.000000000000
FS( 47 ),10249600.000000000000,10249600.000000000000
FS( 48 ),10270000.000000000000,10270000.000000000000
FS( 49 ),10270000.000000000000,10270000.000000000000
FS( 50 ),10354000.000000000000,10354000.000000000000
FS( 51 ),10416400.000000000000,10416400.000000000000
FS( 52 ),10405600.000000000000,10405600.000000000000
FS( 53 ),10405600.000000000000,10405600.000000000000
FS( 54 ),10416400.000000000000,10416400.000000000000
FS( 55 ),10374400.000000000000,10374400.000000000000
FS( 56 ),10374400.000000000000,10374400.000000000000
FS( 57 ),10405600.000000000000,10405600.000000000000
FS( 58 ),10416400.000000000000,10416400.000000000000
FS( 59 ),10343200.000000002000,10343200.000000002000
FS( 60 ),10363600.000000000000,10363600.000000000000
FS( 61 ),10385200.000000000000,10385200.000000000000
FS( 62 ),10385200.000000000000,10385200.000000000000
FS( 63 ),10343200.000000002000,10343200.000000002000
FS( 64 ),10312000.000000000000,10312000.000000000000
FS( 65 ),10312000.000000000000,10312000.000000000000
FS( 66 ),10312000.000000000000,10312000.000000000000
FS( 67 ),10374400.000000000000,10374400.000000000000
FS( 68 ),10322800.000000000000,10322800.000000000000
FS( 69 ),10229200.000000000000,10229200.000000000000
FS( 70 ),10291599.999999998000,10291599.999999998000
FS( 71 ),10270000.000000000000,10270000.000000000000
FS( 72 ),10249600.000000000000,10249600.000000000000
FS( 73 ),10249600.000000000000,10249600.000000000000
FS( 74 ),10197999.999999998000,10197999.999999998000
FS( 75 ),10166800.000000002000,10166800.000000002000
FS( 76 ),10176400.000000000000,10176400.000000000000
FS( 77 ),10156000.000000000000,10156000.000000000000
FS( 78 ),10124800.000000000000,10124800.000000000000
FS( 79 ),10040800.000000000000,10040800.000000000000
FS( 80 ),10062400.000000000000,10062400.000000000000
FS( 81 ),10238800.000000000000,10238800.000000000000
FS( 82 ),10166800.000000002000,10166800.000000002000
FS( 83 ),10166800.000000002000,10166800.000000002000
FS( 84 ),10218400.000000000000,10218400.000000000000
FS( 85 ),10166800.000000002000,10166800.000000002000
FS( 86 ),10124800.000000000000,10124800.000000000000
FS( 87 ),10062400.000000000000,10062400.000000000000
FS( 88 ),10031200.000000000000,10031200.000000000000
FS( 89 ),10051599.999999998000,10051599.999999998000
FS( 90 ),10135600.000000000000,10135600.000000000000
FS( 91 ),10166800.000000002000,10166800.000000002000
FS( 92 ),10187200.000000002000,10187200.000000002000
FS( 93 ),10218400.000000000000,10218400.000000000000
FS( 94 ),10218400.000000000000,10218400.000000000000
FS( 95 ),10218400.000000000000,10218400.000000000000
FS( 96 ),10312000.000000000000,10312000.000000000000
FS( 97 ),10270000.000000000000,10270000.000000000000
FS( 98 ),10280800.000000000000,10280800.000000000000
FS( 99 ),10301200.000000000000,10301200.000000000000
FS( 100 ),10301200.000000000000,10301200.000000000000
FS( 101 ),10343200.000000002000,10343200.000000002000
FS( 102 ),10270000.000000000000,10270000.000000000000
FS( 103 ),10238800.000000000000,10238800.000000000000
FS( 104 ),10291599.999999998000,10291599.999999998000
FS( 105 ),10291599.999999998000,10291599.999999998000
FS( 106 ),10291599.999999998000,10291599.999999998000
FS( 107 ),10462000.000000000000,10462000.000000000000
FS( 108 ),10483600.000000000000,10483600.000000000000
FS( 109 ),10472800.000000000000,10472800.000000000000
FS( 110 ),10483600.000000000000,10483600.000000000000
FS( 111 ),10505200.000000000000,10505200.000000000000
FS( 112 ),10516000.000000000000,10516000.000000000000
FS( 113 ),10526800.000000002000,10526800.000000002000
FS( 114 ),10582000.000000000000,10582000.000000000000
FS( 115 ),10526800.000000002000,10526800.000000002000
FS( 116 ),10582000.000000000000,10582000.000000000000
FS( 117 ),10637200.000000002000,10637200.000000002000
FS( 118 ),10800400.000000000000,10800400.000000000000
FS( 119 ),10778800.000000000000,10778800.000000000000
