代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13015920.000000000000
真實報酬,3015920.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12132.828856152852
風險,129995.529628362670
起點值,0.093332662214
找到最佳解世代,1884
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,11
1102(1)[38],1301(3)[10],2227(11)[21],2317(16)[6],2408(23)[14],2801(28)[20],2882(31)[15],2885(34)[4],2886(35)[3],3481(43)[9],5880(46)[5],
Stock#,1102(1)[38],1301(3)[10],2227(11)[21],2317(16)[6],2408(23)[14],2801(28)[20],2882(31)[15],2885(34)[4],2886(35)[3],3481(43)[9],5880(46)[5],
張數,34,12,4,11,23,60,23,83,43,83,70,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,4689.999999999884,17130.000000000000,151010.000000000000,71000.000000000116,27039.999999999884,10289.999999999884,24740.000000000000,6049.999999999884,17270.000000000116,10200.000000000000,10990.000000000000,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),909090.000000000000,917130.000000000000,914650.000000000000,912280.000000000230,921279.999999999880,922889.999999999880,918060.000000000000,917389.999999999880,904790.000000000120,904939.999999999880,915390.000000000000,10057900.000000000000
FS( 3 ),915549.999999999880,912570.000000000000,914650.000000000000,913380.000000000120,927950.000000000000,919889.999999999880,910240.000000000000,913239.999999999770,904790.000000000120,904939.999999999880,915390.000000000000,10052600.000000000000
FS( 4 ),917249.999999999880,919410.000000000000,914650.000000000000,919650.000000000230,921279.999999999880,914489.999999999880,913460.000000000000,913239.999999999770,909090.000000000000,917389.999999999880,912590.000000000000,10072510.000000000000
FS( 5 ),917249.999999999880,923969.999999999880,918330.000000000000,917560.000000000120,920129.999999999770,909090.000000000000,911390.000000000000,913239.999999999770,904790.000000000120,892490.000000000120,905589.999999999880,10033840.000000000000
FS( 6 ),920649.999999999880,927329.999999999880,912810.000000000000,929220.000000000000,924729.999999999880,919889.999999999880,907939.999999999880,909090.000000000000,903070.000000000230,875889.999999999880,912590.000000000000,10043220.000000000000
FS( 7 ),909090.000000000000,928530.000000000120,910970.000000000000,934500.000000000120,927029.999999999880,919889.999999999880,922430.000000000000,913239.999999999770,904790.000000000120,884189.999999999880,912590.000000000000,10067260.000000000000
FS( 8 ),887669.999999999880,922770.000000000000,905410.000000000000,936590.000000000000,924729.999999999880,911489.999999999770,907020.000000000000,897470.000000000000,896620.000000000120,875889.999999999880,909090.000000000000,9974760.000000000000
FS( 9 ),892429.999999999880,926250.000000000120,899890.000000000000,930320.000000000120,905639.999999999880,906089.999999999880,901500.000000000000,909090.000000000000,896620.000000000120,875889.999999999880,902790.000000000120,9946520.000000000000
FS( 10 ),882569.999999999880,929610.000000000000,898050.000000000000,937690.000000000120,907939.999999999880,914489.999999999880,907020.000000000000,901619.999999999770,894900.000000000120,871740.000000000120,909090.000000000000,9954730.000000000000
FS( 11 ),892429.999999999880,935370.000000000000,899890.000000000000,939780.000000000230,909090.000000000000,917489.999999999770,918980.000000000000,913239.999999999770,903070.000000000230,875889.999999999880,909090.000000000000,10014330.000000000000
