代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12513790.000000000000
真實報酬,2513790.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10969.410525119991
風險,125469.712259359050
起點值,0.087426760830
找到最佳解世代,1812
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,10
1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
Stock#,1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
張數,36,13,14,27,4,29,71,102,14,-1,
FS( 53 ),1210600.000000000000,1080729.999999999800,1065380.000000000000,1013770.000000000000,879080.000000000000,1052490.000000000000,1090880.000000000000,1187680.000000000000,1028840.000000000100,1000000.000000000000,10609450.000000000000
FS( 54 ),1187920.000000000000,1072149.999999999800,1051380.000000000000,999189.999999999880,877200.000000000000,1062350.000000000000,1094430.000000000000,1158100.000000000000,1043540.000000000000,1000000.000000000000,10546260.000000000000
FS( 55 ),1219240.000000000000,1070850.000000000000,1059500.000000000000,997840.000000000000,903240.000000000000,1059450.000000000200,1090880.000000000000,1168300.000000000000,1038220.000000000100,1000000.000000000000,10607520.000000000000
FS( 56 ),1276120.000000000000,1059930.000000000000,1054880.000000000000,997840.000000000000,892080.000000000000,1044080.000000000000,1080940.000000000000,1187680.000000000000,1038220.000000000100,1000000.000000000000,10631770.000000000000
FS( 57 ),1305640.000000000200,1052519.999999999800,1056000.000000000000,999189.999999999880,893960.000000000000,1030160.000000000100,1071000.000000000000,1182580.000000000000,1030100.000000000100,1000000.000000000000,10621150.000000000000
FS( 58 ),1303840.000000000000,1069680.000000000000,1060759.999999999800,1001890.000000000000,895800.000000000000,1052490.000000000000,1077390.000000000000,1187680.000000000000,1038220.000000000100,1000000.000000000000,10687750.000000000000
FS( 59 ),1303840.000000000000,1062269.999999999800,1071259.999999999800,994060.000000000120,912560.000000000000,1052490.000000000000,1071000.000000000000,1182580.000000000000,1044800.000000000100,1000000.000000000000,10694860.000000000000
FS( 60 ),1312480.000000000000,1057460.000000000000,1092259.999999999800,997840.000000000000,920000.000000000000,1078880.000000000200,1087330.000000000000,1202980.000000000000,1044800.000000000100,1000000.000000000000,10794030.000000000000
FS( 61 ),1305640.000000000200,1057460.000000000000,1092259.999999999800,1021599.999999999900,906960.000000000000,1097150.000000000000,1087330.000000000000,1187680.000000000000,1036820.000000000100,1000000.000000000000,10792900.000000000000
FS( 62 ),1277920.000000000000,1058630.000000000000,1101640.000000000000,1022950.000000000000,918120.000000000000,1102660.000000000200,1084490.000000000000,1163200.000000000000,1040880.000000000000,1000000.000000000000,10770490.000000000000
FS( 63 ),1258840.000000000000,1056159.999999999800,1098140.000000000000,1029430.000000000100,925560.000000000000,1131950.000000000200,1087330.000000000000,1163200.000000000000,1038220.000000000100,1000000.000000000000,10788830.000000000000
FS( 64 ),1258840.000000000000,1048880.000000000000,1086380.000000000000,1018900.000000000100,914400.000000000000,1116580.000000000000,1080940.000000000000,1142800.000000000000,1026180.000000000100,1000000.000000000000,10693900.000000000000
FS( 65 ),1224279.999999999800,1024309.999999999800,1079380.000000000000,1005939.999999999900,906960.000000000000,1095700.000000000200,1074550.000000000000,1122400.000000000000,1016800.000000000100,1000000.000000000000,10550320.000000000000
FS( 66 ),1241560.000000000000,1042769.999999999800,1098140.000000000000,1012420.000000000100,897680.000000000000,1098600.000000000000,1090880.000000000000,1091800.000000000000,1027440.000000000100,1000000.000000000000,10601290.000000000000
FS( 67 ),1263880.000000000000,1050050.000000000000,1111580.000000000000,1025650.000000000100,918120.000000000000,1113680.000000000000,1090880.000000000000,1137700.000000000000,1040880.000000000000,1000000.000000000000,10752420.000000000000
FS( 68 ),1302040.000000000000,1063570.000000000000,1133140.000000000000,1030780.000000000000,927440.000000000000,1126440.000000000200,1100820.000000000000,1142800.000000000000,1035420.000000000000,1000000.000000000000,10862450.000000000000
FS( 69 ),1302040.000000000000,1085540.000000000000,1129080.000000000000,1039959.999999999900,966480.000000000000,1136010.000000000000,1110760.000000000200,1132600.000000000000,1042140.000000000000,1000000.000000000000,10944610.000000000000
FS( 70 ),1267480.000000000000,1086840.000000000000,1115640.000000000000,1055620.000000000000,1001440.000000000000,1148480.000000000000,1117150.000000000000,1132600.000000000000,1034160.000000000200,1000000.000000000000,10959410.000000000000
FS( 71 ),1241560.000000000000,1072149.999999999800,1104860.000000000000,1053190.000000000000,1003360.000000000000,1126440.000000000200,1113600.000000000000,1117300.000000000000,1027440.000000000100,1000000.000000000000,10859900.000000000000
FS( 72 ),1232920.000000000000,1062269.999999999800,1108920.000000000000,1028079.999999999900,972320.000000000000,1106719.999999999800,1097269.999999999800,1081600.000000000000,1022120.000000000200,1000000.000000000000,10712220.000000000000
FS( 73 ),1205200.000000000000,1037829.999999999900,1102200.000000000000,1053190.000000000000,991720.000000000000,1105560.000000000000,1100820.000000000000,1061200.000000000000,1024780.000000000100,1000000.000000000000,10682500.000000000000
FS( 74 ),1194760.000000000000,1041469.999999999900,1098140.000000000000,1042660.000000000000,993680.000000000000,1090190.000000000200,1090880.000000000000,1071400.000000000000,1020860.000000000200,1000000.000000000000,10644040.000000000000
FS( 75 ),1179279.999999999800,1025609.999999999900,1100799.999999999800,1054270.000000000000,1044120.000000000000,1094249.999999999800,1090880.000000000000,1061200.000000000000,1015540.000000000000,1000000.000000000000,10665950.000000000000
FS( 76 ),1201960.000000000000,1064739.999999999800,1141259.999999999500,1072900.000000000000,1113960.000000000000,1119480.000000000000,1117150.000000000000,1086700.000000000000,1034160.000000000200,1000000.000000000000,10952310.000000000000
FS( 77 ),1198360.000000000000,1059930.000000000000,1138460.000000000000,1070200.000000000000,1090680.000000000000,1113680.000000000000,1113600.000000000000,1112200.000000000000,1016800.000000000100,1000000.000000000000,10913910.000000000000
FS( 78 ),1260640.000000000200,1074620.000000000000,1135799.999999999500,1063720.000000000000,1098440.000000000000,1127600.000000000000,1117150.000000000000,1122400.000000000000,1011480.000000000200,1000000.000000000000,11011850.000000000000
FS( 79 ),1243360.000000000000,1083199.999999999800,1130480.000000000000,1071550.000000000000,1080960.000000000000,1130499.999999999800,1117150.000000000000,1112200.000000000000,1014140.000000000000,1000000.000000000000,10983540.000000000000
