代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13219420.000000000000
真實報酬,3219420.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13591.285632475532
風險,151945.268974660720
起點值,0.089448560815
找到最佳解世代,1834
找到最佳解實驗#,1
找到最佳解次數,31

投資組合檔數,10
1301(3)[10],1326(5)[13],2317(16)[1],2354(19)[15],2408(23)[7],2474(27)[34],2882(31)[5],2892(39)[2],3481(43)[21],4904(44)[39],
Stock#,1301(3)[10],1326(5)[13],2317(16)[1],2354(19)[15],2408(23)[7],2474(27)[34],2882(31)[5],2892(39)[2],3481(43)[21],4904(44)[39],
張數,13,13,15,16,29,4,30,73,104,14,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,67380.000000000116,52950.000000000000,53800.000000000116,19040.000000000000,19800.000000000116,181560.000000000000,13300.000000000000,8660.000000000000,5760.000000000000,59340.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),983490.000000000120,984790.000000000120,1001350.000000000200,1000000.000000000000,996230.000000000230,977680.000000000000,990400.000000000000,997080.000000000000,969839.999999999880,1010220.000000000000,9911080.000000000000
FS( 3 ),978680.000000000120,982450.000000000000,997600.000000000230,966240.000000000000,1002610.000000000200,933040.000000000000,990400.000000000000,990509.999999999880,977120.000000000000,1000000.000000000000,9818650.000000000000
FS( 4 ),985830.000000000120,995319.999999999880,977500.000000000000,941280.000000000000,1013340.000000000100,977680.000000000000,985000.000000000000,984670.000000000000,967760.000000000000,991180.000000000000,9819560.000000000000
FS( 5 ),983490.000000000120,994150.000000000000,962500.000000000000,963360.000000000000,1018560.000000000100,973960.000000000000,979600.000000000120,978099.999999999880,974000.000000000000,998739.999999999880,9826460.000000000000
FS( 6 ),977510.000000000230,994150.000000000000,990100.000000000230,972160.000000000000,1015950.000000000200,985120.000000000000,974200.000000000120,981750.000000000000,982320.000000000120,1007699.999999999900,9880960.000000001900
FS( 7 ),976340.000000000120,1029250.000000000000,980050.000000000120,982400.000000000000,1004060.000000000100,962800.000000000000,970000.000000000000,975180.000000000000,968800.000000000000,1011480.000000000100,9860360.000000000000
FS( 8 ),977510.000000000230,1026910.000000000000,971350.000000000230,967680.000000000000,1015950.000000000200,985120.000000000000,966100.000000000120,978099.999999999880,974000.000000000000,1012739.999999999900,9875460.000000000000
FS( 9 ),970490.000000000120,1011700.000000000000,985000.000000000000,982400.000000000000,1065540.000000000000,964680.000000000000,955000.000000000000,978099.999999999880,941760.000000000000,1015260.000000000100,9869930.000000000000
FS( 10 ),978680.000000000120,1001170.000000000000,980050.000000000120,1004480.000000000000,1068150.000000000000,981400.000000000000,955000.000000000000,981750.000000000000,937600.000000000120,1014000.000000000000,9902280.000000000000
FS( 11 ),977510.000000000230,1021060.000000000000,983800.000000000120,1038240.000000000000,1052490.000000000000,1001880.000000000000,961900.000000000000,984670.000000000000,936560.000000000000,1012739.999999999900,9970850.000000000000
FS( 12 ),984660.000000000120,1037440.000000000000,985000.000000000000,1064640.000000000000,1034220.000000000100,1009320.000000000000,960700.000000000000,993430.000000000000,927199.999999999880,1024220.000000000000,10020830.000000000000
FS( 13 ),963340.000000000120,988300.000000000000,982600.000000000230,1058880.000000000000,1023780.000000000000,1000000.000000000000,970000.000000000000,984670.000000000000,926160.000000000000,1016520.000000000100,9914250.000000000000
FS( 14 ),968150.000000000230,1000000.000000000000,980050.000000000120,1057280.000000000000,1044660.000000000200,1040920.000000000000,968800.000000000000,984670.000000000000,938640.000000000120,1011480.000000000100,9994650.000000001900
FS( 15 ),976340.000000000120,997660.000000000000,1022650.000000000100,1075040.000000000000,1060320.000000000000,1124640.000000000000,1012299.999999999900,987590.000000000120,994800.000000000000,1024220.000000000000,10275560.000000000000
FS( 16 ),991680.000000000120,1008190.000000000000,1010050.000000000100,1082240.000000000000,1053940.000000000000,1107920.000000000000,1004200.000000000100,990509.999999999880,964640.000000000120,1019039.999999999900,10232410.000000000000
FS( 17 ),1000000.000000000000,1005850.000000000000,1035100.000000000200,1089600.000000000000,1036830.000000000100,1078120.000000000000,1025800.000000000000,993430.000000000000,974000.000000000000,1010220.000000000000,10248950.000000000000
FS( 18 ),989340.000000000120,995319.999999999880,1031350.000000000200,1086720.000000000000,1039440.000000000000,1080000.000000000000,1020400.000000000000,993430.000000000000,979199.999999999880,1001260.000000000100,10216460.000000000000
FS( 19 ),992850.000000000120,1008190.000000000000,1035100.000000000200,1092640.000000000000,1062930.000000000000,1096760.000000000000,1036899.999999999900,1002920.000000000000,997919.999999999880,1008960.000000000000,10335170.000000000000
FS( 20 ),1001170.000000000100,1009359.999999999900,1048900.000000000000,1096960.000000000000,1085260.000000000000,1102320.000000000000,1048900.000000000000,1011680.000000000000,982320.000000000120,1012739.999999999900,10399610.000000000000
FS( 21 ),1000000.000000000000,1016380.000000000000,1056400.000000000000,1113120.000000000000,1060320.000000000000,1104200.000000000000,1039600.000000000000,1015330.000000000000,986480.000000000000,1014000.000000000000,10405830.000000000000
FS( 22 ),1000000.000000000000,1012870.000000000100,1062700.000000000200,1113120.000000000000,1056550.000000000000,1115360.000000000000,1047699.999999999900,1024090.000000000100,1017680.000000000100,1017779.999999999900,10467850.000000000000
FS( 23 ),998830.000000000120,1017550.000000000000,1046350.000000000200,1102880.000000000000,1065540.000000000000,1093000.000000000000,1047699.999999999900,1021170.000000000000,994800.000000000000,1008960.000000000000,10396780.000000000000
FS( 24 ),1000000.000000000000,1014040.000000000100,1055200.000000000200,1113120.000000000000,1043500.000000000000,1106040.000000000000,1046200.000000000100,1024090.000000000100,990640.000000000120,1015260.000000000100,10408090.000000000000
FS( 25 ),997660.000000000120,1014040.000000000100,1057600.000000000200,1111680.000000000000,1046110.000000000100,1102320.000000000000,1039600.000000000000,1021170.000000000000,987520.000000000000,1015260.000000000100,10392960.000000000000
FS( 26 ),994020.000000000120,1015210.000000000000,1057600.000000000200,1111680.000000000000,1036830.000000000100,1083720.000000000000,1036899.999999999900,1021170.000000000000,995839.999999999880,1025480.000000000100,10378450.000000000000
FS( 27 ),1010660.000000000100,1043290.000000000100,1068850.000000000200,1120480.000000000000,1056550.000000000000,1100480.000000000000,1046200.000000000100,1036499.999999999900,995839.999999999880,1035560.000000000000,10514410.000000000000
FS( 28 ),1027170.000000000100,1032760.000000000100,1071400.000000000000,1121920.000000000000,1053940.000000000000,1100480.000000000000,1039600.000000000000,1045259.999999999900,988560.000000000000,1039480.000000000100,10520570.000000000000
FS( 29 ),1000000.000000000000,1002340.000000000000,1037650.000000000100,1102880.000000000000,960850.000000000230,1100480.000000000000,1036899.999999999900,1027009.999999999900,956320.000000000120,1011480.000000000100,10235910.000000000000
FS( 30 ),995320.000000000000,1002340.000000000000,1053850.000000000200,1126400.000000000000,960850.000000000230,1117200.000000000000,1043500.000000000000,1033579.999999999900,964640.000000000120,1025480.000000000100,10323160.000000000000
FS( 31 ),996490.000000000120,1018720.000000000100,1057600.000000000200,1136640.000000000000,969840.000000000120,1102320.000000000000,1047699.999999999900,1033579.999999999900,952160.000000000000,1016520.000000000100,10331570.000000000000
FS( 32 ),976340.000000000120,995319.999999999880,1040050.000000000100,1119040.000000000000,963460.000000000120,1065120.000000000000,1015000.000000000000,1024090.000000000100,944879.999999999880,1003779.999999999900,10147080.000000000000
FS( 33 ),972830.000000000120,992980.000000000000,1046350.000000000200,1098400.000000000000,989560.000000000120,1070680.000000000000,1028500.000000000000,1033579.999999999900,948000.000000000000,1008960.000000000000,10189840.000000000000
FS( 34 ),982320.000000000000,1003510.000000000100,1061350.000000000200,1108800.000000000000,1009280.000000000000,1089280.000000000000,1036899.999999999900,1033579.999999999900,971919.999999999880,1016520.000000000100,10313460.000000000000
FS( 35 ),990510.000000000230,1003510.000000000100,1063900.000000000000,1102880.000000000000,1030160.000000000200,1089280.000000000000,1045000.000000000000,1045259.999999999900,974000.000000000000,1016520.000000000100,10361020.000000000000
