代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13708535.708799999000
真實報酬,3708535.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15807.865054693799
風險,326742.497732478780
起點值,0.048380192856
找到最佳解世代,1364
找到最佳解實驗#,3
找到最佳解次數,19

投資組合檔數,7
1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
Stock#,1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
張數,44,38,86,27,41,77,-1,
FS( 8 ),1451450.999999999500,1378791.000000000200,1438891.000000000200,1466910.999999999500,1426111.000000000000,1368511.000000000000,1428571.000000000000,9959240.000000000000
FS( 9 ),1396890.999999999500,1356371.000000000000,1423411.000000000200,1438560.999999999800,1388801.000000000000,1384681.000000000200,1428571.000000000000,9817290.000000000000
FS( 10 ),1413611.000000000000,1366250.999999999800,1428571.000000000000,1446930.999999999800,1415450.999999999800,1404701.000000000000,1428571.000000000000,9904090.000000000000
FS( 11 ),1411850.999999999800,1348770.999999999800,1468131.000000000000,1466910.999999999500,1442101.000000000000,1453981.000000000000,1428571.000000000000,10020320.000000000000
FS( 12 ),1434730.999999999800,1378791.000000000200,1447490.999999999800,1474200.999999999800,1481871.000000000000,1526361.000000000000,1428571.000000000000,10172020.000000000000
FS( 13 ),1433410.999999999800,1376131.000000000200,1431151.000000000200,1461241.000000000000,1508111.000000000000,1624151.000000000000,1428571.000000000000,10262770.000000000000
FS( 14 ),1431650.999999999800,1348770.999999999800,1415671.000000000200,1474200.999999999800,1471210.999999999800,1589501.000000000000,1428571.000000000000,10159580.000000000000
FS( 15 ),1411850.999999999800,1319131.000000000200,1418250.999999999800,1495530.999999999800,1455220.999999999800,1598741.000000000000,1428571.000000000000,10127300.000000000000
FS( 16 ),1393810.999999999800,1319131.000000000200,1413091.000000000000,1466910.999999999500,1476541.000000000000,1564091.000000000000,1428571.000000000000,10062150.000000000000
FS( 17 ),1427250.999999999800,1398551.000000000000,1438891.000000000200,1438560.999999999800,1534761.000000000000,1545611.000000000000,1428571.000000000000,10212200.000000000000
FS( 18 ),1418010.999999999800,1373851.000000000000,1470710.999999999800,1509840.999999999800,1556081.000000000000,1624151.000000000000,1428571.000000000000,10381220.000000000000
FS( 19 ),1448370.999999999800,1386011.000000000000,1526611.000000000000,1488241.000000000000,1534761.000000000000,1735030.999999999800,1428571.000000000000,10547600.000000000000
FS( 20 ),1436490.999999999800,1373851.000000000000,1582510.999999999800,1552500.999999999800,1537220.999999999800,1735030.999999999800,1428571.000000000000,10646180.000000000000
FS( 21 ),1457610.999999999800,1383731.000000000000,1553270.999999999800,1509840.999999999800,1531891.000000000200,1718861.000000000000,1428571.000000000000,10583780.000000000000
FS( 22 ),1428571.000000000000,1366250.999999999800,1524031.000000000000,1488241.000000000000,1518771.000000000000,1643401.000000000000,1428571.000000000000,10397840.000000000000
FS( 23 ),1401290.999999999800,1329011.000000000000,1529191.000000000200,1502550.999999999800,1534761.000000000000,1587961.000000000200,1428571.000000000000,10313340.000000000000
FS( 24 ),1406130.999999999500,1348770.999999999800,1545531.000000000000,1509840.999999999800,1521641.000000000200,1592581.000000000000,1428571.000000000000,10353070.000000000000
FS( 25 ),1368290.999999999800,1306591.000000000000,1502531.000000000000,1452870.999999999800,1492121.000000000000,1568711.000000000200,1428571.000000000000,10119690.000000000000
FS( 26 ),1349810.999999999800,1306591.000000000000,1438891.000000000200,1388610.999999999500,1531891.000000000200,1507881.000000000000,1428571.000000000000,9952250.000000000000
FS( 27 ),1357290.999999999800,1319131.000000000200,1481891.000000000200,1391580.999999999500,1550750.999999999800,1561011.000000000000,1428571.000000000000,10090230.000000000000
FS( 28 ),1372690.999999999800,1338891.000000000000,1529191.000000000200,1395900.999999999800,1529431.000000000200,1581801.000000000000,1428571.000000000000,10176480.000000000000
FS( 29 ),1355970.999999999800,1311531.000000000000,1521451.000000000200,1392930.999999999800,1531891.000000000200,1490171.000000000000,1428571.000000000000,10032520.000000000000
FS( 30 ),1362130.999999999500,1313811.000000000200,1487051.000000000000,1303291.000000000000,1534761.000000000000,1592581.000000000000,1428571.000000000000,10022200.000000000000
FS( 31 ),1349810.999999999800,1306591.000000000000,1497371.000000000000,1333260.999999999800,1526561.000000000000,1633391.000000000200,1428571.000000000000,10075560.000000000000
FS( 32 ),1330010.999999999800,1284171.000000000000,1476730.999999999800,1310310.999999999800,1497450.999999999800,1731181.000000000200,1428571.000000000000,10058430.000000000000
FS( 33 ),1304490.999999999800,1264031.000000000000,1462970.999999999800,1280610.999999999500,1473671.000000000200,1703461.000000000200,1428571.000000000000,9917810.000000000000
FS( 34 ),1311970.999999999800,1267831.000000000000,1481891.000000000200,1303291.000000000000,1479000.999999999800,1687291.000000000000,1428571.000000000000,9959850.000000000000
FS( 35 ),1311970.999999999800,1267831.000000000000,1481891.000000000200,1340280.999999999800,1484331.000000000000,1750431.000000000200,1428571.000000000000,10065310.000000000000
FS( 36 ),1251250.999999999800,1215771.000000000000,1450071.000000000000,1310310.999999999800,1465881.000000000000,1731181.000000000200,1428571.000000000000,9853040.000000000000
FS( 37 ),1283371.000000000000,1240471.000000000000,1481891.000000000200,1341630.999999999800,1494990.999999999800,1696530.999999999800,1428571.000000000000,9967460.000000000000
FS( 38 ),1295250.999999999800,1248071.000000000000,1497371.000000000000,1367280.999999999800,1505651.000000000200,1687291.000000000000,1428571.000000000000,10029490.000000000000
FS( 39 ),1298330.999999999800,1256811.000000000200,1499951.000000000200,1352970.999999999800,1487200.999999999800,1718861.000000000000,1428571.000000000000,10042700.000000000000
FS( 40 ),1274130.999999999500,1235531.000000000000,1487051.000000000000,1334610.999999999500,1487200.999999999800,1718861.000000000000,1428571.000000000000,9965960.000000000000
FS( 41 ),1300090.999999999800,1259091.000000000000,1497371.000000000000,1344600.999999999800,1508111.000000000000,1735030.999999999800,1428571.000000000000,10072870.000000000000
FS( 42 ),1318130.999999999500,1276571.000000000000,1518871.000000000000,1362960.999999999800,1553210.999999999800,1804331.000000000000,1428571.000000000000,10262650.000000000000
FS( 43 ),1328690.999999999800,1289111.000000000000,1524031.000000000000,1370250.999999999800,1534761.000000000000,1889030.999999999800,1428571.000000000000,10364450.000000000000
FS( 44 ),1322530.999999999800,1279231.000000000000,1518871.000000000000,1364580.999999999500,1545421.000000000200,1889030.999999999800,1428571.000000000000,10348240.000000000000
FS( 45 ),1302730.999999999800,1257951.000000000000,1508551.000000000000,1370250.999999999800,1524921.000000000200,1908280.999999999800,1428571.000000000000,10301260.000000000000
FS( 46 ),1305810.999999999800,1251871.000000000000,1492210.999999999800,1395900.999999999800,1527791.000000000000,1926761.000000000000,1428571.000000000000,10328920.000000000000
FS( 47 ),1286450.999999999800,1241611.000000000000,1492210.999999999800,1397250.999999999800,1527791.000000000000,1917520.999999999800,1428571.000000000000,10291410.000000000000
