代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,15284120.000000000000
真實報酬,5284120.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,20340.313890784168
風險,360514.704803303120
起點值,0.056420205944
找到最佳解世代,1548
找到最佳解實驗#,8
找到最佳解次數,6

投資組合檔數,2
2382(22)[2],4904(45)[1],
Stock#,2382(22)[2],4904(45)[1],
張數,119,143,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,35320.000000000000,33610.000000000931,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4990480.000000000000,4947090.000000000900,9937570.000000000000
FS( 3 ),4733440.000000000000,4904190.000000000900,9637630.000000000000
FS( 4 ),4682270.000000000000,4839840.000000000900,9522110.000000000000
FS( 5 ),4785800.000000000900,5107250.000000000000,9893050.000000000000
FS( 6 ),4888140.000000000000,5064350.000000000900,9952490.000000000000
FS( 7 ),4922650.000000000000,5085800.000000000900,10008450.000000000000
FS( 8 ),4871480.000000000000,4892750.000000000000,9764230.000000000000
FS( 9 ),4819120.000000000000,4968540.000000000000,9787660.000000000000
FS( 10 ),4922650.000000000000,5090090.000000000900,10012740.000000000000
FS( 11 ),4922650.000000000000,5090090.000000000900,10012740.000000000000
FS( 12 ),4896470.000000000900,4941370.000000000900,9837840.000000001900
FS( 13 ),4922650.000000000000,4929930.000000001900,9852580.000000001900
FS( 14 ),4794130.000000000000,4929930.000000001900,9724060.000000001900
FS( 15 ),4468070.000000000000,4871300.000000000900,9339370.000000000000
FS( 16 ),4159860.000000000000,4829830.000000000900,8989690.000000000000
FS( 17 ),4322890.000000000000,5042900.000000000900,9365790.000000000000
FS( 18 ),4622770.000000000000,5042900.000000000900,9665670.000000000000
FS( 19 ),4836970.000000000900,5048620.000000000900,9885590.000000001900
FS( 20 ),4861960.000000000000,4962820.000000000900,9824780.000000000000
FS( 21 ),5136850.000000000000,4892750.000000000000,10029600.000000000000
FS( 22 ),4957160.000000000000,5000000.000000000000,9957160.000000000000
