代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
FS( 45 ),2349280.000000000000,2249570.000000000000,2343980.000000000000,2207390.000000000000,2000000.000000000000,11150220.000000000000
FS( 46 ),2357420.000000000000,2272130.000000000000,2323820.000000000000,2212970.000000000000,2000000.000000000000,11166340.000000000000
FS( 47 ),2293780.000000000000,2212440.000000000000,2278460.000000000000,2149730.000000000000,2000000.000000000000,10934410.000000000000
FS( 48 ),2262699.999999999100,2197400.000000000000,2339570.000000000000,2172050.000000000000,2000000.000000000000,10971720.000000000000
FS( 49 ),2275280.000000000000,2219960.000000000000,2368550.000000000000,2195300.000000000000,2000000.000000000000,11059090.000000000000
FS( 50 ),2301180.000000000000,2201160.000000000000,2335790.000000000000,2215760.000000000000,2000000.000000000000,11053890.000000000000
FS( 51 ),2273060.000000000000,2189880.000000000000,2339570.000000000000,2226920.000000000000,2000000.000000000000,11029430.000000000000
FS( 52 ),2283420.000000000000,2186120.000000000000,2343980.000000000000,2235290.000000000500,2000000.000000000000,11048810.000000000000
FS( 53 ),2262699.999999999100,2197400.000000000000,2331380.000000000000,2224130.000000000000,2000000.000000000000,11015610.000000000000
FS( 54 ),2229400.000000000000,2189880.000000000000,2286650.000000000000,2210179.999999999500,2000000.000000000000,10916110.000000000000
FS( 55 ),2186480.000000000000,2186120.000000000000,2250110.000000000000,2200880.000000000000,2000000.000000000000,10823590.000000000000
FS( 56 ),2199060.000000000000,2189880.000000000000,2258300.000000000000,2218550.000000000000,2000000.000000000000,10865790.000000000000
FS( 57 ),2199060.000000000000,2164030.000000000000,2266490.000000000000,2229710.000000000000,2000000.000000000000,10859290.000000000000
FS( 58 ),2096939.999999999800,2126900.000000000000,2238140.000000000000,2218550.000000000000,2000000.000000000000,10680530.000000000000
FS( 59 ),2150960.000000000000,2193640.000000000500,2282870.000000000000,2226920.000000000000,2000000.000000000000,10854390.000000000000
FS( 60 ),2170940.000000000000,2171550.000000000000,2299250.000000000000,2229710.000000000000,2000000.000000000000,10871450.000000000000
FS( 61 ),2176120.000000000000,2164030.000000000000,2270900.000000000000,2212970.000000000000,2000000.000000000000,10824020.000000000000
FS( 62 ),2135420.000000000000,2148989.999999999500,2270900.000000000000,2178560.000000000000,2000000.000000000000,10733870.000000000000
