訓練日期,20161010 - 20170111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11549086.320000000298023
真實報酬,1549086.320000000298023

夏普值報酬,0.146208632000000
夏普值風險,0.046114147501527
夏普值,3.170580828695963

預期報酬,24983.060899268675712
風險,99884.282820647596964
趨勢值,0.250120040848952
找到最佳解世代,2618
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](21),AXP[1](3),BA[2](1),CVX[5](6),
Stock#,AAPL[0](21),AXP[1](3),BA[2](1),CVX[5](6),
張數,21918,40479,18677,24445,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,32.919999999925494,16.959999999962747,83.550000000279397,9.850000000093132,
20161010,2543616.819999999832362,2505667.060000000055879,2537167.230000000447035,2541800.950000000186265,10128252.060000000521541
20161011,2549096.319999999832362,2463568.899999999906868,2497945.530000000260770,2518822.650000000372529,10029433.400000000372529
20161012,2571891.040000000037253,2456687.469999999739230,2487112.870000000111759,2497066.600000000093132,10012757.980000000447035
20161013,2564000.560000000055879,2445353.349999999627471,2491221.810000000055879,2463821.400000000372529,9964397.120000001043081
20161014,2578247.259999999776483,2434828.810000000055879,2493463.050000000279397,2470910.450000000186265,9977449.570000000298023
20161017,2576493.819999999832362,2424709.060000000055879,2502801.550000000279397,2477755.050000000279397,9981759.480000000447035
20161018,2574740.379999999888241,2431995.279999999795109,2523346.250000000000000,2488266.400000000372529,10018348.310000000521541
20161019,2567069.080000000074506,2479355.709999999962747,2543517.410000000614673,2500000.000000000000000,10089942.200000001117587
20161020,2565754.000000000000000,2703204.580000000074506,2537167.230000000447035,2490222.000000000000000,10296347.810000000521541
20161021,2555671.719999999739230,2726682.399999999906868,2533245.060000000055879,2476288.350000000093132,10291887.529999999329448
20161024,2578685.620000000111759,2715753.070000000298023,2567237.200000000186265,2460643.549999999813735,10322319.440000001341105
20161025,2591836.419999999925494,2701585.419999999925494,2596560.090000000316650,2463332.500000000000000,10353314.429999999701977
20161026,2533534.540000000037253,2704014.159999999683350,2718334.130000000353903,2473599.399999999906868,10429482.230000000447035
20161027,2509205.560000000055879,2709276.430000000167638,2676684.420000000391155,2442554.250000000000000,10337720.660000000149012
20161028,2492547.879999999888241,2689846.510000000242144,2671081.320000000298023,2537889.750000000000000,10391365.460000000894070
20161031,2488602.640000000130385,2688632.140000000130385,2660248.660000000614673,2560623.600000000093132,10398107.040000000968575
20161101,2443670.739999999757856,2681750.709999999962747,2659875.120000000111759,2602913.450000000186265,10388210.019999999552965
20161102,2445862.540000000037253,2649367.510000000242144,2628871.300000000279397,2576268.399999999906868,10300369.750000001862645
20161103,2407286.859999999869615,2644510.029999999795109,2615237.090000000316650,2576268.399999999906868,10243302.380000000819564
20161104,2385588.040000000037253,2651796.250000000000000,2606272.130000000353903,2561356.950000000186265,10205013.370000001043081
20161107,2419999.299999999813735,2712109.959999999962747,2671454.860000000335276,2611958.100000000093132,10415522.220000000670552
20161108,2434246.000000000000000,2714943.489999999757856,2655952.950000000186265,2622713.900000000372529,10427856.339999999850988
20161109,2430300.759999999776483,2782543.419999999925494,2709929.480000000447035,2631269.649999999906868,10554043.310000000521541
20161110,2362574.140000000130385,2837999.649999999906868,2758489.680000000167638,2634936.400000000372529,10593999.870000001043081
20161111,2376601.660000000149012,2853786.459999999962747,2773991.590000000316650,2606824.649999999906868,10611204.360000001266599
20161114,2316984.699999999720603,2931506.140000000130385,2801446.780000000260770,2605602.400000000372529,10655540.019999999552965
20161115,2347669.899999999906868,2933530.089999999850988,2766334.020000000484288,2663537.049999999813735,10711071.060000000521541
20161116,2410793.739999999757856,2901551.680000000167638,2735143.430000000167638,2648625.600000000093132,10696114.449999999254942
20161117,2409917.020000000018626,2905599.580000000074506,2714411.960000000428408,2643003.250000000000000,10672931.810000000521541
20161118,2412328.000000000000000,2874025.959999999962747,2733462.500000000000000,2669403.850000000093132,10689220.310000000521541
20161121,2448931.060000000055879,2895884.620000000111759,2745976.090000000316650,2693359.950000000186265,10784151.719999998807907
20161122,2450465.319999999832362,2903170.839999999850988,2792668.590000000316650,2704115.750000000000000,10850420.500000000000000
20161123,2437972.060000000055879,2950126.479999999981374,2796777.530000000260770,2713404.850000000093132,10898280.919999999925494
20161125,2450246.140000000130385,2949316.899999999906868,2802380.630000000353903,2713404.850000000093132,10915348.519999999552965
20161128,2445424.179999999701977,2919767.229999999981374,2797337.840000000316650,2701182.350000000093132,10863711.599999999627471
20161129,2443013.199999999720603,2893860.669999999925494,2832263.830000000074506,2672826.150000000372529,10841963.849999999627471
20161130,2422410.279999999795109,2916124.120000000111759,2812092.670000000391155,2727094.050000000279397,10877721.120000001043081
20161201,2399834.739999999757856,2935958.830000000074506,2846271.580000000074506,2769383.900000000372529,10951449.050000000745058
20161202,2408821.120000000111759,2908837.899999999906868,2843656.800000000279397,2762294.850000000093132,10923610.669999999925494
20161205,2391505.899999999906868,2915719.330000000074506,2841975.870000000111759,2768406.100000000093132,10917607.200000001117587
20161206,2409917.020000000018626,2927053.450000000186265,2843470.030000000260770,2756428.050000000279397,10936868.550000000745058
20161207,2433588.459999999962747,3007201.870000000111759,2878956.330000000074506,2797495.649999999906868,11117242.310000000521541
20161208,2457479.080000000074506,3032298.849999999627471,2902302.580000000074506,2815340.500000000000000,11207421.009999999776483
20161209,2497589.020000000018626,3026631.789999999571592,2922847.280000000260770,2830985.300000000279397,11278053.390000000596046
20161212,2483342.319999999832362,2978461.779999999795109,2935360.870000000111759,2863741.600000000093132,11260906.569999998435378
20161213,2524767.339999999850988,2988986.320000000298023,2926022.370000000111759,2870341.750000000000000,11310117.780000001192093
20161214,2524767.339999999850988,2998296.489999999757856,2885119.740000000223517,2834652.049999999813735,11242835.620000001043081
20161215,2538575.679999999701977,3033513.219999999739230,2872045.840000000316650,2861297.100000000093132,11305431.839999999850988
20161216,2541863.379999999888241,3035941.959999999962747,2885680.050000000279397,2886475.450000000186265,11349960.839999999850988
20161219,2556548.439999999944121,3017726.409999999683350,2917057.410000000614673,2875964.100000000093132,11367296.359999999403954
20161220,2563343.020000000018626,3038370.700000000186265,2920979.580000000074506,2883297.600000000093132,11405990.900000000372529
20161221,2565754.000000000000000,3048895.239999999757856,2941337.510000000242144,2882319.799999999813735,11438306.550000000745058
20161222,2548877.140000000130385,3018940.779999999795109,2940963.970000000204891,2903342.500000000000000,11412124.390000000596046
20161223,2553918.279999999795109,3034727.589999999850988,2947500.920000000391155,2894786.750000000000000,11430933.539999999105930
20161227,2570137.600000000093132,3035132.380000000353903,2941337.510000000242144,2889897.750000000000000,11436505.240000000223517
20161228,2559178.600000000093132,3010440.189999999944121,2915563.250000000000000,2882319.799999999813735,11367501.839999999850988
20161229,2558521.060000000055879,2992224.640000000130385,2907905.680000000167638,2880119.750000000000000,11338771.130000000819564
20161230,2538575.679999999701977,2998701.279999999795109,2907718.910000000614673,2877186.350000000093132,11322182.219999998807907
20170103,2545808.620000000111759,3050109.609999999869615,2931812.240000000223517,2880853.100000000093132,11408583.570000000298023
20170104,2542959.279999999795109,3086945.500000000000000,2962629.290000000502914,2880119.750000000000000,11472653.820000000298023
20170105,2555890.899999999906868,3048895.239999999757856,2964310.220000000204891,2867652.800000000279397,11436749.160000000149012
20170106,2584384.299999999813735,3054967.089999999850988,2971594.250000000000000,2856163.650000000372529,11467109.290000000968575
20170109,2608055.739999999757856,3070753.899999999906868,2957026.189999999944121,2831718.650000000372529,11467554.480000000447035
20170110,2610685.899999999906868,3102732.310000000055879,2971033.939999999944121,2810207.049999999813735,11494659.199999999254942
20170111,2624713.419999999925494,3113256.849999999627471,2977197.350000000558794,2833918.700000000186265,11549086.320000000298023
