訓練日期,20121016 - 20130122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11399735.029999999329448
真實報酬,1399735.029999999329448

夏普值報酬,0.131273503000000
夏普值風險,0.037819920993726
夏普值,3.471014733790067

預期報酬,19103.870487481974124
風險,158296.808715113351354
趨勢值,0.120683863702288
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](3),HD[9](7),V[25](1),
Stock#,DD[7](3),HD[9](7),V[25](1),
張數,82651,54960,95319,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,18.169999999925494,9.000000000000000,27.570000000298023,
20121016,3520124.260000000242144,3344874.600000000093132,3363835.080000000074506,10228834.940000001341105
20121017,3558970.229999999981374,3374003.399999999906868,3397196.730000000447035,10330171.359999999403954
20121018,3557317.209999999962747,3396537.000000000000000,3380992.500000000000000,10334847.710000000894070
20121019,3514338.690000000409782,3401483.399999999906868,3335239.380000000353903,10251062.470000000670552
20121022,3500288.020000000018626,3409727.399999999906868,3312362.820000000298023,10222379.240000000223517
20121023,3360607.829999999608845,3393789.000000000000000,3256124.609999999869615,10010522.439999999478459
20121024,3516818.219999999739230,3367957.800000000279397,3252311.850000000093132,10137088.869999999180436
20121025,3491196.410000000149012,3323989.799999999813735,3278047.980000000447035,10093235.190000001341105
20121026,3480451.779999999795109,3299807.399999999906868,3296158.590000000316650,10076418.769999999552965
20121031,3449044.399999999441206,3373453.800000000279397,3306643.680000000167638,10129142.879999998956919
20121101,3544093.050000000279397,3421818.600000000093132,3428652.000000000000000,10394564.650000000372529
20121102,3501941.039999999571592,3408628.200000000186265,3417213.720000000204891,10327783.960000000894070
20121105,3538307.479999999981374,3428413.800000000279397,3372413.790000000502914,10339136.070000000298023
20121106,3592030.629999999888241,3441604.199999999720603,3428652.000000000000000,10462287.830000000074506
20121107,3565582.310000000055879,3406979.399999999906868,3397196.730000000447035,10369759.440000001341105
20121108,3477972.250000000000000,3344874.600000000093132,3385758.450000000651926,10208606.300000000745058
20121109,3455656.479999999981374,3350370.600000000093132,3405775.439999999944121,10211803.519999999552965
20121112,3388709.169999999925494,3361362.599999999627471,3413400.960000000428408,10163473.730000000447035
20121113,3393668.229999999981374,3483373.800000000279397,3394337.160000000149012,10271380.190000001341105
20121114,3328373.940000000409782,3378400.199999999720603,3335239.380000000353903,10042014.520000001415610
20121115,3282915.889999999664724,3366309.000000000000000,3336192.570000000298023,9985418.460000000894070
20121116,3264732.669999999925494,3414124.199999999720603,3401009.490000000223517,10079867.359999999403954
20121119,3387882.660000000149012,3480625.799999999813735,3470592.359999999869615,10339101.820000000298023
20121120,3388709.169999999925494,3507556.200000000186265,3487749.780000000726432,10384016.150000000372529
20121121,3392015.209999999962747,3522395.400000000372529,3495375.300000000279397,10409786.910000000149012
20121123,3458136.010000000242144,3562516.199999999720603,3529690.140000000596046,10550343.350000001490116
20121126,3482104.800000000279397,3554272.200000000186265,3508719.960000000428408,10545097.960000000894070
20121127,3496981.979999999981374,3526242.599999999627471,3498234.870000000577420,10521460.450000001117587
20121128,3515991.709999999962747,3563065.799999999813735,3509673.150000000372529,10588731.660000000149012
20121129,3530868.889999999664724,3530639.399999999906868,3531596.520000000018626,10593105.809999998658895
20121130,3553184.660000000149012,3576256.199999999720603,3567817.740000000223517,10697259.599999999627471
20121203,3449044.399999999441206,3571309.800000000279397,3542081.609999999869615,10562436.809999998658895
20121204,3448217.889999999664724,3530639.399999999906868,3517298.670000000391155,10496156.959999999031425
20121205,3471360.169999999925494,3518548.199999999720603,3528736.950000000651926,10518646.320000000298023
